GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2820743.0,3003641.0,2924725.0,2939297.0,90.0,94.0,91.0,91.0,69.0,84.0,77.22,80.0,2236.27,8236.61,7529.04,8181.56,19.85,73.12,66.84,72.63,6.0,100.0,80.72,95.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1957969.0,2021940.0,1977501.67,1972110.5,29.0,94.0,59.28,57.0,77.0,85.0,81.83,82.0,1151.6,7033.65,6264.81,7030.9,10.22,62.44,55.62,62.42,0.0,98.0,49.43,57.0,
NVIDIA GeForce GTX 1080 Ti,dict4,3357805.0,3451798.0,3404129.06,3404010.5,55.0,95.0,90.39,94.0,77.0,89.0,85.11,86.0,1145.81,7024.46,6289.85,7024.46,10.17,62.36,55.84,62.36,0.0,97.0,71.5,93.5,
NVIDIA GeForce GTX 1080 Ti,force,2019564.0,2538737.0,2480410.77,2528020.0,85.0,93.0,91.46,92.0,60.0,63.0,62.54,63.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,1103240.0,1197032.0,1129190.33,1123661.0,31.0,93.0,76.78,89.0,54.0,55.0,54.11,54.0,1146.19,7090.84,5293.79,7090.84,10.18,62.95,47.0,62.95,0.0,95.0,58.42,90.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,3784096.0,3870206.0,3818615.08,3807921.0,88.0,89.0,88.23,88.0,85.0,87.0,85.92,86.0,327.78,6251.68,4232.87,6251.68,4.0,76.31,51.67,76.31,0.0,88.0,51.73,86.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,2090272.0,2122082.0,2105352.67,2107109.5,47.0,56.0,52.0,52.0,80.0,85.0,82.67,82.5,338.56,6196.46,5664.65,6196.46,4.13,75.64,69.15,75.64,0.0,59.0,44.0,51.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,3269481.0,3269481.0,3269481.0,3269481.0,85.0,85.0,85.0,85.0,91.0,91.0,91.0,91.0,338.56,6196.46,5433.21,6196.46,4.13,75.64,66.32,75.64,0.0,89.0,70.26,81.0,
NVIDIA GeForce RTX 2080 SUPER,force,3399501.0,3970298.0,3849947.38,3900014.0,66.0,89.0,85.31,88.0,77.0,86.0,83.92,85.0,338.56,6262.46,3937.3,6262.46,4.13,76.45,48.06,76.45,0.0,89.0,45.88,70.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2816198.0,3751031.0,3401594.11,3674538.0,40.0,89.0,68.89,80.0,70.0,86.0,78.56,83.0,338.56,6262.46,4452.5,6262.46,4.13,76.45,54.35,76.45,0.0,89.0,47.24,50.0,
