GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,370543764.0,380690244.0,374781439.88,372912558.5,93.0,95.0,94.12,94.5,75.0,77.0,76.0,76.0,2220.23,5246.88,4798.11,5246.88,19.71,46.58,42.6,46.58,6.0,97.0,72.95,95.0,
NVIDIA GeForce GTX 1080 Ti,dict3,37244119.0,37406052.0,37325085.5,37325085.5,31.0,33.0,32.0,32.0,67.0,67.0,67.0,67.0,1150.56,2235.21,1874.29,2235.21,10.21,19.84,16.64,19.84,0.0,25.0,14.33,20.0,
NVIDIA GeForce GTX 1080 Ti,dict4,99435648.0,106513799.0,101832668.0,100974536.5,57.0,75.0,66.0,64.0,69.0,69.0,69.0,69.0,1148.1,2230.46,2050.12,2230.46,10.19,19.8,18.2,19.8,0.0,75.0,45.08,53.0,
NVIDIA GeForce GTX 1080 Ti,force,284024114.0,686045895.0,651947016.7,682066291.0,95.0,97.0,96.05,96.0,60.0,64.0,62.95,63.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,11418680.0,142377926.0,118819851.17,126985201.5,8.0,96.0,74.17,94.0,51.0,53.0,52.75,53.0,1146.19,4172.84,3067.84,4172.84,10.18,37.05,27.24,37.05,0.0,97.0,41.24,39.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,575270563.0,613876319.0,590531290.54,588353420.0,90.0,92.0,90.85,91.0,83.0,86.0,84.62,85.0,327.78,3333.68,2080.86,3333.68,4.0,40.69,25.4,40.69,0.0,92.0,47.83,65.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,40067952.0,40067952.0,40067952.0,40067952.0,26.0,26.0,26.0,26.0,60.0,60.0,60.0,60.0,338.56,2070.46,1493.32,2070.46,4.13,25.27,18.23,25.27,0.0,29.0,15.83,21.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,81925169.0,88966121.0,83853149.6,82642485.0,37.0,45.0,41.2,41.0,76.0,77.0,76.4,76.0,338.56,2070.46,1699.48,2070.46,4.13,25.27,20.75,25.27,0.0,48.0,33.29,45.5,
NVIDIA GeForce RTX 2080 SUPER,force,363282344.0,1210263032.0,1099442198.44,1177189763.0,51.0,94.0,87.72,93.0,72.0,89.0,84.5,86.0,338.56,3344.46,2261.8,3344.46,4.13,40.83,27.61,40.83,0.0,94.0,51.48,69.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,629206487.0,862514270.0,762462316.06,803354646.0,49.0,91.0,80.71,90.0,80.0,86.0,83.76,85.0,338.56,3344.46,1886.93,1900.46,4.13,40.83,23.03,23.2,0.0,91.0,40.19,36.0,
NVIDIA GeForce RTX 3070,combinator,743840576.0,761451243.0,750123461.31,747445573.0,85.0,86.0,85.69,86.0,75.0,79.0,77.62,78.0,356.11,3378.07,2080.57,3378.07,4.35,41.24,25.4,41.24,0.0,86.0,42.11,41.5,
NVIDIA GeForce RTX 3070,dict4,196288799.0,200216493.0,198155201.67,197960313.0,35.0,35.0,35.0,35.0,73.0,74.0,73.33,73.0,356.11,2058.07,1420.08,2058.07,4.35,25.12,17.33,25.12,0.0,35.0,19.62,27.5,
NVIDIA GeForce RTX 3070,force,191199212.0,1235027285.0,1154031893.71,1230587192.0,74.0,95.0,90.47,92.0,71.0,78.0,74.76,75.0,356.11,3378.07,2298.81,3378.07,4.35,41.24,28.06,41.24,0.0,94.0,53.78,91.0,
