GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,920057.0,920807.0,920306.25,920247.0,95.0,96.0,95.38,95.0,69.0,71.0,70.12,70.0,885.91,6813.25,4719.06,6813.25,7.87,60.49,41.9,60.49,0.0,99.0,58.48,97.0,
NVIDIA GeForce GTX 1080 Ti,dict3,914641.0,964237.0,927299.67,922714.0,86.0,98.0,97.17,98.0,83.0,90.0,85.56,85.0,1142.88,7001.52,4073.07,4073.67,10.15,62.16,36.16,36.17,0.0,97.0,32.33,0.0,
NVIDIA GeForce GTX 1080 Ti,force,18.0,199733.0,106090.65,141916.0,53.0,94.0,59.91,58.0,56.0,59.0,57.57,58.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,437015.0,438164.0,437905.44,438100.0,95.0,95.0,95.0,95.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,949898.0,983584.0,961342.23,958569.0,81.0,82.0,81.31,81.0,86.0,89.0,87.08,87.0,327.78,6231.68,3992.72,6231.68,4.0,76.07,48.74,76.07,0.0,70.0,37.65,63.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1117703.0,1188241.0,1140684.94,1136068.0,84.0,95.0,93.78,95.0,86.0,88.0,87.22,87.0,338.56,6176.46,5415.08,6176.46,4.13,75.4,66.1,75.4,0.0,95.0,79.17,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1078719.0,1118041.0,1089179.83,1084874.0,94.0,95.0,94.94,95.0,87.0,88.0,87.67,88.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,4386.0,1194592.0,904936.33,1170470.5,65.0,96.0,83.56,95.0,67.0,89.0,83.11,86.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,615818.0,629224.0,623865.78,624061.0,59.0,67.0,61.0,60.0,79.0,84.0,82.56,83.0,338.56,6242.46,3548.11,5710.46,4.13,76.2,43.31,69.71,0.0,68.0,29.32,17.0,
NVIDIA GeForce RTX 3070,combinator,1195500.0,1202631.0,1197919.08,1197454.0,94.0,95.0,94.38,94.0,78.0,82.0,80.15,80.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,1140667.0,1189054.0,1153199.11,1151656.5,46.0,96.0,90.11,95.0,78.0,84.0,82.28,82.5,356.11,6190.07,5429.2,6190.07,4.35,75.56,66.27,75.56,0.0,95.0,71.61,93.0,
NVIDIA GeForce RTX 3070,dict4,1163156.0,1181554.0,1174114.72,1176944.5,94.0,95.0,94.78,95.0,80.0,83.0,82.17,82.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,74734.0,1204196.0,975254.5,1202165.0,53.0,95.0,83.83,93.5,68.0,79.0,75.0,76.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,1195067.0,1199751.0,1196536.12,1196370.5,94.0,95.0,94.5,94.5,76.0,78.0,77.0,77.0,499.77,6399.73,3707.11,6399.73,6.1,78.12,45.25,78.12,0.0,94.0,42.67,0.0,
NVIDIA GeForce RTX 3090,combinator,1624239.0,1644529.0,1632814.08,1632357.0,78.0,79.0,78.54,79.0,84.0,86.0,85.54,86.0,537.73,6537.34,4450.35,6537.34,2.19,26.6,18.11,26.6,0.0,85.0,49.76,82.0,
NVIDIA GeForce RTX 3090,dict3,1788175.0,1874736.0,1812633.72,1801710.0,44.0,96.0,84.22,95.0,84.0,87.0,85.83,86.0,541.8,6473.97,6124.86,6473.84,2.2,26.34,24.92,26.34,0.0,96.0,78.41,95.0,
NVIDIA GeForce RTX 3090,force,4834.0,1992771.0,1503043.39,1990841.0,51.0,94.0,84.56,93.0,76.0,85.0,81.5,83.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,1207530.0,1235346.0,1219020.44,1218528.0,36.0,72.0,59.44,68.0,81.0,83.0,82.33,82.0,527.44,6516.77,5595.73,6516.77,2.15,26.52,22.77,26.52,0.0,77.0,51.69,72.0,
NVIDIA RTX A4000,combinator,566540.0,587293.0,571667.36,569250.0,57.0,66.0,58.86,57.0,83.0,87.0,85.21,85.5,,,,,,,,,,,,,
NVIDIA RTX A4000,dict3,990856.0,1027247.0,999592.06,996551.0,45.0,97.0,93.11,96.0,87.0,91.0,89.22,89.0,842.96,6724.93,4998.2,6724.93,5.15,41.07,30.52,41.07,0.0,97.0,64.77,97.0,
NVIDIA RTX A4000,dict4,1017947.0,1032193.0,1025124.24,1025242.0,95.0,96.0,95.35,95.0,87.0,91.0,89.29,89.0,,,,,,,,,,,,,
NVIDIA RTX A4000,force,4747.0,1040999.0,790187.89,1037832.0,63.0,96.0,84.68,95.0,79.0,88.0,84.37,85.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,565285.0,590520.0,573752.75,570322.5,37.0,57.0,54.38,57.0,82.0,85.0,84.0,84.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,782840.0,783391.0,783058.92,783047.0,15.0,95.0,79.92,94.0,63.0,64.0,63.54,64.0,5558.91,6882.41,6506.38,6877.99,34.1,42.2,39.89,42.15,0,0,0,0,
Radeon RX Vega,dict3,763330.0,774384.0,767367.24,766722.0,14.0,96.0,77.53,95.0,69.0,71.0,70.06,70.0,5010.13,6338.36,6210.56,6337.4,30.7,38.9,38.08,38.8,0,0,0,0,
Radeon RX Vega,dict4,782341.0,787148.0,784274.94,783896.0,14.0,95.0,82.59,94.0,72.0,73.0,72.18,72.0,,,,,,,,,,,,,
Radeon RX Vega,force,1422.0,789862.0,592464.38,780317.0,20.0,96.0,66.81,69.0,60.0,68.0,65.48,67.0,8153.25,9800.91,9367.15,9732.07,50.0,60.1,57.43,59.7,0,0,0,0,
