GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,24995.0,27072.0,26237.25,26578.5,93.0,95.0,94.0,94.0,57.0,63.0,59.88,59.5,1537.08,3400.38,2618.58,3400.38,13.65,30.19,23.25,30.19,0.0,95.0,52.22,94.0,
NVIDIA GeForce GTX 1080 Ti,dict2,291.0,291.0,291.0,291.0,86.0,86.0,86.0,86.0,57.0,57.0,57.0,57.0,1685.37,3479.83,2122.82,1817.58,14.96,30.89,18.85,16.14,0.0,93.0,19.2,1.0,
NVIDIA GeForce GTX 1080 Ti,dict3,24954.0,25015.0,24992.44,24996.0,93.0,98.0,96.33,97.0,70.0,71.0,70.56,71.0,1664.61,3485.51,2808.05,3472.38,14.78,30.94,24.93,30.83,5.0,96.0,55.15,90.0,
NVIDIA GeForce GTX 1080 Ti,dict4,29155.0,29209.0,29166.5,29162.0,92.0,97.0,95.5,96.0,64.0,65.0,64.89,65.0,1148.1,2940.46,2397.36,2940.46,10.19,26.1,21.28,26.1,0.0,100.0,61.97,96.0,
NVIDIA GeForce GTX 1080 Ti,force,1024.0,19340.0,15113.58,17241.0,94.0,97.0,95.37,96.0,56.0,57.0,56.89,57.0,1145.0,3005.65,2354.9,3005.65,10.17,26.68,20.91,26.68,0.0,97.0,54.52,94.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,11046.0,11362.0,11262.44,11295.0,95.0,95.0,95.0,95.0,54.0,54.0,54.0,54.0,1142.16,3008.71,2090.8,1284.71,10.14,26.71,18.56,11.41,0.0,96.0,40.61,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,43275.0,43496.0,43359.0,43332.0,95.0,95.0,95.0,95.0,69.0,70.0,69.69,70.0,327.78,4293.68,2494.4,4293.68,4.0,52.41,30.45,52.41,0.0,92.0,45.86,66.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,36818.0,37044.0,36902.39,36901.5,79.0,82.0,80.39,81.0,64.0,66.0,64.78,65.0,338.56,4238.46,2928.69,4238.46,4.13,51.74,35.75,51.74,0.0,86.0,50.61,79.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,39300.0,39490.0,39349.5,39341.0,86.0,88.0,86.67,87.0,70.0,73.0,71.94,72.0,338.56,4238.46,2955.53,4238.46,4.13,51.74,36.08,51.74,0.0,89.0,56.52,87.0,
NVIDIA GeForce RTX 2080 SUPER,force,1917.0,40656.0,37470.0,40612.0,82.0,92.0,88.4,89.0,64.0,67.0,66.6,67.0,338.56,4304.46,3063.55,4304.46,4.13,52.54,37.4,52.54,0.0,92.0,54.72,87.0,
