GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,21809.0,21825.0,21815.88,21815.0,93.0,94.0,93.5,93.5,57.0,57.0,57.0,57.0,1610.59,3473.23,2657.89,3473.23,14.3,30.83,23.6,30.83,0.0,97.0,48.82,50.5,
NVIDIA GeForce GTX 1080 Ti,dict2,291.0,291.0,291.0,291.0,95.0,95.0,95.0,95.0,58.0,58.0,58.0,58.0,1528.77,3323.41,1993.65,1667.41,13.57,29.5,17.7,14.8,0.0,95.0,12.67,0.0,
NVIDIA GeForce GTX 1080 Ti,dict3,23909.0,23961.0,23931.5,23931.5,91.0,95.0,93.94,95.0,71.0,71.0,71.0,71.0,1098.12,2892.77,2259.06,2892.77,9.75,25.68,20.06,25.68,0.0,95.0,54.53,90.5,
NVIDIA GeForce GTX 1080 Ti,dict4,28908.0,28946.0,28929.61,28929.0,94.0,95.0,94.56,95.0,67.0,67.0,67.0,67.0,1133.38,2928.02,2294.05,2928.02,10.06,25.99,20.37,25.99,0.0,95.0,55.84,93.0,
NVIDIA GeForce GTX 1080 Ti,force,16.0,10801.0,7999.15,10646.0,90.0,97.0,93.22,93.0,53.0,54.0,53.67,54.0,1145.0,3005.65,2416.24,3005.65,10.17,26.68,21.45,26.68,0.0,98.0,57.44,94.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,10376.0,10659.0,10568.0,10592.0,93.0,94.0,93.25,93.0,54.0,54.0,54.0,54.0,1132.04,2995.77,2084.02,1271.77,10.05,26.6,18.5,11.29,0.0,95.0,40.87,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,40622.0,40783.0,40697.15,40689.0,89.0,89.0,89.0,89.0,69.0,70.0,69.69,70.0,327.78,4293.68,2693.16,4293.68,4.0,52.41,32.88,52.41,0.0,92.0,47.72,87.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,39293.0,39620.0,39391.35,39343.0,87.0,89.0,87.59,87.0,72.0,74.0,73.35,73.0,338.56,4238.46,2848.31,4238.46,4.13,51.74,34.77,51.74,0.0,91.0,50.72,80.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,39073.0,39615.0,39210.0,39156.0,86.0,88.0,86.61,87.0,75.0,78.0,76.83,77.0,338.56,4238.46,2809.09,4238.46,4.13,51.74,34.29,51.74,0.0,89.0,53.94,87.0,
NVIDIA GeForce RTX 2080 SUPER,force,1911.0,40918.0,37439.12,40822.0,85.0,90.0,88.56,89.0,65.0,70.0,68.75,69.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,40468.0,40762.0,40569.12,40552.0,88.0,89.0,88.38,88.0,68.0,69.0,68.88,69.0,338.56,4304.46,2205.26,456.46,4.13,52.54,26.92,5.57,0.0,88.0,38.54,10.0,
NVIDIA GeForce RTX 3070,combinator,54937.0,55184.0,55001.0,54987.0,89.0,90.0,89.15,89.0,67.0,68.0,67.23,67.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,49066.0,49664.0,49205.76,49129.0,75.0,90.0,80.71,81.0,69.0,71.0,69.76,70.0,356.11,5946.07,4067.73,5946.07,4.35,72.58,49.65,72.58,0.0,100.0,49.41,74.0,
NVIDIA GeForce RTX 3070,dict4,53899.0,54180.0,53972.28,53950.0,89.0,90.0,89.33,89.0,70.0,71.0,70.28,70.0,356.11,5946.07,4052.92,5946.07,4.35,72.58,49.47,72.58,0.0,100.0,54.91,87.0,
NVIDIA GeForce RTX 3070,force,1808.0,55041.0,48196.88,54861.0,80.0,100.0,89.12,89.0,63.0,65.0,64.06,64.0,356.11,6012.07,3957.11,6012.07,4.35,73.39,48.3,73.39,0.0,100.0,54.93,87.0,
NVIDIA GeForce RTX 3070,hybrid,54511.0,54858.0,54613.44,54574.0,89.0,90.0,89.22,89.0,67.0,67.0,67.0,67.0,495.0,6150.96,3151.38,648.96,6.04,75.09,38.47,7.92,0.0,99.0,36.67,0.0,
NVIDIA GeForce RTX 3090,combinator,96717.0,96935.0,96772.38,96736.0,90.0,91.0,90.77,91.0,78.0,78.0,78.0,78.0,542.01,10541.34,6026.24,10541.34,2.21,42.89,24.52,42.89,0.0,91.0,46.79,70.5,
NVIDIA GeForce RTX 3090,dict3,81177.0,81822.0,81416.89,81344.5,66.0,89.0,74.22,74.0,79.0,80.0,79.61,80.0,542.01,10475.34,6932.77,10475.34,2.21,42.62,28.21,42.62,0.0,98.0,47.97,74.0,
NVIDIA GeForce RTX 3090,force,1643.0,94685.0,82701.64,94553.0,83.0,88.0,86.5,87.0,75.0,76.0,75.93,76.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,96669.0,97484.0,96893.88,96810.5,91.0,91.0,91.0,91.0,74.0,75.0,74.88,75.0,532.6,10533.27,5639.77,5661.27,2.17,42.86,22.95,23.04,0.0,91.0,38.54,0.0,
NVIDIA RTX A4000,combinator,55719.0,55958.0,55834.54,55843.0,89.0,90.0,89.38,89.0,78.0,79.0,78.62,79.0,744.04,6642.01,4098.66,6642.01,4.54,40.56,25.03,40.56,0.0,100.0,49.0,67.0,
NVIDIA RTX A4000,dict3,49362.0,49786.0,49470.89,49414.0,74.0,92.0,79.06,77.5,82.0,83.0,82.11,82.0,843.9,6725.81,4673.07,6687.62,5.15,41.07,28.54,40.84,0.0,99.0,52.03,82.0,
NVIDIA RTX A4000,dict4,54043.0,55162.0,54469.89,54350.5,80.0,90.0,88.22,90.0,82.0,83.0,82.83,83.0,801.49,6657.79,4662.2,6636.23,4.89,40.66,28.47,40.52,1.0,94.0,59.19,92.0,
NVIDIA RTX A4000,force,1751.0,55933.0,49350.0,55819.0,89.0,91.0,89.4,89.0,73.0,78.0,75.87,76.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,55249.0,55549.0,55363.88,55344.5,89.0,90.0,89.5,89.5,77.0,78.0,77.75,78.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,19438.0,19487.0,19451.69,19450.0,15.0,50.0,39.46,40.0,62.0,63.0,62.69,63.0,5711.59,6286.15,6166.08,6285.21,35.0,38.5,37.78,38.5,0,0,0,0,
Radeon RX Vega,dict2,221.0,221.0,221.0,221.0,8.0,44.0,26.0,26.0,66.0,66.0,66.0,66.0,4604.29,5209.17,5022.43,4963.21,28.2,31.9,30.78,30.4,0,0,0,0,
Radeon RX Vega,dict3,18943.0,19097.0,19065.33,19081.5,21.0,59.0,52.83,55.0,70.0,71.0,70.89,71.0,5067.79,5896.02,5642.38,5695.85,31.1,36.1,34.58,34.9,0,0,0,0,
Radeon RX Vega,dict4,19399.0,19440.0,19427.53,19431.0,24.0,56.0,45.06,47.0,72.0,73.0,72.06,72.0,6498.97,7352.69,7079.62,7148.95,39.8,45.1,43.39,43.8,0,0,0,0,
Radeon RX Vega,force,22.0,19713.0,14714.0,19642.0,17.0,97.0,75.64,93.5,59.0,60.0,59.77,60.0,7795.07,8766.63,8604.05,8730.26,47.8,53.7,52.73,53.5,0,0,0,0,
Radeon RX Vega,hybrid,19538.0,19571.0,19553.5,19552.5,16.0,58.0,44.25,45.5,57.0,58.0,57.62,58.0,8240.13,9163.11,8937.06,8882.71,50.5,56.2,54.79,54.5,0,0,0,0,
