GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,177.0,177.0,177.0,177.0,95.0,96.0,95.67,96.0,56.0,56.0,56.0,56.0,2021.16,4184.18,3279.29,3886.46,17.94,37.15,29.11,34.5,0.0,99.0,52.22,97.0,
NVIDIA GeForce GTX 1080 Ti,dict1,23.0,23.0,23.0,23.0,96.0,97.0,96.17,96.0,57.0,58.0,57.5,57.5,1637.27,3439.42,2827.86,3431.92,14.54,30.53,25.11,30.47,2.0,99.0,60.17,95.0,
NVIDIA GeForce GTX 1080 Ti,dict2,1.0,1.0,1.0,1.0,94.0,95.0,94.06,94.0,52.0,53.0,52.17,52.0,1533.93,3329.23,2719.54,3329.23,13.62,29.56,24.14,29.56,0.0,99.0,59.31,97.0,
NVIDIA GeForce GTX 1080 Ti,dict3,239.0,239.0,239.0,239.0,97.0,97.0,97.0,97.0,66.0,67.0,66.17,66.0,1098.44,2893.09,2266.38,2893.09,9.75,25.68,20.12,25.68,0.0,99.0,57.91,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,239.0,239.0,239.0,239.0,97.0,97.0,97.0,97.0,66.0,67.0,66.28,66.0,1145.81,2940.46,2330.94,2940.46,10.17,26.1,20.69,26.1,0.0,99.0,58.97,97.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,94.0,94.0,94.0,94.0,52.0,53.0,52.22,52.0,1149.44,3010.09,2249.25,3010.09,10.2,26.72,19.97,26.72,0.0,99.0,50.83,97.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,88.0,89.0,88.75,89.0,94.0,95.0,94.38,94.0,56.0,56.0,56.0,56.0,1137.56,3000.21,2123.29,2138.21,10.1,26.64,18.85,18.98,0.0,99.0,48.21,41.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,344.0,346.0,344.31,344.0,94.0,95.0,94.77,95.0,68.0,70.0,69.0,69.0,327.78,4293.68,2672.16,4293.68,4.0,52.41,32.62,52.41,0.0,97.0,51.42,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,45.0,45.0,45.0,45.0,94.0,95.0,94.56,95.0,59.0,60.0,59.56,60.0,327.78,4227.68,2852.29,4227.68,4.0,51.61,34.82,51.61,0.0,95.0,55.25,94.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,4.0,4.0,4.0,4.0,94.0,95.0,94.28,94.0,60.0,61.0,60.22,60.0,338.56,4238.46,2863.08,4238.46,4.13,51.74,34.95,51.74,0.0,97.0,58.08,94.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,341.0,343.0,341.39,341.0,93.0,94.0,93.39,93.0,70.0,73.0,71.67,72.0,338.56,4238.46,2862.86,4238.46,4.13,51.74,34.95,51.74,0.0,97.0,57.64,94.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,338.0,341.0,338.72,338.0,93.0,94.0,93.67,94.0,74.0,77.0,76.0,76.0,338.56,4238.46,2863.1,4238.46,4.13,51.74,34.95,51.74,0.0,97.0,57.72,94.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,94.0,95.0,94.62,95.0,63.0,63.0,63.0,63.0,338.56,4304.46,2525.97,4304.46,4.13,52.54,30.83,52.54,0.0,97.0,49.08,63.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,347.0,347.0,347.0,347.0,94.0,95.0,94.44,94.0,68.0,69.0,68.78,69.0,338.56,4304.46,2204.17,456.46,4.13,52.54,26.91,5.57,0.0,97.0,43.78,1.0,
NVIDIA GeForce RTX 3070,combinator,467.0,467.0,467.0,467.0,93.0,95.0,94.77,95.0,66.0,66.0,66.0,66.0,356.11,6012.07,3694.75,6012.07,4.35,73.39,45.1,73.39,0.0,97.0,51.61,93.0,
NVIDIA GeForce RTX 3070,dict1,42.0,42.0,42.0,42.0,95.0,95.0,95.0,95.0,58.0,59.0,58.33,58.0,356.11,5946.07,3970.43,5946.07,4.35,72.58,48.47,72.58,0.0,97.0,57.67,94.0,
NVIDIA GeForce RTX 3070,dict2,4.0,4.0,4.0,4.0,94.0,95.0,94.22,94.0,59.0,59.0,59.0,59.0,356.11,5946.07,3970.18,5946.07,4.35,72.58,48.46,72.58,0.0,98.0,57.58,93.0,
NVIDIA GeForce RTX 3070,dict3,466.0,467.0,466.33,466.0,94.0,95.0,94.94,95.0,68.0,68.0,68.0,68.0,356.11,5946.07,3970.18,5946.07,4.35,72.58,48.46,72.58,0.0,99.0,57.89,94.0,
NVIDIA GeForce RTX 3070,dict4,466.0,467.0,466.11,466.0,94.0,95.0,94.83,95.0,69.0,69.0,69.0,69.0,356.11,5946.07,3970.18,5946.07,4.35,72.58,48.46,72.58,0.0,98.0,57.83,94.0,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,94.0,95.0,94.5,94.5,63.0,63.0,63.0,63.0,356.11,6012.07,3402.31,6012.07,4.35,73.39,41.53,73.39,0.0,97.0,46.64,40.0,
NVIDIA GeForce RTX 3070,hybrid,470.0,471.0,470.75,471.0,95.0,95.0,95.0,95.0,64.0,64.0,64.0,64.0,495.0,6150.96,3286.56,648.96,6.04,75.09,40.12,7.92,0.0,97.0,42.19,1.0,
NVIDIA GeForce RTX 3090,combinator,803.0,805.0,803.54,803.0,93.0,94.0,93.85,94.0,77.0,78.0,77.62,78.0,499.16,10500.52,6465.57,10500.52,2.03,42.73,26.31,42.73,0.0,99.0,52.88,93.5,
NVIDIA GeForce RTX 3090,dict1,39.0,39.0,39.0,39.0,88.0,90.0,88.89,89.0,70.0,72.0,70.89,71.0,499.91,10434.58,7055.44,10434.58,2.03,42.46,28.71,42.46,0.0,100.0,60.87,94.0,
NVIDIA GeForce RTX 3090,dict2,4.0,4.0,4.0,4.0,93.0,95.0,94.0,94.0,73.0,73.0,73.0,73.0,499.91,10434.58,7103.38,10434.58,2.03,42.46,28.9,42.46,0.0,100.0,61.0,94.0,
