GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,24255.0,24272.0,24258.33,24255.0,97.0,97.0,97.0,97.0,62.0,62.0,62.0,62.0,1665.2,6456.19,5950.07,6454.0,14.78,57.32,52.82,57.3,6.0,98.0,79.26,97.0,
NVIDIA GeForce GTX 1080 Ti,dict1,253.0,253.0,253.0,253.0,69.0,70.0,69.5,69.5,59.0,59.0,59.0,59.0,1643.27,6369.42,4343.62,6367.92,14.59,56.55,38.56,56.53,2.0,72.0,35.57,39.0,
NVIDIA GeForce GTX 1080 Ti,dict2,26.0,29.0,27.22,27.0,65.0,75.0,68.28,68.0,57.0,60.0,58.17,58.0,1538.18,6263.48,5672.87,6263.48,13.66,55.61,50.36,55.61,0.0,73.0,57.0,68.0,
NVIDIA GeForce GTX 1080 Ti,dict3,31389.0,31470.0,31436.5,31449.0,97.0,97.0,97.0,97.0,78.0,80.0,79.61,80.0,1107.66,5830.02,5419.41,5830.02,9.83,51.76,48.11,51.76,0.0,97.0,82.61,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,31466.0,31504.0,31473.39,31469.0,97.0,97.0,97.0,97.0,79.0,81.0,79.94,80.0,1148.1,5870.46,5459.85,5870.46,10.19,52.12,48.47,52.12,0.0,97.0,84.22,97.0,
NVIDIA GeForce GTX 1080 Ti,force,1.0,1.0,1.0,1.0,60.0,63.0,61.25,61.0,51.0,52.0,51.25,51.0,1149.44,5940.09,3697.22,5940.09,10.2,52.74,32.82,52.74,0.0,89.0,33.26,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,12323.0,12589.0,12509.0,12546.0,90.0,97.0,95.62,96.0,54.0,55.0,54.88,55.0,1133.12,5923.77,3687.01,5923.77,10.06,52.59,32.73,52.59,0.0,97.0,42.7,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,27656.0,27868.0,27776.0,27779.0,95.0,95.0,95.0,95.0,78.0,83.0,81.23,82.0,327.78,5097.68,3000.17,5097.68,4.0,62.23,36.62,62.23,0.0,95.0,47.45,44.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,51.0,53.0,51.94,52.0,63.0,69.0,68.0,69.0,60.0,61.0,60.06,60.0,338.56,5042.46,4401.11,5042.46,4.13,61.55,53.72,61.55,0.0,69.0,58.45,69.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,27436.0,27698.0,27528.22,27560.0,94.0,94.0,94.0,94.0,76.0,83.0,80.28,80.5,338.56,5042.46,4429.38,5042.46,4.13,61.55,54.07,61.55,0.0,95.0,80.3,94.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,26798.0,27277.0,26972.35,27011.0,94.0,94.0,94.0,94.0,83.0,86.0,84.71,85.0,338.56,5042.46,4428.99,5042.46,4.13,61.55,54.06,61.55,0.0,95.0,80.26,94.0,
NVIDIA GeForce RTX 2080 SUPER,force,5.0,5.0,5.0,5.0,67.0,70.0,68.88,69.0,62.0,63.0,62.62,63.0,338.56,5108.46,2771.79,2782.46,4.13,62.36,33.84,33.97,0.0,70.0,30.41,1.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,27880.0,28019.0,27941.25,27938.5,95.0,95.0,95.0,95.0,76.0,79.0,77.62,78.0,338.56,5108.46,2671.12,456.46,4.13,62.36,32.61,5.57,0.0,95.0,42.57,1.0,
NVIDIA GeForce RTX 3070,combinator,52607.0,52851.0,52714.15,52719.0,95.0,95.0,95.0,95.0,71.0,75.0,73.23,73.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict2,61.0,62.0,61.93,62.0,65.0,74.0,69.36,70.0,59.0,59.0,59.0,59.0,356.11,5064.07,4450.07,5064.07,4.35,61.82,54.32,61.82,0.0,91.0,47.87,56.0,
NVIDIA GeForce RTX 3070,dict3,51892.0,52270.0,52162.06,52137.0,85.0,96.0,94.5,95.0,70.0,76.0,73.39,73.5,356.11,5064.07,4509.94,5064.07,4.35,61.82,55.05,61.82,0.0,95.0,81.27,94.0,
NVIDIA GeForce RTX 3070,dict4,52484.0,52717.0,52587.11,52574.0,93.0,95.0,94.89,95.0,72.0,77.0,74.61,75.0,356.11,5064.07,4850.07,5064.07,4.35,61.82,59.2,61.82,0.0,95.0,81.64,94.0,
NVIDIA GeForce RTX 3070,force,6.0,6.0,6.0,6.0,64.0,70.0,67.62,68.0,62.0,62.0,62.0,62.0,356.11,5130.07,3326.85,5130.07,4.35,62.62,40.61,62.62,0.0,73.0,37.9,68.0,
NVIDIA GeForce RTX 3070,hybrid,52930.0,52979.0,52948.12,52946.0,95.0,95.0,95.0,95.0,68.0,71.0,69.75,70.0,495.0,5268.96,2845.18,648.96,6.04,64.32,34.73,7.92,0.0,95.0,38.48,0.0,
NVIDIA GeForce RTX 3090,combinator,59880.0,60703.0,60196.77,60066.0,65.0,78.0,66.92,66.0,81.0,84.0,82.54,83.0,499.16,5371.83,4709.05,5371.83,2.03,21.86,19.16,21.86,0.0,73.0,54.39,70.0,
NVIDIA GeForce RTX 3090,dict2,60.0,60.0,60.0,60.0,54.0,71.0,69.79,71.0,74.0,74.0,74.0,74.0,499.91,5306.58,4679.74,5306.58,2.03,21.59,19.04,21.59,0.0,96.0,56.43,66.0,
NVIDIA GeForce RTX 3090,dict3,87124.0,91216.0,89326.39,89058.0,94.0,96.0,95.11,95.0,82.0,84.0,82.94,83.0,543.23,5349.84,5131.36,5349.84,2.21,21.77,20.88,21.77,0.0,96.0,81.32,95.0,
