GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1696515493.0,2000670303.0,1837962835.62,1788979777.0,40.0,56.0,51.88,53.0,68.0,70.0,69.0,69.0,1520.04,4546.69,3036.96,3038.98,13.49,40.36,26.96,26.98,0.0,94.0,38.17,19.0,
NVIDIA GeForce GTX 1080 Ti,dict4,291115849.0,291115849.0,291115849.0,291115849.0,44.0,44.0,44.0,44.0,66.0,66.0,66.0,66.0,1133.38,2218.02,1857.03,2218.02,10.06,19.69,16.49,19.69,0.0,47.0,22.5,21.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,5285694714.0,3703745229.78,4952722997.0,96.0,98.0,96.56,96.0,59.0,62.0,60.56,60.0,1144.29,4171.65,2603.6,1283.65,10.16,37.04,23.11,11.4,0.0,95.0,26.33,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,8501824.0,2684417347.0,1305802829.29,829911793.0,2.0,95.0,41.93,22.0,56.0,60.0,57.36,56.5,1954.26,4982.93,3592.94,4982.93,17.35,44.24,31.9,44.24,0.0,86.0,19.21,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,6271690923.0,6371781191.0,6309332998.6,6289017223.0,69.0,76.0,73.2,76.0,82.0,83.0,82.6,83.0,327.78,3333.68,1870.13,1889.68,4.0,40.69,22.83,23.07,0.0,56.0,27.17,25.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,331812826.0,331812826.0,331812826.0,331812826.0,35.0,35.0,35.0,35.0,68.0,68.0,68.0,68.0,338.56,2070.46,1207.65,1213.46,4.13,25.27,14.74,14.81,0.0,32.0,13.83,9.5,
NVIDIA GeForce RTX 2080 SUPER,force,149642895.0,10438678762.0,6132945084.0,7991612345.0,64.0,75.0,68.8,66.0,71.0,83.0,77.0,75.0,338.56,3344.46,1780.74,456.46,4.13,40.83,21.74,5.57,0.0,92.0,25.07,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2691458742.0,6628476947.0,5114201497.21,5379536195.0,29.0,64.0,56.36,62.0,67.0,79.0,74.86,76.0,338.56,3344.46,1588.21,456.46,4.13,40.83,19.39,5.57,0.0,59.0,15.73,1.0,
NVIDIA GeForce RTX 3070,dict4,249422348.0,250163200.0,249792774.0,249792774.0,16.0,25.0,20.5,20.5,59.0,59.0,59.0,59.0,356.11,2058.07,1334.25,1588.07,4.35,25.12,16.29,19.39,0.0,27.0,13.0,12.0,
NVIDIA GeForce RTX 3070,force,382027232.0,11267782605.0,6190455947.75,6556006977.0,39.0,92.0,68.5,71.5,70.0,72.0,70.5,70.0,356.11,3378.07,1525.08,510.07,4.35,41.24,18.62,6.23,0.0,87.0,23.55,0.0,
NVIDIA GeForce RTX 3070,hybrid,2434366625.0,5929818583.0,5067787601.15,5469744827.0,14.0,65.0,54.46,61.0,68.0,71.0,70.46,71.0,443.36,3464.34,1923.11,609.78,5.41,42.29,23.48,7.44,0.0,100.0,26.12,0.0,
