GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict2,103.0,110.0,106.62,106.5,35.0,79.0,71.62,77.0,58.0,60.0,58.62,58.0,1639.96,7505.39,6430.52,7490.77,14.56,66.63,57.09,66.5,1.0,98.0,59.18,76.0,
NVIDIA GeForce GTX 1080 Ti,dict4,226939.0,241072.0,230481.28,229117.0,97.0,98.0,97.89,98.0,83.0,85.0,83.67,83.0,1145.81,7004.46,4076.01,4076.61,10.17,62.18,36.19,36.19,0.0,98.0,32.5,0.0,
NVIDIA GeForce GTX 1080 Ti,force,9.0,122699.0,47822.83,12329.5,76.0,88.0,80.87,78.0,53.0,61.0,56.0,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,86430.0,86819.0,86666.67,86717.0,95.0,96.0,95.11,95.0,59.0,60.0,59.56,60.0,1144.04,7070.84,4428.13,7070.84,10.16,62.77,39.31,62.77,0.0,99.0,48.91,48.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,196827.0,203734.0,199087.0,198516.0,82.0,83.0,82.31,82.0,86.0,89.0,87.38,87.0,327.78,6231.68,4080.01,6231.68,4.0,76.07,49.8,76.07,0.0,69.0,39.3,68.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,203.0,203.0,203.0,203.0,50.0,53.0,52.0,53.0,60.0,61.0,60.67,61.0,338.56,6176.46,4717.1,6176.46,4.13,75.4,57.58,75.4,0.0,53.0,38.88,51.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,240059.0,251877.0,245494.0,245558.0,94.0,95.0,94.94,95.0,85.0,90.0,87.06,87.0,338.56,6176.46,5380.88,6176.46,4.13,75.4,65.68,75.4,0.0,96.0,79.73,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,234266.0,246989.0,239506.12,238794.0,95.0,95.0,95.0,95.0,86.0,89.0,87.35,87.0,338.56,6176.46,5415.69,6176.46,4.13,75.4,66.11,75.4,0.0,95.0,76.83,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,911.0,173319.0,117086.47,171123.0,63.0,68.0,66.29,67.0,64.0,86.0,77.94,83.0,338.56,6242.46,4242.5,6242.46,4.13,76.2,51.79,76.2,0.0,63.0,35.28,53.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,150367.0,152679.0,151637.75,151654.0,68.0,75.0,71.62,71.5,83.0,84.0,83.5,83.5,338.56,6242.46,3388.64,4602.46,4.13,76.2,41.37,56.18,0.0,70.0,30.78,1.0,
