GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,143.0,144.0,143.38,143.0,97.0,98.0,97.25,97.0,83.0,85.0,83.62,83.5,2254.58,3588.67,3420.85,3577.38,20.02,31.86,30.37,31.76,0.0,99.0,80.94,98.0,
NVIDIA GeForce GTX 1080 Ti,dict1,1.0,1.0,1.0,1.0,71.0,77.0,75.0,75.0,57.0,57.0,57.0,57.0,1602.81,2867.61,2700.41,2867.61,14.23,25.46,23.97,25.46,2.0,76.0,61.61,74.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,75.0,77.0,75.94,76.0,57.0,59.0,57.44,57.0,1621.22,2900.07,2730.42,2897.2,14.39,25.75,24.24,25.72,0.0,90.0,71.61,86.0,
NVIDIA GeForce GTX 1080 Ti,dict3,119.0,122.0,120.33,120.0,96.0,97.0,96.28,96.0,82.0,85.0,83.67,84.0,1145.31,2401.96,2238.63,2401.96,10.17,21.32,19.87,21.32,0.0,98.0,81.3,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,140.0,143.0,141.12,141.0,97.0,98.0,97.76,98.0,82.0,85.0,83.35,83.0,1145.16,2402.46,2231.2,2402.46,10.17,21.33,19.81,21.33,0.0,98.0,81.45,97.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,76.0,78.0,76.67,77.0,54.0,54.0,54.0,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,54.0,55.0,54.88,55.0,94.0,95.0,94.62,95.0,59.0,59.0,59.0,59.0,1146.19,2468.84,1859.59,1876.84,10.18,21.92,16.51,16.66,0.0,97.0,41.29,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,195.0,203.0,198.08,197.0,94.0,95.0,94.77,95.0,85.0,90.0,87.08,87.0,327.78,1629.68,1092.61,1629.68,4.0,19.89,13.34,19.89,0.0,94.0,46.81,48.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,0.0,0.0,0.0,0.0,66.0,71.0,67.5,67.0,61.0,62.0,61.61,62.0,327.78,1563.68,1133.43,1563.68,4.0,19.09,13.84,19.09,0.0,71.0,42.53,68.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,66.0,68.0,66.89,67.0,60.0,60.0,60.0,60.0,338.56,1574.46,1420.05,1574.46,4.13,19.22,17.33,19.22,0.0,73.0,58.5,68.5,
