GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1838201990.0,1976860849.0,1908261897.88,1907927299.5,49.0,67.0,62.38,63.5,59.0,60.0,59.38,59.0,1462.45,4489.1,3885.4,4489.1,12.98,39.85,34.49,39.85,1.0,72.0,52.6,70.0,
NVIDIA GeForce GTX 1080 Ti,dict4,291394776.0,291394776.0,291394776.0,291394776.0,46.0,46.0,46.0,46.0,66.0,66.0,66.0,66.0,1144.31,2228.96,1867.55,2228.96,10.16,19.79,16.58,19.79,0.0,41.0,20.33,20.0,
NVIDIA GeForce GTX 1080 Ti,force,516788508.0,1608523068.0,1328226019.33,1529716800.0,86.0,98.0,93.78,94.0,52.0,59.0,53.22,52.0,1143.48,4174.34,2916.51,4174.34,10.15,37.06,25.89,37.06,0.0,99.0,44.0,26.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,8751452.0,642140067.0,465580739.82,514286597.5,1.0,50.0,35.82,45.0,52.0,53.0,52.77,53.0,1141.1,4168.46,2698.42,2724.46,10.13,37.01,23.96,24.19,0.0,98.0,14.56,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,5369856186.0,5853787960.0,5666640338.0,5661931151.0,65.0,73.0,68.6,67.0,72.0,77.0,74.8,75.0,327.85,3333.75,2934.16,3333.75,4.0,40.7,35.82,40.7,0.0,56.0,42.73,48.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,336299036.0,336299036.0,336299036.0,336299036.0,32.0,32.0,32.0,32.0,67.0,67.0,67.0,67.0,338.56,2070.46,1204.87,1204.99,4.13,25.27,14.71,14.71,0.0,26.0,15.62,22.0,
NVIDIA GeForce RTX 2080 SUPER,force,219817924.0,9594515202.0,4901395385.2,5878813825.0,59.0,68.0,62.4,63.0,67.0,75.0,69.2,67.0,338.56,3344.46,1762.32,456.46,4.13,40.83,21.51,5.57,0.0,66.0,23.15,1.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2420687814.0,5459016422.0,4852806805.31,5270597423.0,30.0,68.0,57.92,65.0,65.0,78.0,73.69,75.0,338.56,3344.46,1981.07,3344.46,4.13,40.83,24.18,40.83,0.0,52.0,16.93,8.0,
NVIDIA GeForce RTX 3070,combinator,4891971660.0,5010827654.0,4952506822.67,4946425471.5,50.0,64.0,55.5,54.0,67.0,69.0,68.0,68.0,262.87,3284.77,1910.52,3284.77,3.21,40.1,23.32,40.1,0.0,70.0,28.76,2.0,
NVIDIA GeForce RTX 3070,dict4,382628035.0,382628035.0,382628035.0,382628035.0,32.0,32.0,32.0,32.0,63.0,63.0,63.0,63.0,356.11,2058.07,1328.94,2058.07,4.35,25.12,16.22,25.12,0.0,24.0,12.71,20.0,
NVIDIA GeForce RTX 3070,force,158397555.0,11949963620.0,7804984558.5,9919174305.5,69.0,90.0,85.67,90.0,65.0,72.0,69.67,70.0,356.11,3378.07,1666.74,510.07,4.35,41.24,20.35,6.23,0.0,91.0,22.67,0.0,
NVIDIA GeForce RTX 3070,hybrid,1408609755.0,3553700584.0,3130807724.77,3463107104.0,13.0,69.0,56.54,68.0,52.0,59.0,57.38,58.0,424.07,3447.97,2216.08,3447.97,5.18,42.09,27.05,42.09,0.0,57.0,14.21,0.0,
