GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,7427849704.0,7427849704.0,7427849704.0,7427849704.0,94.0,94.0,94.0,94.0,68.0,68.0,68.0,68.0,1457.05,4484.35,2970.92,2971.03,12.94,39.81,26.38,26.38,1.0,97.0,33.67,3.5,
NVIDIA GeForce GTX 1080 Ti,dict4,302870821.0,302870821.0,302870821.0,302870821.0,39.0,39.0,39.0,39.0,66.0,66.0,66.0,66.0,1143.66,2230.46,1868.55,2230.46,10.15,19.8,16.59,19.8,0.0,47.0,21.17,19.0,
NVIDIA GeForce GTX 1080 Ti,force,137819789.0,3754003104.0,2123338924.5,2544703704.0,48.0,96.0,83.12,93.5,51.0,57.0,53.0,53.0,1147.6,4176.09,2702.24,2732.09,10.19,37.07,23.99,24.26,0.0,97.0,25.29,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,8839528.0,3267193216.0,2430124460.59,3260545891.0,0.0,95.0,63.35,93.0,52.0,57.0,55.12,56.0,1141.1,4168.46,2861.76,4168.46,10.13,37.01,25.41,37.01,0.0,98.0,16.33,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,7625419767.0,7726670589.0,7661601288.33,7632713509.0,66.0,72.0,70.0,72.0,73.0,75.0,74.0,74.0,327.85,3333.75,2872.68,3333.75,4.0,40.7,35.07,40.7,0.0,45.0,35.08,41.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,362401786.0,362401786.0,362401786.0,362401786.0,30.0,30.0,30.0,30.0,66.0,66.0,66.0,66.0,338.56,2070.46,1273.63,1686.46,4.13,25.27,15.55,20.59,0.0,41.0,16.14,10.0,
NVIDIA GeForce RTX 2080 SUPER,force,528873205.0,13488738606.0,7725545887.0,11134335455.0,63.0,77.0,66.2,64.0,70.0,76.0,73.2,75.0,338.56,3344.46,1747.84,456.46,4.13,40.83,21.34,5.57,0.0,70.0,22.91,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2649734550.0,12415754082.0,7528252314.75,7523760313.5,27.0,42.0,34.5,34.5,65.0,75.0,70.0,70.0,338.56,3344.46,1389.81,456.46,4.13,40.83,16.97,5.57,0.0,36.0,11.67,4.0,
NVIDIA GeForce RTX 3070,combinator,6212963065.0,6437927118.0,6294380142.25,6263315193.0,44.0,59.0,49.0,46.5,68.0,69.0,68.5,68.5,304.09,3326.05,1765.79,458.05,3.71,40.6,21.56,5.59,0.0,72.0,24.8,0.0,
NVIDIA GeForce RTX 3070,dict4,258263431.0,258518688.0,258391059.5,258391059.5,15.0,22.0,18.5,18.5,62.0,62.0,62.0,62.0,356.11,2058.07,1571.94,2058.07,4.35,25.12,19.19,25.12,0.0,18.0,9.29,15.0,
NVIDIA GeForce RTX 3070,force,506012664.0,12886179018.0,7379375112.8,7875855560.0,20.0,88.0,58.6,54.0,67.0,71.0,68.6,69.0,356.11,3378.07,1511.17,510.07,4.35,41.24,18.45,6.23,0.0,82.0,20.82,0.0,
