GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2172783106.0,2314903292.0,2268037757.12,2271322109.5,48.0,61.0,58.38,60.0,70.0,70.0,70.0,70.0,1531.27,4558.56,3347.77,4558.56,13.59,40.47,29.72,40.47,0.0,94.0,52.8,76.0,
NVIDIA GeForce GTX 1080 Ti,dict4,291412971.0,291412971.0,291412971.0,291412971.0,40.0,40.0,40.0,40.0,65.0,65.0,65.0,65.0,1148.1,2230.46,1869.78,2230.46,10.19,19.8,16.6,19.8,0.0,47.0,21.67,20.5,
NVIDIA GeForce GTX 1080 Ti,force,122909369.0,4834103862.0,3802858394.11,4759883214.0,71.0,98.0,89.56,92.0,59.0,63.0,61.67,62.0,1147.04,4176.09,2809.71,4176.09,10.18,37.07,24.94,37.07,0.0,96.0,38.73,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,7997703.0,2272247000.0,1079301316.87,696850638.0,1.0,93.0,40.6,34.0,53.0,57.0,54.8,54.0,1146.06,4172.71,2619.32,1284.71,10.17,37.04,23.25,11.41,0.0,86.0,12.06,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,4773521838.0,5100365385.0,4966274179.83,4984810937.5,59.0,65.0,62.67,64.0,79.0,82.0,80.83,81.0,327.78,3333.68,2016.49,3333.68,4.0,40.69,24.62,40.69,0.0,57.0,27.75,36.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,337842592.0,337842592.0,337842592.0,337842592.0,34.0,34.0,34.0,34.0,70.0,70.0,70.0,70.0,338.56,2070.46,1206.32,1209.46,4.13,25.27,14.73,14.76,0.0,37.0,20.0,23.5,
NVIDIA GeForce RTX 2080 SUPER,force,145612846.0,11150497223.0,6857065362.67,8719238627.5,59.0,77.0,73.33,76.0,71.0,81.0,77.83,80.0,338.56,3344.46,1771.32,456.46,4.13,40.83,21.62,5.57,0.0,81.0,28.69,1.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2433482219.0,5552928984.0,4784444133.14,5169481724.5,31.0,68.0,58.29,67.0,69.0,82.0,77.5,79.0,338.56,3344.46,1588.21,456.46,4.13,40.83,19.39,5.57,0.0,56.0,12.87,0.0,
NVIDIA GeForce RTX 3070,combinator,3917260545.0,4566509794.0,4163873359.38,4141564497.0,41.0,67.0,60.12,65.0,68.0,70.0,69.38,69.5,356.11,3378.07,1995.34,3378.07,4.35,41.24,24.36,41.24,0.0,96.0,32.26,35.0,
NVIDIA GeForce RTX 3070,dict4,247868105.0,249582808.0,248725456.5,248725456.5,23.0,24.0,23.5,23.5,61.0,61.0,61.0,61.0,356.11,2058.07,1490.91,2058.07,4.35,25.12,18.2,25.12,0.0,29.0,13.5,12.5,
