GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2564484748.0,2653311658.0,2591204968.11,2587329021.0,89.0,90.0,89.11,89.0,74.0,76.0,75.44,76.0,1520.89,4548.19,4169.82,4548.19,13.5,40.38,37.02,40.38,0.0,94.0,80.19,94.0,
NVIDIA GeForce GTX 1080 Ti,dict4,285703552.0,285703552.0,285703552.0,285703552.0,42.0,42.0,42.0,42.0,66.0,66.0,66.0,66.0,1145.16,2223.52,1864.18,2223.52,10.17,19.74,16.55,19.74,0.0,46.0,21.17,19.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,3602134735.0,2244000737.86,3033048259.0,70.0,98.0,92.0,95.0,59.0,62.0,60.57,60.0,1144.35,4176.09,2599.29,1288.09,10.16,37.07,23.08,11.44,0.0,98.0,37.08,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,619047178.0,1097673601.0,969217090.27,1095622065.0,20.0,93.0,83.0,93.0,55.0,57.0,56.47,57.0,1146.06,4172.71,3093.4,4170.59,10.17,37.04,27.46,37.03,0.0,92.0,20.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1762828439.0,2715400633.0,2490545642.14,2508128773.0,56.0,64.0,58.14,58.0,75.0,80.0,77.14,77.0,327.78,3333.68,2326.24,3333.68,4.0,40.69,28.4,40.69,0.0,58.0,27.84,42.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,336424937.0,336424937.0,336424937.0,336424937.0,33.0,33.0,33.0,33.0,71.0,71.0,71.0,71.0,338.56,2070.46,1222.99,1277.46,4.13,25.27,14.93,15.59,0.0,25.0,16.12,22.5,
NVIDIA GeForce RTX 2080 SUPER,force,581874358.0,6753439844.0,4696234597.0,6212476822.5,57.0,90.0,74.17,75.5,69.0,84.0,77.33,78.5,338.56,3344.46,1780.74,456.46,4.13,40.83,21.74,5.57,0.0,87.0,27.6,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,6590783033.0,6615060236.0,6602921634.5,6602921634.5,60.0,60.0,60.0,60.0,83.0,83.0,83.0,83.0,338.56,3344.46,1399.56,456.46,4.13,40.83,17.08,5.57,0.0,34.0,7.33,0.0,
NVIDIA GeForce RTX 3070,combinator,6210673327.0,6210673327.0,6210673327.0,6210673327.0,81.0,81.0,81.0,81.0,74.0,74.0,74.0,74.0,356.11,3378.07,1829.2,1255.07,4.35,41.24,22.33,15.32,0.0,75.0,26.69,6.0,
NVIDIA GeForce RTX 3070,dict4,261197172.0,262304991.0,261751081.5,261751081.5,13.0,20.0,16.5,16.5,60.0,60.0,60.0,60.0,356.11,2058.07,1420.08,2058.07,4.35,25.12,17.33,25.12,0.0,20.0,7.75,6.0,
