GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1519296869.0,1520145765.0,1519781554.62,1519900783.0,93.0,94.0,93.88,94.0,61.0,62.0,61.25,61.0,2271.33,5298.5,4743.43,5294.5,20.16,47.04,42.11,47.0,0.0,93.0,67.36,93.0,
NVIDIA GeForce GTX 1080 Ti,dict4,269816500.0,269816500.0,269816500.0,269816500.0,47.0,47.0,47.0,47.0,67.0,67.0,67.0,67.0,1138.88,2223.52,1760.56,2223.52,10.11,19.74,15.63,19.74,0.0,48.0,25.57,42.0,
NVIDIA GeForce GTX 1080 Ti,force,62348115.0,1172463278.0,1000587079.32,1151430033.0,51.0,98.0,90.05,91.0,56.0,58.0,57.42,58.0,1147.23,4176.09,2844.35,4176.09,10.18,37.07,25.25,37.07,0.0,98.0,45.41,48.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,579742939.0,794341871.0,730128015.88,793132598.0,46.0,94.0,85.44,94.0,56.0,57.0,56.62,57.0,1141.04,4168.4,2380.36,1280.4,10.13,37.01,21.13,11.37,0.0,96.0,10.44,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,3836906373.0,3836906373.0,3836906373.0,3836906373.0,91.0,91.0,91.0,91.0,83.0,83.0,83.0,83.0,327.78,3333.68,2053.56,3333.68,4.0,40.69,25.07,40.69,0.0,68.0,32.44,39.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,206051777.0,208777291.0,207619800.67,208030334.0,27.0,28.0,27.33,27.0,67.0,68.0,67.33,67.0,338.56,2070.46,1576.91,2070.46,4.13,25.27,19.25,25.27,0.0,31.0,19.57,27.0,
NVIDIA GeForce RTX 2080 SUPER,force,318881747.0,4591446752.0,3645115468.78,4496756646.0,58.0,93.0,82.11,88.0,73.0,86.0,81.56,85.0,338.56,3344.46,1738.47,456.46,4.13,40.83,21.22,5.57,0.0,94.0,34.1,11.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2383927382.0,4016429387.0,3781318987.31,3880295549.0,41.0,94.0,87.77,94.0,70.0,87.0,84.23,86.0,338.56,3344.46,1501.9,456.46,4.13,40.83,18.33,5.57,0.0,68.0,17.42,0.0,
NVIDIA GeForce RTX 3070,combinator,2912934547.0,2980630341.0,2945393381.0,2944568906.5,68.0,75.0,71.38,72.0,72.0,74.0,73.25,73.0,356.11,3378.07,1861.99,510.07,4.35,41.24,22.73,6.23,0.0,75.0,33.43,0.0,
NVIDIA GeForce RTX 3070,dict4,258800382.0,259148066.0,258974224.0,258974224.0,16.0,16.0,16.0,16.0,63.0,63.0,63.0,63.0,356.11,2058.07,1328.94,2058.07,4.35,25.12,16.22,25.12,0.0,19.0,9.71,14.0,
NVIDIA GeForce RTX 3070,force,308851471.0,4743944039.0,3955161706.67,4684806781.0,56.0,94.0,85.0,93.0,71.0,75.0,73.22,73.0,356.11,3378.07,1693.44,510.07,4.35,41.24,20.67,6.23,0.0,99.0,30.79,0.0,
NVIDIA GeForce RTX 3070,hybrid,1830415869.0,2036252526.0,1950927068.18,1959854209.0,36.0,66.0,60.27,62.0,70.0,71.0,70.64,71.0,489.27,3511.23,1459.71,643.23,5.97,42.86,17.82,7.85,0.0,96.0,19.53,0.0,
NVIDIA GeForce RTX 3090,combinator,2091788613.0,2612370040.0,2302053243.38,2251021591.0,32.0,58.0,52.23,58.0,80.0,81.0,80.38,80.0,499.16,3621.83,2841.38,3621.83,2.03,14.74,11.56,14.74,0.0,84.0,42.75,54.0,
NVIDIA GeForce RTX 3090,dict4,288024990.0,288024990.0,288024990.0,288024990.0,16.0,16.0,16.0,16.0,75.0,75.0,75.0,75.0,540.61,3553.34,2423.75,3553.34,2.2,14.46,9.86,14.46,0.0,16.0,5.75,4.5,
NVIDIA GeForce RTX 3090,force,562207494.0,7959066867.0,5027614446.75,5794591713.0,82.0,95.0,90.75,93.0,79.0,81.0,80.0,80.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,10694242.0,3189998587.0,2196976645.0,3048631435.0,2.0,71.0,49.76,70.0,68.0,79.0,74.82,77.0,530.66,3653.34,2055.18,787.34,2.16,14.87,8.36,3.2,0.0,71.0,8.95,0.0,
NVIDIA RTX A4000,combinator,2700987556.0,2765661691.0,2732608028.67,2738581815.0,46.0,73.0,67.67,70.0,82.0,85.0,83.56,84.0,758.86,3808.82,2186.49,920.82,4.63,23.26,13.35,5.62,0.0,96.0,35.44,0.0,
NVIDIA RTX A4000,dict4,351069734.0,351069734.0,351069734.0,351069734.0,25.0,25.0,25.0,25.0,73.0,73.0,73.0,73.0,830.97,2606.94,2014.49,2604.56,5.07,15.92,12.3,15.9,3.0,32.0,16.0,14.0,
NVIDIA RTX A4000,force,289672741.0,4185021224.0,2925714576.8,3849516967.0,47.0,94.0,80.8,91.0,79.0,81.0,79.8,80.0,743.73,3793.7,2650.39,3793.7,4.54,23.17,16.18,23.17,0.0,96.0,42.96,26.0,
NVIDIA RTX A4000,hybrid,3713445651.0,3804938959.0,3738474694.73,3730157112.0,94.0,95.0,94.09,94.0,78.0,84.0,81.27,81.0,1259.21,4317.3,2853.28,2871.05,7.69,26.36,17.42,17.53,0.0,99.0,30.55,6.5,
Radeon RX Vega,combinator,485025778.0,486461758.0,485494993.31,485287080.0,16.0,44.0,39.92,41.0,65.0,68.0,65.92,66.0,5584.74,6877.63,6682.52,6874.88,34.2,42.2,40.97,42.1,0,0,0,0,
Radeon RX Vega,dict3,28234966.0,28465363.0,28363139.0,28389088.0,0.0,14.0,4.67,0.0,65.0,66.0,65.33,65.0,5007.72,6332.06,5765.42,5829.03,30.7,38.8,35.35,35.75,0,0,0,0,
Radeon RX Vega,dict4,119696418.0,124623275.0,120958242.4,120607241.0,0.0,57.0,28.6,34.5,70.0,71.0,70.5,70.5,6389.59,7717.45,7333.28,7703.11,39.2,47.3,44.96,47.2,0,0,0,0,
Radeon RX Vega,force,94549489.0,495576454.0,471292314.71,492803858.0,0.0,92.0,55.14,56.0,61.0,69.0,67.62,69.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,306437579.0,482527671.0,436950386.62,457030861.0,0.0,59.0,39.19,41.0,57.0,59.0,58.48,59.0,8862.41,10405.01,9524.52,9462.51,54.3,63.8,58.38,58.0,0,0,0,0,
