GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2150874030.0,2170592088.0,2162570058.2,2166603540.0,91.0,98.0,95.4,96.0,61.0,63.0,61.8,62.0,1457.05,4484.35,3979.87,4484.35,12.94,39.81,35.33,39.81,1.0,96.0,71.28,94.0,
NVIDIA GeForce GTX 1080 Ti,dict4,187644801.0,189997400.0,188679149.33,188395247.0,32.0,33.0,32.33,32.0,64.0,64.0,64.0,64.0,1148.1,2233.4,1870.27,2230.46,10.19,19.83,16.6,19.8,0.0,47.0,26.0,33.5,
NVIDIA GeForce GTX 1080 Ti,force,56068444.0,3676547452.0,2223119750.5,2750453441.0,49.0,96.0,86.67,93.5,52.0,53.0,52.33,52.0,1145.54,4176.09,2588.71,1288.09,10.17,37.07,22.98,11.44,0.0,97.0,36.62,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,1641364181.0,1397450185.06,1640180907.0,8.0,94.0,77.62,94.0,53.0,55.0,54.69,55.0,1141.81,4168.46,2518.2,1280.46,10.14,37.01,22.36,11.37,0.0,98.0,20.12,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,3878591289.0,3931912371.0,3915009187.25,3919482755.5,76.0,86.0,82.0,85.0,72.0,77.0,75.0,75.0,327.91,3333.81,2958.03,3333.68,4.0,40.7,36.11,40.69,0.0,65.0,53.31,63.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,319341279.0,319341279.0,319341279.0,319341279.0,37.0,37.0,37.0,37.0,70.0,70.0,70.0,70.0,338.56,2070.46,1422.24,2070.46,4.13,25.27,17.36,25.27,0.0,29.0,14.5,14.5,
NVIDIA GeForce RTX 2080 SUPER,force,335048183.0,13326219995.0,7605181030.4,10891884891.0,55.0,76.0,62.4,63.0,70.0,76.0,73.4,75.0,338.56,3344.46,1747.84,456.46,4.13,40.83,21.34,5.57,0.0,91.0,21.45,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2593729226.0,5652577131.0,4549160118.85,4791258308.0,39.0,67.0,59.62,64.0,64.0,73.0,69.92,71.0,338.56,3344.46,1624.94,456.46,4.13,40.83,19.84,5.57,0.0,62.0,16.12,0.0,
NVIDIA GeForce RTX 3070,combinator,2730443942.0,3021512112.0,2842544551.46,2843004552.0,46.0,72.0,50.77,49.0,64.0,67.0,65.54,66.0,304.16,3338.23,2142.92,3329.87,3.71,40.75,26.16,40.65,0.0,71.0,37.64,63.5,
NVIDIA GeForce RTX 3070,dict4,243543007.0,244730045.0,244136526.0,244136526.0,18.0,18.0,18.0,18.0,60.0,60.0,60.0,60.0,356.11,2058.07,1328.94,2058.07,4.35,25.12,16.22,25.12,0.0,24.0,10.71,16.0,
NVIDIA GeForce RTX 3070,force,326133309.0,12929950258.0,7184511949.5,7740982115.5,45.0,92.0,69.25,70.0,67.0,70.0,68.0,67.5,356.11,3378.07,1511.17,510.07,4.35,41.24,18.45,6.23,0.0,83.0,17.45,0.0,
NVIDIA GeForce RTX 3070,hybrid,2334887595.0,5053422344.0,4452720695.38,4823996690.0,16.0,72.0,58.31,68.0,58.0,63.0,61.38,62.0,430.69,3455.98,1640.49,600.0,5.26,42.19,20.03,7.32,0.0,99.0,18.62,1.5,
NVIDIA GeForce RTX 3090,combinator,4131608047.0,4512609379.0,4235533860.14,4190077961.0,41.0,67.0,61.71,67.0,71.0,73.0,72.14,72.0,496.89,3618.23,3033.15,3618.23,2.02,14.72,12.34,14.72,0.0,80.0,52.06,62.0,
NVIDIA GeForce RTX 3090,dict4,154963994.0,158695360.0,156676342.25,156523007.5,5.0,22.0,10.5,7.5,71.0,72.0,71.75,72.0,542.01,3553.34,2884.28,3553.34,2.21,14.46,11.74,14.46,0.0,11.0,5.33,5.0,
NVIDIA GeForce RTX 3090,force,930598378.0,22386028394.0,13312664228.0,15435288940.0,39.0,91.0,74.4,87.0,76.0,78.0,76.8,76.0,723.67,3846.34,1952.76,980.34,2.94,15.65,7.95,3.99,0.0,89.0,16.27,0.0,
NVIDIA GeForce RTX 3090,hybrid,10702309.0,3236466650.0,2478875581.81,2664046061.5,2.0,80.0,57.19,71.0,68.0,74.0,73.19,74.0,505.55,3628.22,2691.68,3628.22,2.06,14.76,10.95,14.76,3.0,97.0,20.5,6.0,
NVIDIA RTX A4000,combinator,2789111115.0,2961911858.0,2857827623.33,2854968024.5,35.0,61.0,53.75,56.0,75.0,79.0,77.17,77.0,998.45,4048.42,2885.42,4048.42,6.1,24.72,17.62,24.72,0.0,96.0,51.73,77.5,
NVIDIA RTX A4000,dict4,137188406.0,141620322.0,139903577.2,140940877.0,15.0,22.0,17.4,16.0,69.0,70.0,69.6,70.0,775.07,2567.04,2148.97,2550.02,4.73,15.68,13.12,15.57,0.0,48.0,13.69,13.0,
NVIDIA RTX A4000,force,0.0,11714515002.0,5128531955.4,3539086070.0,33.0,92.0,58.4,38.0,78.0,79.0,78.8,79.0,743.39,3793.36,2068.53,905.36,4.54,23.16,12.63,5.53,0.0,85.0,16.5,0.0,
NVIDIA RTX A4000,hybrid,2402086864.0,8828700317.0,5653962536.75,5692531483.0,27.0,93.0,57.5,55.0,73.0,75.0,74.0,74.0,889.64,3939.61,2234.81,1051.61,5.43,24.06,13.65,6.42,0.0,92.0,18.2,0.0,
Radeon RX Vega,combinator,463897481.0,480928964.0,470814621.0,467961818.0,17.0,48.0,40.15,42.0,48.0,49.0,48.77,49.0,8933.18,10251.91,9856.01,10231.41,54.8,62.8,60.42,62.7,0,0,0,0,
Radeon RX Vega,dict3,28230006.0,28514880.0,28379846.67,28394654.0,0.0,40.0,13.33,0.0,72.0,72.0,72.0,72.0,4613.96,5892.07,5499.11,5872.98,28.3,36.1,33.7,36.0,0,0,0,0,
Radeon RX Vega,dict4,131858815.0,137740662.0,133828787.12,132805110.0,0.0,59.0,35.88,47.5,72.0,73.0,72.75,73.0,7457.76,8826.75,8492.91,8711.36,45.7,54.1,52.06,53.4,0,0,0,0,
Radeon RX Vega,force,122632429.0,2593972609.0,2264331650.14,2576918166.5,4.0,95.0,51.43,46.5,73.0,75.0,74.36,74.5,7589.91,9267.31,8817.16,9241.35,46.5,56.8,54.05,56.7,0,0,0,0,
Radeon RX Vega,hybrid,481917894.0,524453177.0,508944497.94,506250095.0,0.0,59.0,39.89,40.5,58.0,59.0,58.44,58.0,8355.24,9876.73,9451.42,9850.76,51.2,60.5,57.92,60.4,0,0,0,0,
