GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1426542762.0,1633899244.0,1544377243.78,1533675243.0,70.0,73.0,71.67,72.0,61.0,63.0,61.78,61.0,1534.98,4561.62,3994.25,4561.62,13.63,40.5,35.46,40.5,0.0,94.0,72.5,93.5,
NVIDIA GeForce GTX 1080 Ti,dict4,280406935.0,280406935.0,280406935.0,280406935.0,43.0,43.0,43.0,43.0,66.0,66.0,66.0,66.0,1148.1,2230.46,1869.78,2230.46,10.19,19.8,16.6,19.8,0.0,48.0,23.0,21.5,
NVIDIA GeForce GTX 1080 Ti,force,420997234.0,2878775790.0,2553494411.31,2866706054.0,71.0,97.0,93.62,95.0,61.0,66.0,64.77,65.0,1145.54,4176.4,3090.25,4176.4,10.17,37.08,27.43,37.08,0.0,97.0,43.89,40.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,765080978.0,1459220246.0,1264781863.4,1435429690.5,15.0,96.0,78.6,95.0,54.0,58.0,56.7,57.5,1146.06,4172.71,2866.16,4172.71,10.17,37.04,25.45,37.04,0.0,70.0,20.22,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,3070429454.0,3278902061.0,3162464639.73,3131544483.0,67.0,75.0,71.45,74.0,84.0,87.0,85.36,85.0,327.78,3333.68,2481.56,3333.68,4.0,40.69,30.29,40.69,0.0,54.0,33.54,47.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,218064497.0,219968432.0,219016464.5,219016464.5,23.0,26.0,24.5,24.5,66.0,66.0,66.0,66.0,338.56,2070.46,1206.32,1209.46,4.13,25.27,14.73,14.76,0.0,35.0,16.0,11.5,
NVIDIA GeForce RTX 2080 SUPER,force,25394096.0,5012852720.0,2691955972.43,3531112790.0,57.0,88.0,66.86,63.0,69.0,82.0,74.0,72.0,338.56,3344.46,1875.33,1900.46,4.13,40.83,22.89,23.2,0.0,88.0,31.36,20.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,10489818.0,3051128410.0,2421569635.4,2746798694.0,1.0,70.0,54.0,61.0,57.0,83.0,77.47,80.0,338.56,3344.46,1815.72,1398.46,4.13,40.83,22.16,17.07,0.0,67.0,19.81,0.5,
NVIDIA GeForce RTX 3070,combinator,4376939797.0,4376939797.0,4376939797.0,4376939797.0,75.0,75.0,75.0,75.0,73.0,73.0,73.0,73.0,356.11,3378.07,1427.74,510.07,4.35,41.24,17.43,6.23,0.0,90.0,23.67,0.0,
NVIDIA GeForce RTX 3070,dict4,244756048.0,244970492.0,244863270.0,244863270.0,17.0,19.0,18.0,18.0,62.0,62.0,62.0,62.0,356.11,2058.07,1490.91,2058.07,4.35,25.12,18.2,25.12,0.0,30.0,13.5,11.0,
