GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,3684300049.0,3746893142.0,3704655656.88,3698117719.0,93.0,93.0,93.0,93.0,82.0,85.0,83.75,84.0,1531.27,4558.56,3909.95,4558.56,13.59,40.47,34.71,40.47,0.0,93.0,71.36,92.0,
NVIDIA GeForce GTX 1080 Ti,dict4,287661380.0,287661380.0,287661380.0,287661380.0,41.0,41.0,41.0,41.0,67.0,67.0,67.0,67.0,1148.1,2230.46,1869.78,2230.46,10.19,19.8,16.6,19.8,0.0,46.0,22.33,21.5,
NVIDIA GeForce GTX 1080 Ti,force,541617735.0,3207483501.0,2791531595.64,3185121123.0,94.0,98.0,95.18,95.0,61.0,64.0,62.64,63.0,1149.44,4176.09,2821.86,4176.09,10.2,37.07,25.05,37.07,0.0,96.0,26.54,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,1549216766.0,1199727822.9,1454817006.0,22.0,95.0,75.6,91.0,56.0,60.0,58.0,58.0,1143.91,4172.71,2619.18,1284.71,10.16,37.04,23.25,11.41,0.0,94.0,20.29,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,4959691806.0,5121251773.0,5028043053.33,5016930692.5,86.0,95.0,92.0,95.0,86.0,88.0,87.0,87.0,327.78,3333.68,2150.6,3333.68,4.0,40.69,26.25,40.69,0.0,65.0,36.33,59.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,339891121.0,339891121.0,339891121.0,339891121.0,36.0,36.0,36.0,36.0,71.0,71.0,71.0,71.0,338.56,2070.46,1108.63,522.46,4.13,25.27,13.53,6.38,0.0,40.0,16.86,14.0,
NVIDIA GeForce RTX 2080 SUPER,force,544185416.0,5539067193.0,3671296589.6,5124654974.0,63.0,93.0,72.0,64.0,72.0,83.0,77.8,78.0,338.56,3344.46,1973.27,3344.46,4.13,40.83,24.09,40.83,0.0,92.0,39.53,46.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2804093449.0,5082224092.0,4316311331.0,5062616452.0,53.0,56.0,55.0,56.0,70.0,83.0,77.67,80.0,338.56,3344.46,1327.01,456.46,4.13,40.83,16.2,5.57,0.0,48.0,11.23,0.0,
NVIDIA GeForce RTX 3070,combinator,4506427375.0,4574168769.0,4547188865.17,4561989752.0,85.0,89.0,86.5,86.0,73.0,76.0,74.83,75.0,356.11,3378.07,1489.07,510.07,4.35,41.24,18.18,6.23,0.0,90.0,24.0,0.0,
NVIDIA GeForce RTX 3070,dict4,252424391.0,253074499.0,252749445.0,252749445.0,17.0,24.0,20.5,20.5,60.0,60.0,60.0,60.0,356.11,2058.07,1571.94,2058.07,4.35,25.12,19.19,25.12,0.0,26.0,11.71,12.0,
NVIDIA GeForce RTX 3070,force,495965983.0,5442766624.0,4276387070.0,5086338039.0,34.0,95.0,83.5,91.5,66.0,72.0,70.5,71.0,356.11,3378.07,1911.22,1944.07,4.35,41.24,23.33,23.73,0.0,96.0,40.36,21.5,
NVIDIA GeForce RTX 3070,hybrid,4932065475.0,4989832720.0,4949090089.09,4945466838.0,92.0,94.0,92.45,92.0,70.0,75.0,73.09,73.0,444.18,3466.14,1523.48,598.14,5.42,42.31,18.6,7.3,0.0,93.0,20.53,0.0,
NVIDIA GeForce RTX 3090,combinator,1854248917.0,2211389003.0,2103862470.46,2182344007.0,25.0,46.0,40.46,45.0,78.0,80.0,79.23,79.0,497.78,3621.83,2582.12,3621.83,2.03,14.74,10.51,14.74,0.0,76.0,47.22,67.0,
NVIDIA GeForce RTX 3090,dict4,281852868.0,281852868.0,281852868.0,281852868.0,18.0,18.0,18.0,18.0,72.0,72.0,72.0,72.0,540.61,3553.34,2692.76,3553.34,2.2,14.46,10.96,14.46,0.0,16.0,8.71,14.0,
NVIDIA GeForce RTX 3090,force,393357447.0,9027481954.0,5477831366.5,6245243032.5,32.0,95.0,76.75,90.0,77.0,80.0,78.5,78.5,720.79,3846.34,1952.5,980.34,2.93,15.65,7.94,3.99,0.0,48.0,12.82,0.0,
NVIDIA GeForce RTX 3090,hybrid,0.0,6040384625.0,4917000873.54,5242161405.0,61.0,82.0,68.08,67.0,77.0,84.0,81.46,82.0,508.28,3629.62,2590.47,3629.62,2.07,14.77,10.54,14.77,4.0,96.0,36.11,14.0,
NVIDIA RTX A4000,combinator,4427219682.0,4427219682.0,4427219682.0,4427219682.0,91.0,91.0,91.0,91.0,77.0,77.0,77.0,77.0,974.71,4024.68,3048.59,4024.68,5.95,24.58,18.62,24.58,0.0,96.0,56.0,94.0,
NVIDIA RTX A4000,dict4,243639547.0,244922305.0,244280926.0,244280926.0,22.0,27.0,24.5,24.5,68.0,68.0,68.0,68.0,738.34,2573.45,2001.83,2513.05,4.51,15.71,12.22,15.35,0.0,22.0,13.6,16.0,
NVIDIA RTX A4000,force,24043807.0,4759555625.0,3107310924.29,4551902061.0,65.0,96.0,87.86,93.0,77.0,80.0,78.43,78.0,743.73,3793.7,2703.18,3793.7,4.54,23.17,16.51,23.17,0.0,97.0,51.16,82.0,
NVIDIA RTX A4000,hybrid,1061912956.0,4422853620.0,2708661281.2,2336302141.0,9.0,95.0,46.2,17.0,74.0,80.0,77.2,77.0,960.64,4010.61,2539.83,2566.61,5.87,24.49,15.51,15.67,0.0,94.0,27.56,3.5,
Radeon RX Vega,combinator,492228203.0,492577433.0,492342078.77,492305433.0,26.0,59.0,42.23,42.0,63.0,64.0,63.23,63.0,9497.58,10727.9,10183.77,9866.26,58.2,65.8,62.43,60.45,0,0,0,0,
Radeon RX Vega,dict3,50569189.0,50569189.0,50569189.0,50569189.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0,4585.45,5894.07,5305.76,5358.14,28.1,36.1,32.52,32.85,0,0,0,0,
Radeon RX Vega,dict4,169442281.0,173590864.0,170939823.67,170733230.0,0.0,54.0,24.33,20.0,71.0,71.0,71.0,71.0,6964.6,8332.73,7699.37,7287.98,42.7,51.1,47.21,44.7,0,0,0,0,
Radeon RX Vega,force,18617238.0,890450086.0,782551618.74,872084128.0,3.0,94.0,51.47,53.0,68.0,71.0,69.79,70.0,7347.73,8970.86,8212.77,7979.66,45.0,55.0,50.35,48.9,0,0,0,0,
Radeon RX Vega,hybrid,376695414.0,464552077.0,438562519.6,462338399.0,0.0,61.0,37.9,41.5,58.0,60.0,59.35,59.0,8425.41,10044.4,9132.84,9047.77,51.6,61.6,55.98,55.5,0,0,0,0,
