GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2615702277.0,2648415170.0,2626537665.0,2622565702.0,95.0,96.0,95.12,95.0,82.0,85.0,83.38,83.0,1530.41,4557.06,4052.8,4557.06,13.59,40.46,35.98,40.46,0.0,96.0,70.5,94.0,
NVIDIA GeForce GTX 1080 Ti,dict4,182180811.0,185196134.0,183704758.0,183737329.0,29.0,37.0,33.33,34.0,65.0,66.0,65.67,66.0,1145.81,2230.46,1824.37,2230.46,10.17,19.8,16.2,19.8,0.0,39.0,21.0,26.5,
NVIDIA GeForce GTX 1080 Ti,force,377746843.0,2046612844.0,1888617706.31,2043978239.0,82.0,95.0,92.88,94.0,59.0,64.0,62.19,63.0,1149.44,4176.09,3000.19,4176.09,10.2,37.07,26.64,37.07,0.0,96.0,48.4,54.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,608698823.0,1002191185.0,922309855.47,999912904.0,23.0,95.0,81.88,93.0,56.0,60.0,58.53,59.0,1141.62,4168.27,2445.2,1280.27,10.14,37.01,21.71,11.37,0.0,98.0,25.53,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,3282566470.0,3290881974.0,3286724222.0,3286724222.0,94.0,94.0,94.0,94.0,86.0,86.0,86.0,86.0,327.78,3333.68,2098.38,3333.68,4.0,40.69,25.61,40.69,0.0,64.0,34.15,59.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,202868207.0,206663317.0,204467207.67,203870099.0,28.0,29.0,28.67,29.0,65.0,65.0,65.0,65.0,338.56,2070.46,1422.35,2070.46,4.13,25.27,17.36,25.27,0.0,30.0,20.25,25.5,
NVIDIA GeForce RTX 2080 SUPER,force,459891572.0,3935346488.0,2877505234.83,3691353555.0,64.0,95.0,82.0,80.0,74.0,86.0,80.33,80.0,338.56,3344.46,1588.21,456.46,4.13,40.83,19.39,5.57,0.0,94.0,33.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2027605000.0,3446173711.0,2875737634.4,3434505517.0,47.0,85.0,69.4,65.0,72.0,84.0,78.2,79.0,338.56,3344.46,1455.06,456.46,4.13,40.83,17.76,5.57,0.0,68.0,21.0,0.0,
NVIDIA GeForce RTX 3070,combinator,3258187210.0,3319880755.0,3289182430.11,3296310195.0,84.0,85.0,84.22,84.0,74.0,78.0,76.22,76.0,356.11,3378.07,2060.48,3378.07,4.35,41.24,25.15,41.24,0.0,84.0,40.23,29.5,
NVIDIA GeForce RTX 3070,dict4,252084330.0,252846195.0,252465262.5,252465262.5,21.0,23.0,22.0,22.0,60.0,60.0,60.0,60.0,356.11,2058.07,1346.51,2058.07,4.35,25.12,16.44,25.12,0.0,22.0,11.71,19.0,
NVIDIA GeForce RTX 3070,force,0.0,3950623182.0,2392475226.5,3016610817.5,87.0,97.0,94.0,95.0,70.0,72.0,71.17,71.0,356.11,3378.07,1685.29,510.07,4.35,41.24,20.57,6.23,0.0,93.0,17.79,0.0,
NVIDIA GeForce RTX 3070,hybrid,2274614112.0,3719491981.0,3173178257.2,3713130293.0,39.0,95.0,63.2,49.0,68.0,72.0,70.2,71.0,444.18,3466.14,1332.28,598.14,5.42,42.31,16.26,7.3,0.0,91.0,10.6,0.0,
NVIDIA GeForce RTX 3090,combinator,5659116127.0,5659116127.0,5659116127.0,5659116127.0,83.0,83.0,83.0,83.0,82.0,82.0,82.0,82.0,499.16,3621.83,2063.16,2067.83,2.03,14.74,8.4,8.41,0.0,87.0,28.83,0.0,
NVIDIA GeForce RTX 3090,dict4,416953057.0,416953057.0,416953057.0,416953057.0,21.0,21.0,21.0,21.0,72.0,72.0,72.0,72.0,540.23,3555.84,2350.45,3555.84,2.2,14.47,9.56,14.47,0.0,35.0,11.6,6.0,
NVIDIA GeForce RTX 3090,force,772780508.0,6545660250.0,4641649130.0,5870389455.0,85.0,95.0,92.6,94.0,79.0,81.0,79.8,80.0,720.79,3846.34,2171.85,980.34,2.93,15.65,8.84,3.99,0.0,94.0,22.29,0.0,
NVIDIA GeForce RTX 3090,hybrid,3135815949.0,4674077984.0,3532193851.17,3486941122.0,42.0,87.0,62.33,58.5,77.0,83.0,81.17,81.5,504.28,3625.62,2774.59,3625.62,2.05,14.75,11.29,14.75,2.0,83.0,31.73,9.0,
NVIDIA RTX A4000,combinator,3066244429.0,3071178831.0,3068711630.0,3068711630.0,82.0,86.0,84.0,84.0,76.0,76.0,76.0,76.0,974.71,4024.68,2895.37,4024.68,5.95,24.58,17.68,24.58,0.0,88.0,48.5,84.5,
NVIDIA RTX A4000,dict4,142246742.0,144815201.0,143662616.4,143865499.0,9.0,26.0,16.8,13.0,67.0,67.0,67.0,67.0,811.08,2584.66,2176.73,2565.98,4.95,15.78,13.29,15.67,4.0,53.0,21.0,22.0,
NVIDIA RTX A4000,force,412778903.0,3301601496.0,2851776253.91,3283814827.0,38.0,97.0,83.55,89.0,78.0,83.0,80.09,80.0,743.73,3793.7,2810.87,3793.7,4.54,23.17,17.16,23.17,0.0,94.0,54.5,89.5,
NVIDIA RTX A4000,hybrid,1619427499.0,3149970465.0,2576833746.4,3089100918.0,25.0,92.0,66.8,89.0,75.0,79.0,76.4,75.0,960.64,4014.36,2550.8,2570.36,5.87,24.51,15.58,15.7,0.0,95.0,35.61,2.5,
Radeon RX Vega,combinator,389704964.0,390839306.0,390110760.15,390059853.0,15.0,50.0,40.54,42.0,63.0,64.0,63.38,63.0,9412.27,10735.18,10173.24,9788.68,57.7,65.8,62.35,60.0,0,0,0,0,
Radeon RX Vega,dict3,28809567.0,29064026.0,28965704.33,29023520.0,0.0,35.0,20.33,26.0,70.0,71.0,70.33,70.0,4589.19,5906.67,5431.17,5879.1,28.1,36.2,33.28,36.0,0,0,0,0,
Radeon RX Vega,dict4,132112287.0,135074628.0,133069296.12,132615695.0,0.0,59.0,27.75,24.5,71.0,71.0,71.0,71.0,6998.33,8335.66,7890.27,8239.43,42.9,51.1,48.37,50.5,0,0,0,0,
Radeon RX Vega,force,182539440.0,670652344.0,636760534.7,669335960.0,3.0,96.0,68.05,89.5,69.0,71.0,70.0,70.0,7361.37,8986.77,8240.27,7972.8,45.1,55.1,50.5,48.85,0,0,0,0,
Radeon RX Vega,hybrid,0.0,361555158.0,334017442.64,356356559.5,0.0,59.0,41.05,41.5,58.0,60.0,59.23,59.0,8430.66,10056.05,9142.73,9051.76,51.7,61.6,56.05,55.5,0,0,0,0,
