GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,550824026.0,550952199.0,550890206.75,550907998.0,95.0,96.0,95.88,96.0,61.0,61.0,61.0,61.0,2251.77,5320.36,4784.77,5270.44,19.99,47.23,42.48,46.79,0.0,97.0,77.61,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,176332729.0,179270782.0,177786600.0,177756289.0,28.0,37.0,32.0,31.0,66.0,67.0,66.33,66.0,1145.81,2230.46,1824.37,2230.46,10.17,19.8,16.2,19.8,0.0,44.0,22.38,31.0,
NVIDIA GeForce GTX 1080 Ti,force,101892678.0,955502968.0,869482740.83,946529357.5,86.0,97.0,93.11,93.0,55.0,57.0,56.56,57.0,1149.44,4176.09,2706.22,2732.09,10.2,37.07,24.03,24.26,0.0,98.0,33.19,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,13011974.0,291763373.0,249649013.67,268434621.0,2.0,96.0,87.83,96.0,53.0,56.0,55.58,56.0,1146.19,4173.84,3305.97,4170.71,10.18,37.05,29.35,37.03,0.0,96.0,39.56,1.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1541191674.0,1602935034.0,1564817733.75,1558933051.0,87.0,88.0,87.12,87.0,86.0,91.0,88.12,87.5,327.78,3333.68,2164.4,3333.68,4.0,40.69,26.42,40.69,0.0,77.0,42.92,73.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,200698278.0,205400853.0,203049989.0,203050836.0,31.0,32.0,31.33,31.0,69.0,69.0,69.0,69.0,338.56,2070.46,1422.35,2070.46,4.13,25.27,17.36,25.27,0.0,38.0,18.12,21.5,
NVIDIA GeForce RTX 2080 SUPER,force,452382903.0,3110205564.0,2673955893.45,3046728405.0,57.0,91.0,83.09,91.0,74.0,89.0,83.82,85.0,338.56,3344.46,1588.21,456.46,4.13,40.83,19.39,5.57,0.0,85.0,29.6,1.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1483817703.0,1856278013.0,1752524039.31,1775159174.0,53.0,95.0,88.85,95.0,76.0,89.0,85.69,87.0,338.56,3344.46,1256.48,456.46,4.13,40.83,15.34,5.57,0.0,64.0,15.93,0.0,
NVIDIA GeForce RTX 3070,combinator,2072494879.0,2079586572.0,2075239029.75,2074437334.0,90.0,93.0,90.75,90.0,77.0,78.0,77.5,77.5,356.11,3378.07,1745.64,510.07,4.35,41.24,21.31,6.23,0.0,91.0,33.5,0.0,
NVIDIA GeForce RTX 3070,dict4,378597564.0,378597564.0,378597564.0,378597564.0,25.0,25.0,25.0,25.0,70.0,70.0,70.0,70.0,356.11,2058.07,1717.68,2058.07,4.35,25.12,20.97,25.12,0.0,27.0,15.8,22.0,
NVIDIA GeForce RTX 3070,force,436906718.0,3096626278.0,2664088077.0,3088974453.5,50.0,90.0,83.0,90.0,71.0,77.0,74.9,75.5,356.11,3378.07,1918.52,1944.07,4.35,41.24,23.42,23.73,0.0,91.0,36.83,9.0,
NVIDIA GeForce RTX 3070,hybrid,1178536767.0,2130103779.0,1943197495.64,2073825798.5,18.0,94.0,76.86,93.0,69.0,78.0,75.21,76.0,490.25,3511.23,2060.76,2077.23,5.98,42.86,25.16,25.36,0.0,94.0,24.33,0.0,
NVIDIA GeForce RTX 3090,combinator,1396308498.0,2472708541.0,2200250406.43,2263036567.0,39.0,71.0,63.71,70.0,83.0,85.0,84.14,84.0,499.16,3621.83,3101.53,3621.83,2.03,14.74,12.62,14.74,0.0,67.0,46.22,63.0,
NVIDIA GeForce RTX 3090,dict4,459543075.0,459543075.0,459543075.0,459543075.0,26.0,26.0,26.0,26.0,77.0,77.0,77.0,77.0,543.17,3555.84,2049.95,2050.18,2.21,14.47,8.34,8.34,0.0,16.0,5.33,0.0,
NVIDIA GeForce RTX 3090,force,791818679.0,5155491279.0,4202782359.25,5087272121.5,58.0,91.0,83.62,90.5,79.0,83.0,81.5,81.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,10511720.0,3492934176.0,1334655448.36,725442288.0,3.0,88.0,41.73,36.0,70.0,78.0,73.18,72.0,530.6,3653.34,1551.38,787.34,2.16,14.87,6.31,3.2,0.0,51.0,8.79,0.0,
NVIDIA RTX A4000,combinator,907013864.0,1009754106.0,984981928.79,997136683.0,49.0,63.0,61.14,62.0,83.0,87.0,85.29,85.5,758.86,3808.82,2832.74,3808.82,4.63,23.26,17.3,23.26,0.0,99.0,59.33,94.0,
NVIDIA RTX A4000,dict4,366232131.0,366232131.0,366232131.0,366232131.0,24.0,24.0,24.0,24.0,81.0,81.0,81.0,81.0,826.22,2606.94,2011.32,2602.19,5.05,15.92,12.28,15.89,2.0,29.0,14.33,12.0,
NVIDIA RTX A4000,force,409999858.0,2744987847.0,2409799407.25,2722705453.0,62.0,95.0,88.67,91.0,81.0,86.0,84.08,84.5,743.73,3793.7,2937.95,3793.7,4.54,23.17,17.94,23.17,0.0,96.0,55.17,94.5,
NVIDIA RTX A4000,hybrid,1001829675.0,1760816264.0,1645285577.53,1716027682.0,18.0,95.0,84.53,94.0,79.0,86.0,83.13,83.0,1195.74,4250.48,2862.77,4243.73,7.3,25.96,17.48,25.91,0.0,100.0,24.42,3.0,
Radeon RX Vega,combinator,184143737.0,184756373.0,184361477.46,184308669.0,16.0,44.0,40.08,42.0,67.0,68.0,67.46,67.0,5579.68,6879.52,6464.72,6871.31,34.2,42.2,39.63,42.1,0,0,0,0,
Radeon RX Vega,dict3,27392798.0,27609427.0,27512033.67,27533876.0,0.0,14.0,6.67,6.0,68.0,68.0,68.0,68.0,4961.14,6324.41,5671.44,5359.48,30.4,38.8,34.77,32.9,0,0,0,0,
Radeon RX Vega,dict4,88735353.0,92949816.0,90212535.29,89226456.5,0.0,58.0,20.86,8.5,70.0,71.0,70.57,71.0,6327.4,7661.55,7187.29,7623.61,38.8,47.0,44.07,46.7,0,0,0,0,
