GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1695418573.0,1835759952.0,1784398836.75,1793979613.5,62.0,65.0,63.75,64.0,61.0,62.0,61.88,62.0,2255.85,5303.69,4791.48,5295.19,20.03,47.09,42.54,47.01,0.0,94.0,65.07,93.0,
NVIDIA GeForce GTX 1080 Ti,dict4,292997617.0,292997617.0,292997617.0,292997617.0,46.0,46.0,46.0,46.0,67.0,67.0,67.0,67.0,1145.16,2230.46,1868.8,2230.46,10.17,19.8,16.59,19.8,0.0,47.0,23.33,23.0,
NVIDIA GeForce GTX 1080 Ti,force,329701832.0,1945849174.0,1777923196.71,1934522380.0,49.0,98.0,90.76,93.0,57.0,63.0,59.29,59.0,1144.29,4171.65,2985.74,4171.65,10.16,37.04,26.51,37.04,0.0,94.0,39.33,6.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,1503416275.0,619400672.45,454873848.0,24.0,97.0,51.64,37.0,54.0,59.0,55.45,55.0,1141.75,4168.4,3403.11,4168.4,10.14,37.01,30.21,37.01,0.0,64.0,24.52,8.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1582839724.0,1845806803.0,1753565024.15,1726310437.0,43.0,48.0,46.08,48.0,74.0,79.0,77.62,78.0,327.78,3333.68,2439.42,3333.68,4.0,40.69,29.78,40.69,0.0,50.0,28.26,43.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,346212028.0,346212028.0,346212028.0,346212028.0,34.0,34.0,34.0,34.0,72.0,72.0,72.0,72.0,338.56,2070.46,1207.65,1213.46,4.13,25.27,14.74,14.81,0.0,44.0,14.67,6.5,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,6299443919.0,2578931559.4,1681215834.0,62.0,78.0,66.0,64.0,76.0,83.0,78.0,76.0,338.56,3344.46,1716.31,971.46,4.13,40.83,20.95,11.86,0.0,80.0,27.58,4.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,3790445330.0,5690763047.0,5055621857.67,5685657196.0,48.0,84.0,63.33,58.0,73.0,85.0,81.0,85.0,338.56,3344.46,2041.36,3344.46,4.13,40.83,24.92,40.83,0.0,63.0,18.0,5.5,
NVIDIA GeForce RTX 3070,combinator,5067374450.0,5172026250.0,5119324530.6,5136493910.0,83.0,84.0,83.8,84.0,77.0,78.0,77.4,77.0,356.11,3378.07,1324.48,510.07,4.35,41.24,16.17,6.23,0.0,89.0,21.8,0.0,
NVIDIA GeForce RTX 3070,dict4,259529833.0,260534138.0,260031985.5,260031985.5,20.0,20.0,20.0,20.0,64.0,64.0,64.0,64.0,356.11,2058.07,1571.94,2058.07,4.35,25.12,19.19,25.12,0.0,18.0,10.0,13.0,
NVIDIA GeForce RTX 3070,force,497809595.0,6085079976.0,4929560731.88,5957777909.5,38.0,92.0,81.75,89.0,73.0,76.0,74.75,75.0,356.11,3378.07,1798.38,510.07,4.35,41.24,21.95,6.23,0.0,92.0,36.46,0.0,
NVIDIA GeForce RTX 3070,hybrid,3070438840.0,5450754518.0,5248430744.46,5441806954.0,29.0,91.0,86.23,91.0,67.0,78.0,75.38,76.0,490.25,3511.23,2053.39,2111.23,5.98,42.86,25.07,25.77,0.0,96.0,14.19,0.0,
NVIDIA GeForce RTX 3090,combinator,2375550174.0,2981696489.0,2601637059.23,2578791232.0,37.0,63.0,54.46,58.0,81.0,82.0,81.54,82.0,499.16,3621.83,2842.99,3621.83,2.03,14.74,11.57,14.74,0.0,69.0,37.88,50.5,
NVIDIA GeForce RTX 3090,dict4,462130651.0,462130651.0,462130651.0,462130651.0,18.0,18.0,18.0,18.0,75.0,75.0,75.0,75.0,540.61,3553.34,2348.53,3553.34,2.2,14.46,9.56,14.46,0.0,20.0,8.8,9.0,
NVIDIA GeForce RTX 3090,force,859303092.0,10282612128.0,5983890510.2,4542948443.0,21.0,90.0,75.6,89.0,80.0,82.0,81.0,81.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,4486850093.0,8374845656.0,7073841815.33,8359829697.0,38.0,86.0,69.33,84.0,78.0,81.0,80.0,81.0,530.66,3653.34,2336.93,3653.34,2.16,14.87,9.51,14.87,0.0,65.0,13.11,1.0,
NVIDIA RTX A4000,combinator,4427763732.0,4512411985.0,4474371324.83,4485679482.5,85.0,86.0,85.67,86.0,84.0,86.0,85.17,85.0,758.86,3808.82,1927.19,920.82,4.63,23.26,11.77,5.62,0.0,95.0,30.09,0.0,
NVIDIA RTX A4000,dict4,255513423.0,256115718.0,255814570.5,255814570.5,15.0,22.0,18.5,18.5,72.0,72.0,72.0,72.0,830.97,2606.94,2015.28,2606.94,5.07,15.92,12.31,15.92,3.0,49.0,23.83,21.5,
NVIDIA RTX A4000,force,487318182.0,5380274167.0,4406610358.44,5245379705.0,72.0,95.0,88.44,91.0,81.0,85.0,83.44,83.0,743.73,3793.7,2746.06,3793.7,4.54,23.17,16.77,23.17,0.0,95.0,48.47,35.0,
NVIDIA RTX A4000,hybrid,1052680087.0,4882018069.0,2790726523.8,1991991131.0,10.0,93.0,45.8,17.0,77.0,80.0,78.4,78.0,1240.92,4316.39,3010.4,4298.02,7.58,26.36,18.38,26.25,0.0,97.0,40.81,22.5,
Radeon RX Vega,combinator,356751014.0,357935073.0,357109403.69,356959585.0,15.0,44.0,39.62,41.0,66.0,68.0,67.15,67.0,5579.06,6884.01,6543.37,6878.67,34.2,42.2,40.11,42.2,0,0,0,0,
Radeon RX Vega,dict3,50376337.0,50376337.0,50376337.0,50376337.0,0.0,0.0,0.0,0.0,66.0,66.0,66.0,66.0,5022.61,6326.49,5766.89,5830.65,30.8,38.8,35.37,35.75,0,0,0,0,
Radeon RX Vega,dict4,37511961.0,38751691.0,37846373.39,37693407.5,0.0,38.0,5.94,0.0,69.0,70.0,69.67,70.0,6351.09,7727.05,7217.75,7667.29,38.9,47.4,44.24,47.0,0,0,0,0,
Radeon RX Vega,force,280080557.0,814297327.0,773082329.5,813445649.5,4.0,95.0,58.0,61.0,63.0,70.0,68.39,69.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,267643700.0,376392564.0,333925605.73,358610813.0,0.0,56.0,42.36,51.0,58.0,60.0,58.82,59.0,8834.68,10522.1,9873.43,9517.47,54.2,64.5,60.53,58.3,0,0,0,0,
