GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,3315126385.0,3489718413.0,3396193187.5,3385457585.5,93.0,94.0,93.75,94.0,62.0,64.0,62.75,62.0,1468.08,4494.73,3889.51,4494.73,13.03,39.9,34.53,39.9,1.0,93.0,63.07,92.0,
NVIDIA GeForce GTX 1080 Ti,dict4,290335595.0,290335595.0,290335595.0,290335595.0,40.0,40.0,40.0,40.0,66.0,66.0,66.0,66.0,1145.16,2223.52,1864.18,2223.52,10.17,19.74,16.55,19.74,0.0,43.0,20.83,20.5,
NVIDIA GeForce GTX 1080 Ti,force,250964932.0,4110778435.0,2328371758.6,2209230161.5,44.0,97.0,80.9,94.0,53.0,63.0,57.0,55.5,1145.0,4171.65,2558.58,1283.65,10.17,37.04,22.71,11.4,0.0,96.0,21.18,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,581465199.0,1759964034.0,1505548110.82,1757248389.0,28.0,94.0,77.82,94.0,54.0,56.0,55.53,56.0,1144.04,4173.21,2614.23,1285.21,10.16,37.05,23.21,11.41,0.0,97.0,22.6,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,4462130120.0,4728833998.0,4643978090.0,4652413120.0,60.0,67.0,63.29,62.0,72.0,76.0,74.43,75.0,327.78,3333.68,2016.49,3333.68,4.0,40.69,24.62,40.69,0.0,57.0,30.3,42.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,347965260.0,347965260.0,347965260.0,347965260.0,31.0,31.0,31.0,31.0,65.0,65.0,65.0,65.0,338.56,2070.46,1206.32,1209.46,4.13,25.27,14.73,14.76,0.0,32.0,20.0,27.5,
NVIDIA GeForce RTX 2080 SUPER,force,174989988.0,14431067948.0,6370068772.75,5437108577.5,59.0,79.0,67.5,66.0,70.0,78.0,73.0,72.0,338.56,3344.46,1737.21,456.46,4.13,40.83,21.21,5.57,0.0,79.0,27.91,15.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2342841909.0,6495979164.0,5168765443.21,5480083757.5,38.0,68.0,57.86,61.5,65.0,77.0,73.07,74.0,338.56,3344.46,1588.21,456.46,4.13,40.83,19.39,5.57,0.0,58.0,15.87,1.0,
NVIDIA GeForce RTX 3070,combinator,4750847641.0,5069976695.0,4941857196.5,4943318607.5,68.0,71.0,69.17,69.0,70.0,71.0,70.67,71.0,326.25,3413.92,2084.5,3347.23,3.98,41.67,25.45,40.86,0.0,98.0,32.95,31.5,
NVIDIA GeForce RTX 3070,dict4,252527360.0,252899120.0,252713240.0,252713240.0,16.0,25.0,20.5,20.5,59.0,59.0,59.0,59.0,356.11,2058.07,1334.25,1588.07,4.35,25.12,16.29,19.39,0.0,33.0,14.83,13.0,
NVIDIA GeForce RTX 3070,force,499882834.0,14220887015.0,7873303564.75,8386222205.0,49.0,89.0,69.25,69.5,69.0,71.0,69.5,69.0,356.11,3378.07,1750.63,510.07,4.35,41.24,21.37,6.23,0.0,89.0,24.44,0.0,
NVIDIA GeForce RTX 3070,hybrid,2682809627.0,10476155308.0,6576614962.0,6573747456.5,30.0,93.0,61.5,61.5,64.0,69.0,66.5,66.5,430.91,3451.89,1432.35,583.89,5.26,42.14,17.48,7.13,0.0,49.0,5.54,0.0,
NVIDIA GeForce RTX 3090,combinator,5783583979.0,6360252177.0,6005572037.0,5904684114.0,34.0,60.0,52.8,59.0,75.0,75.0,75.0,75.0,495.56,3618.23,2682.5,3618.23,2.02,14.72,10.92,14.72,0.0,78.0,43.5,61.5,
NVIDIA GeForce RTX 3090,dict4,277714218.0,277714218.0,277714218.0,277714218.0,18.0,18.0,18.0,18.0,72.0,72.0,72.0,72.0,540.61,3553.34,2692.76,3553.34,2.2,14.46,10.96,14.46,0.0,18.0,9.43,14.0,
NVIDIA GeForce RTX 3090,force,171070896.0,23987979120.0,11484618552.0,11187637572.5,48.0,90.0,63.67,52.0,77.0,80.0,78.17,78.0,723.67,3846.34,2050.01,980.34,2.94,15.65,8.34,3.99,0.0,95.0,27.8,0.0,
NVIDIA GeForce RTX 3090,hybrid,3058222627.0,8777804673.0,7738962610.92,7894232303.0,13.0,64.0,57.67,61.0,75.0,80.0,79.08,79.5,506.63,3630.47,2588.76,3627.97,2.06,14.77,10.53,14.76,3.0,92.0,26.11,4.0,
NVIDIA RTX A4000,combinator,4693091499.0,4788055843.0,4738447873.57,4741373263.0,40.0,68.0,60.43,63.0,81.0,83.0,82.14,82.0,999.7,4049.67,2905.58,4049.67,6.1,24.73,17.74,24.73,3.0,95.0,53.04,90.0,
NVIDIA RTX A4000,dict4,141143899.0,145821783.0,143529579.6,143545466.0,14.0,25.0,18.4,15.0,67.0,68.0,67.6,68.0,706.68,2490.78,2044.99,2488.03,4.32,15.21,12.49,15.19,0.0,32.0,13.58,12.0,
NVIDIA RTX A4000,force,482650960.0,12688226546.0,7016304228.0,7447169703.0,84.0,93.0,89.25,90.0,78.0,80.0,78.75,78.5,743.39,3793.36,2317.16,2349.36,4.54,23.16,14.15,14.35,0.0,96.0,32.5,1.0,
NVIDIA RTX A4000,hybrid,1991332509.0,8709125823.0,7546583271.21,8397623416.0,15.0,88.0,74.0,87.0,77.0,85.0,82.29,83.0,893.39,3943.36,2258.65,1055.36,5.46,24.08,13.79,6.44,0.0,96.0,28.0,2.0,
Radeon RX Vega,combinator,387009375.0,391240388.0,388533741.85,388577511.0,26.0,61.0,54.69,58.0,49.0,50.0,49.69,50.0,8912.66,10354.19,9805.22,10124.09,54.6,63.5,60.1,62.1,0,0,0,0,
Radeon RX Vega,dict3,50764325.0,50764325.0,50764325.0,50764325.0,0.0,0.0,0.0,0.0,72.0,72.0,72.0,72.0,4567.13,5885.23,5404.96,5859.37,28.0,36.1,33.14,35.9,0,0,0,0,
Radeon RX Vega,dict4,100519411.0,105670012.0,102323397.17,102079981.0,0.0,30.0,6.58,2.5,71.0,72.0,71.92,72.0,7364.04,8685.18,8301.16,8648.29,45.1,53.2,50.86,53.0,0,0,0,0,
Radeon RX Vega,force,298684109.0,9266653696.0,5855458972.0,7989084982.0,7.0,95.0,32.8,22.0,72.0,73.0,72.4,72.0,7667.61,9287.21,8623.99,8291.37,47.0,56.9,52.86,50.8,0,0,0,0,
