GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,889057859.0,1031263324.0,942265850.5,925327523.5,63.0,67.0,66.12,66.5,58.0,59.0,58.38,58.0,1457.05,4484.35,4128.24,4484.35,12.94,39.81,36.65,39.81,1.0,96.0,77.06,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,266712985.0,268361440.0,267537212.5,267537212.5,45.0,45.0,45.0,45.0,66.0,66.0,66.0,66.0,1145.16,2230.46,1829.5,2230.46,10.17,19.8,16.24,19.8,0.0,43.0,22.38,31.5,
NVIDIA GeForce GTX 1080 Ti,force,101933251.0,2303372015.0,1613895652.78,2002103194.0,82.0,98.0,94.22,96.0,51.0,56.0,52.78,53.0,1145.0,4171.65,2571.51,1283.65,10.17,37.04,22.83,11.4,0.0,94.0,19.73,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,761850172.0,1436349923.0,1245847343.3,1396903284.5,34.0,95.0,76.5,94.0,53.0,55.0,54.4,54.5,1142.35,4172.9,2713.28,2728.9,10.14,37.05,24.09,24.23,0.0,96.0,23.44,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,3018315982.0,3210911882.0,3087072625.55,3081620433.0,69.0,77.0,74.0,75.0,69.0,74.0,71.55,71.0,327.85,3333.81,2833.02,3333.78,4.0,40.7,34.58,40.7,0.0,69.0,51.67,65.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,209782614.0,216007860.0,212463079.67,211598765.0,28.0,28.0,28.0,28.0,64.0,64.0,64.0,64.0,338.56,2070.46,1421.24,2070.46,4.13,25.27,17.35,25.27,0.0,28.0,19.12,24.5,
NVIDIA GeForce RTX 2080 SUPER,force,217019303.0,12056391100.0,6385719373.5,6589841665.5,63.0,92.0,74.0,73.5,69.0,79.0,72.83,71.0,338.56,3344.46,1993.47,3344.46,4.13,40.83,24.33,40.83,0.0,77.0,31.23,8.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2105462648.0,3876869659.0,3002198235.93,3070759382.5,30.0,67.0,56.93,59.5,63.0,70.0,68.07,69.0,338.56,3344.46,1624.94,456.46,4.13,40.83,19.84,5.57,0.0,67.0,18.76,1.0,
NVIDIA GeForce RTX 3070,combinator,6086572855.0,6086572855.0,6086572855.0,6086572855.0,87.0,87.0,87.0,87.0,68.0,68.0,68.0,68.0,304.09,3330.5,2190.66,3326.05,3.71,40.66,26.74,40.6,0.0,99.0,37.83,56.0,
NVIDIA GeForce RTX 3070,dict4,138524477.0,146201829.0,142581780.2,143105194.0,14.0,28.0,20.2,16.0,60.0,61.0,60.6,61.0,356.11,2058.07,1547.68,2058.07,4.35,25.12,18.89,25.12,0.0,34.0,11.4,12.0,
NVIDIA GeForce RTX 3070,force,296331748.0,11917642544.0,6553897254.25,7000807362.5,83.0,95.0,90.5,92.0,65.0,71.0,68.5,69.0,356.11,3378.07,1666.74,510.07,4.35,41.24,20.35,6.23,0.0,72.0,18.67,0.0,
NVIDIA GeForce RTX 3070,hybrid,2110244861.0,7553165575.0,4899074164.25,4966443110.5,14.0,89.0,48.75,46.0,58.0,63.0,60.5,60.5,448.94,3473.98,1305.08,630.8,5.48,42.41,15.93,7.7,0.0,26.0,2.56,1.0,
NVIDIA GeForce RTX 3090,combinator,2885644579.0,3223176264.0,3031426120.82,2989466237.0,35.0,64.0,58.27,60.0,70.0,71.0,70.09,70.0,500.89,3622.23,3038.31,3622.23,2.04,14.74,12.36,14.74,0.0,81.0,50.69,63.5,
NVIDIA GeForce RTX 3090,dict4,153832047.0,160475566.0,157719824.0,158285841.5,6.0,25.0,12.25,9.0,71.0,73.0,72.0,72.0,541.8,3555.97,2652.28,3555.97,2.2,14.47,10.79,14.47,0.0,13.0,6.1,7.0,
NVIDIA GeForce RTX 3090,force,822739554.0,19736059845.0,9203346319.5,8127292939.5,58.0,95.0,84.0,91.5,75.0,78.0,76.0,75.5,722.23,3846.34,1952.63,980.34,2.94,15.65,7.95,3.99,0.0,96.0,14.55,0.0,
NVIDIA GeForce RTX 3090,hybrid,2786531952.0,7579745852.0,5689707015.17,5489683786.0,18.0,78.0,58.25,59.0,74.0,80.0,77.33,77.0,506.88,3628.22,2588.73,3628.22,2.06,14.76,10.53,14.76,3.0,52.0,14.67,9.0,
NVIDIA RTX A4000,combinator,5748145789.0,5748145789.0,5748145789.0,5748145789.0,86.0,86.0,86.0,86.0,77.0,77.0,77.0,77.0,996.7,4048.42,2256.32,1161.37,6.09,24.72,13.78,7.09,1.0,96.0,31.11,5.0,
NVIDIA RTX A4000,dict4,136324274.0,141985006.0,139724060.6,140484008.0,16.0,29.0,21.0,17.0,70.0,72.0,71.4,72.0,726.34,2572.29,2116.03,2566.94,4.44,15.71,12.92,15.68,0.0,29.0,15.0,17.5,
NVIDIA RTX A4000,force,302072033.0,10183186759.0,7329405898.86,8848388279.0,86.0,95.0,91.14,92.0,79.0,81.0,79.71,79.0,743.39,3793.36,2777.14,3793.36,4.54,23.16,16.96,23.16,0.0,95.0,45.33,50.0,
NVIDIA RTX A4000,hybrid,2065358137.0,7061528791.0,4626068034.25,4688692604.5,15.0,89.0,43.5,35.0,75.0,78.0,76.25,76.0,889.64,3939.61,2048.61,1051.61,5.43,24.06,12.51,6.42,0.0,75.0,11.36,0.0,
Radeon RX Vega,combinator,226620038.0,229352251.0,227827594.0,227597667.0,16.0,44.0,39.85,42.0,47.0,48.0,47.92,48.0,8942.46,10244.65,9861.99,10234.68,54.8,62.8,60.45,62.7,0,0,0,0,
Radeon RX Vega,dict3,27305770.0,27554427.0,27425055.33,27414969.0,0.0,10.0,4.67,4.0,72.0,72.0,72.0,72.0,4595.7,5931.68,5468.81,5915.5,28.2,36.4,33.54,36.25,0,0,0,0,
Radeon RX Vega,dict4,80948529.0,86994669.0,82454572.67,81932525.0,0.0,57.0,28.2,28.0,72.0,73.0,72.33,72.0,7438.86,8806.71,8487.05,8783.85,45.6,54.0,52.02,53.85,0,0,0,0,
Radeon RX Vega,force,303479127.0,1392626485.0,1298081182.25,1388956042.5,2.0,95.0,57.19,68.0,73.0,76.0,75.25,76.0,7738.86,9434.83,8905.69,9202.1,47.4,57.8,54.59,56.4,0,0,0,0,
Radeon RX Vega,hybrid,188250300.0,203009978.0,191255803.82,189400781.0,25.0,58.0,48.27,52.0,58.0,58.0,58.0,58.0,8411.68,9983.22,9582.19,9958.44,51.6,61.2,58.74,61.05,0,0,0,0,
