GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,984662.0,1069927.0,1017850.89,1013476.0,95.0,96.0,95.56,96.0,62.0,65.0,63.11,63.0,1451.49,5911.85,5409.77,5904.04,12.89,52.48,48.03,52.42,1.0,97.0,80.44,97.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1030165.0,1079616.0,1044982.83,1041945.0,35.0,98.0,94.06,97.5,80.0,84.0,83.06,83.0,1624.98,6013.63,5441.44,6013.63,14.43,53.39,48.31,53.39,0.0,98.0,71.57,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1255815.0,1369962.0,1297257.17,1276401.0,96.0,98.0,96.94,97.0,81.0,83.0,81.89,82.0,1145.81,5534.46,4962.26,5534.46,10.17,49.13,44.05,49.13,0.0,98.0,75.65,96.0,
NVIDIA GeForce GTX 1080 Ti,force,2550.0,289713.0,225120.54,223582.5,53.0,96.0,79.46,72.5,51.0,53.0,51.67,52.0,1149.44,5604.09,4235.8,5604.09,10.2,49.75,37.6,49.75,0.0,99.0,51.97,64.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,261197.0,261683.0,261565.78,261628.0,93.0,94.0,93.56,94.0,52.0,53.0,52.33,52.0,1145.41,5600.77,3644.67,5600.77,10.17,49.72,32.36,49.72,0.0,97.0,48.5,49.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1489762.0,1580786.0,1524068.15,1514431.0,97.0,97.0,97.0,97.0,85.0,88.0,86.38,86.0,327.78,4761.68,2875.68,4761.68,4.0,58.13,35.1,58.13,0.0,94.0,49.48,82.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1292050.0,1340590.0,1311048.56,1308548.0,84.0,93.0,87.5,84.0,78.0,85.0,82.5,83.0,338.56,4706.46,4136.82,4706.46,4.13,57.45,50.5,57.45,0.0,93.0,73.0,84.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1327831.0,1407694.0,1351547.88,1337386.0,83.0,93.0,91.82,92.0,85.0,89.0,86.24,86.0,338.56,4706.46,4136.82,4706.46,4.13,57.45,50.5,57.45,0.0,94.0,77.87,93.0,
NVIDIA GeForce RTX 2080 SUPER,force,755503.0,1669999.0,1391716.19,1666244.5,63.0,93.0,81.88,92.0,69.0,86.0,80.56,85.0,338.56,4772.46,3218.43,4772.46,4.13,58.26,39.29,58.26,0.0,93.0,47.89,62.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1571427.0,1575122.0,1573616.75,1573834.5,93.0,93.0,93.0,93.0,84.0,86.0,85.38,85.5,338.56,4772.46,2402.29,456.46,4.13,58.26,29.32,5.57,0.0,94.0,40.86,11.0,
NVIDIA GeForce RTX 3070,combinator,1420779.0,1446676.0,1427557.92,1424707.0,87.0,89.0,87.92,88.0,76.0,80.0,77.92,78.0,356.11,4796.07,2917.04,4796.07,4.35,58.55,35.61,58.55,0.0,93.0,47.7,90.0,
NVIDIA GeForce RTX 3070,dict3,1589034.0,1652316.0,1609389.0,1605544.0,48.0,93.0,83.61,91.0,75.0,80.0,78.67,79.0,356.11,4730.07,4159.64,4730.07,4.35,57.74,50.78,57.74,0.0,96.0,69.74,88.0,
NVIDIA GeForce RTX 3070,dict4,1669068.0,1755229.0,1691146.06,1681791.0,91.0,93.0,91.72,92.0,80.0,82.0,80.89,81.0,356.11,4730.07,4332.48,4730.07,4.35,57.74,52.89,57.74,0.0,96.0,79.68,95.0,
NVIDIA GeForce RTX 3070,force,648918.0,1090456.0,959839.0,1088597.0,68.0,93.0,83.35,89.0,70.0,74.0,72.24,73.0,356.11,4796.07,3226.75,4796.07,4.35,58.55,39.39,58.55,0.0,96.0,50.68,69.0,
NVIDIA GeForce RTX 3070,hybrid,1762348.0,1797897.0,1775752.62,1771316.5,90.0,91.0,90.75,91.0,73.0,76.0,74.75,75.0,436.68,4876.64,2719.68,2733.64,5.33,59.53,33.2,33.37,0.0,93.0,40.64,0.0,
NVIDIA GeForce RTX 3090,combinator,1664698.0,1686208.0,1673503.14,1671386.5,70.0,76.0,71.79,70.0,78.0,80.0,78.86,79.0,498.06,5036.73,4280.95,5036.73,2.03,20.49,17.42,20.49,0.0,94.0,72.17,90.0,
NVIDIA GeForce RTX 3090,dict3,2330657.0,2448634.0,2366676.28,2358841.0,41.0,95.0,84.94,93.0,80.0,84.0,83.06,83.0,540.61,5013.34,4430.07,5013.34,2.2,20.4,18.03,20.4,0.0,94.0,67.74,85.0,
NVIDIA GeForce RTX 3090,dict4,2548325.0,2674336.0,2583145.5,2575553.5,48.0,94.0,89.5,92.0,84.0,85.0,84.61,85.0,539.17,5013.34,4430.0,5013.34,2.19,20.4,18.03,20.4,0.0,94.0,75.22,92.0,
NVIDIA GeForce RTX 3090,force,1937410.0,2751784.0,2621267.85,2742195.0,67.0,91.0,86.54,90.0,77.0,82.0,80.38,81.0,723.67,5262.34,3330.81,5262.34,2.94,21.41,13.55,21.41,0.0,93.0,43.48,47.0,
NVIDIA GeForce RTX 3090,hybrid,1978142.0,2684076.0,2363440.38,2391759.0,41.0,91.0,71.25,66.5,76.0,81.0,78.12,77.0,497.3,5049.78,4445.29,5035.97,2.02,20.55,18.09,20.49,2.0,96.0,63.17,73.0,
NVIDIA RTX A4000,combinator,915390.0,954596.0,927392.0,923890.5,61.0,64.0,62.43,62.0,80.0,84.0,82.36,82.5,1011.36,5489.32,3704.94,5489.32,6.18,33.52,22.62,33.52,3.0,96.0,53.27,66.0,
NVIDIA RTX A4000,dict3,1399169.0,1459178.0,1418777.06,1413395.0,50.0,95.0,85.94,93.0,86.0,89.0,87.44,88.0,570.3,4982.27,3407.87,4982.27,3.48,30.42,20.81,30.42,0.0,96.0,46.53,43.5,
NVIDIA RTX A4000,dict4,1420149.0,1499527.0,1440126.11,1431697.0,86.0,94.0,92.0,93.0,88.0,90.0,89.33,89.0,716.32,5128.24,4559.27,5126.3,4.37,31.32,27.84,31.3,0.0,97.0,81.13,96.0,
NVIDIA RTX A4000,force,996176.0,1629150.0,1464240.87,1621731.0,63.0,94.0,85.6,92.0,82.0,86.0,84.33,84.0,743.39,5221.36,3662.71,5221.36,4.54,31.88,22.37,31.88,0.0,95.0,49.86,69.5,
NVIDIA RTX A4000,hybrid,1559688.0,1569047.0,1563301.0,1562710.0,92.0,93.0,92.75,93.0,83.0,85.0,83.88,84.0,908.14,5386.11,3206.2,3228.11,5.55,32.89,19.58,19.71,0.0,95.0,40.95,3.5,
Radeon RX Vega,combinator,272000.0,278924.0,274541.38,274759.0,26.0,63.0,57.08,60.0,55.0,56.0,55.92,56.0,9126.27,10414.25,10108.77,10403.8,55.9,63.8,61.96,63.8,0,0,0,0,
Radeon RX Vega,dict2,260.0,263.0,261.5,261.5,0.0,41.0,20.5,20.5,57.0,57.0,57.0,57.0,4574.05,5891.98,5450.31,5875.36,28.0,36.1,33.39,36.0,0,0,0,0,
Radeon RX Vega,dict3,294000.0,309621.0,300641.82,299554.0,0.0,97.0,63.94,56.0,74.0,75.0,74.06,74.0,4602.24,5896.76,5750.72,5895.75,28.2,36.1,35.22,36.1,0,0,0,0,
Radeon RX Vega,dict4,282289.0,312968.0,295213.53,293402.0,16.0,96.0,69.41,96.0,73.0,74.0,73.41,73.0,6969.6,8305.46,8082.52,8286.45,42.7,50.9,49.55,50.8,0,0,0,0,
