GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,118292.0,120091.0,119243.25,119356.0,85.0,86.0,85.88,86.0,58.0,59.0,58.5,58.5,2238.08,2599.31,2520.19,2570.81,19.87,23.08,22.37,22.82,1.0,90.0,70.22,86.0,
NVIDIA GeForce GTX 1080 Ti,dict3,127015.0,127256.0,127088.53,127063.0,86.0,87.0,86.24,86.0,69.0,70.0,69.76,70.0,1709.71,1991.91,1944.68,1978.41,15.18,17.68,17.26,17.56,3.0,90.0,72.82,87.0,
NVIDIA GeForce GTX 1080 Ti,dict4,140216.0,140570.0,140430.18,140453.0,84.0,85.0,84.18,84.0,66.0,66.0,66.0,66.0,1138.88,1401.52,1366.31,1401.52,10.11,12.44,12.13,12.44,0.0,85.0,68.5,83.0,
NVIDIA GeForce GTX 1080 Ti,force,74692.0,103449.0,100078.38,103384.0,87.0,89.0,87.85,88.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,60618.0,62984.0,61419.43,61164.0,89.0,90.0,89.86,90.0,56.0,56.0,56.0,56.0,1141.75,1470.4,1356.5,1375.4,10.14,13.05,12.04,12.21,0.0,85.0,34.64,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,376588.0,386995.0,382790.23,384100.0,57.0,68.0,60.62,60.0,71.0,74.0,73.15,73.0,327.78,717.68,558.53,445.68,4.0,8.76,6.82,5.44,0.0,78.0,29.24,1.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,344477.0,452110.0,365076.71,362416.0,51.0,77.0,57.06,55.0,67.0,73.0,69.47,70.0,338.56,660.46,616.65,660.46,4.13,8.06,7.53,8.06,0.0,78.0,57.36,72.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,316430.0,393896.0,357473.24,359016.0,53.0,78.0,57.06,53.0,81.0,83.0,81.47,81.0,338.56,660.46,616.65,660.46,4.13,8.06,7.53,8.06,0.0,78.0,57.91,68.5,
NVIDIA GeForce RTX 2080 SUPER,force,380123.0,446569.0,396154.55,391044.0,56.0,75.0,60.9,59.0,70.0,78.0,73.5,74.0,338.56,726.46,602.61,726.46,4.13,8.87,7.36,8.87,0.0,78.0,40.62,64.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,383020.0,398169.0,388281.25,387776.0,56.0,62.0,58.38,57.5,72.0,74.0,73.5,74.0,338.56,728.46,571.25,456.46,4.13,8.89,6.97,5.57,0.0,78.0,28.13,0.0,
NVIDIA GeForce RTX 3070,combinator,314966.0,318781.0,317497.46,317855.0,58.0,62.0,59.31,59.0,68.0,69.0,68.62,69.0,356.11,774.07,616.01,510.07,4.35,9.45,7.52,6.23,0.0,65.0,25.03,0.0,
NVIDIA GeForce RTX 3070,dict3,307291.0,326076.0,320937.28,322941.5,58.0,75.0,59.83,58.5,66.0,68.0,67.22,67.0,356.11,706.07,658.44,706.07,4.35,8.62,8.04,8.62,0.0,63.0,47.32,56.0,
NVIDIA GeForce RTX 3070,dict4,314542.0,324764.0,317957.22,317730.5,58.0,67.0,59.33,59.0,64.0,67.0,65.39,65.0,356.11,706.07,658.44,706.07,4.35,8.62,8.04,8.62,0.0,64.0,46.82,55.0,
NVIDIA GeForce RTX 3070,force,316116.0,340880.0,324278.5,322530.5,57.0,71.0,60.05,59.0,67.0,69.0,68.59,69.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,305104.0,316255.0,311203.12,310955.0,58.0,71.0,60.5,59.0,69.0,70.0,69.12,69.0,453.3,870.28,715.58,617.28,5.53,10.62,8.74,7.54,0.0,70.0,28.57,0.0,
NVIDIA GeForce RTX 3090,combinator,511265.0,532791.0,526298.0,528640.5,53.0,63.0,54.67,54.0,78.0,79.0,78.5,78.5,499.16,1163.83,1046.69,1163.83,2.03,4.74,4.26,4.74,0.0,75.0,50.65,58.0,
NVIDIA GeForce RTX 3090,dict3,550819.0,566817.0,560264.89,561987.5,57.0,73.0,58.94,57.5,75.0,79.0,77.39,77.5,537.73,1139.34,1061.24,1139.34,2.19,4.64,4.32,4.64,0.0,77.0,51.3,59.0,
