GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,880369664.0,880913761.0,880559435.38,880536593.5,93.0,94.0,93.38,93.0,62.0,63.0,62.12,62.0,885.91,3915.25,2694.45,3915.25,7.87,34.76,23.92,34.76,0.0,96.0,49.38,67.0,
NVIDIA GeForce GTX 1080 Ti,dict4,232073482.0,233980364.0,233026923.0,233026923.0,56.0,62.0,59.0,59.0,71.0,71.0,71.0,71.0,1145.0,2229.65,1920.28,2229.65,10.17,19.79,17.05,19.79,0.0,57.0,29.14,48.0,
NVIDIA GeForce GTX 1080 Ti,force,81945382.0,578096676.0,524049797.82,569044985.5,63.0,95.0,90.55,91.0,54.0,57.0,56.36,57.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,7125386.0,461905491.0,372332735.48,406737008.0,1.0,93.0,74.7,93.0,55.0,58.0,57.13,58.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,1477448976.0,1603497613.0,1547565729.31,1551769105.0,70.0,72.0,70.31,70.0,84.0,86.0,85.46,86.0,327.78,3333.68,2213.87,3333.68,4.0,40.69,27.02,40.69,0.0,73.0,39.73,70.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,194037692.0,199589078.0,197027492.33,197455707.0,33.0,34.0,33.67,34.0,73.0,74.0,73.33,73.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,433618947.0,2561654231.0,2194278976.45,2498546898.0,60.0,93.0,83.91,92.0,74.0,88.0,83.91,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1730111623.0,2136424605.0,2036966088.69,2061734193.0,60.0,94.0,86.0,94.0,76.0,88.0,85.23,87.0,338.56,3344.46,1653.95,456.46,4.13,40.83,20.19,5.57,0.0,94.0,27.47,1.0,
NVIDIA GeForce RTX 3070,combinator,2541689015.0,2589592905.0,2566096485.83,2567634548.0,87.0,88.0,87.83,88.0,76.0,80.0,78.0,78.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,133206265.0,141060498.0,137913547.2,139412070.0,17.0,36.0,22.0,18.0,71.0,75.0,73.2,74.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,0.0,2935928792.0,2268176729.91,2924504055.0,73.0,91.0,85.55,90.0,64.0,72.0,68.27,69.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,0.0,1657137974.0,1337507506.79,1421763970.0,21.0,89.0,65.0,66.0,68.0,74.0,72.5,73.0,505.58,3527.54,1661.43,659.54,6.17,43.06,20.28,8.05,0.0,91.0,17.67,0.0,
NVIDIA GeForce RTX 3090,combinator,4158367371.0,4158367371.0,4158367371.0,4158367371.0,89.0,89.0,89.0,89.0,84.0,84.0,84.0,84.0,539.17,3663.34,1561.28,797.34,2.19,14.91,6.35,3.24,0.0,91.0,16.86,0.0,
NVIDIA GeForce RTX 3090,force,274316927.0,4652511184.0,3458709484.14,4516032262.0,81.0,93.0,89.57,90.0,76.0,79.0,77.71,78.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,0.0,4418725136.0,1249028448.3,264982558.0,3.0,94.0,44.0,32.0,69.0,78.0,72.6,71.0,522.1,3644.77,2083.88,2084.11,2.12,14.83,8.48,8.48,0.0,81.0,25.17,7.0,
NVIDIA RTX A4000,combinator,2214157874.0,2254478379.0,2234721775.15,2235282576.0,89.0,90.0,89.46,89.0,83.0,86.0,84.77,85.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict4,132054154.0,137637554.0,135405687.8,136118384.0,15.0,32.0,22.4,19.0,82.0,85.0,83.4,84.0,807.88,2583.85,2138.92,2581.48,4.93,15.78,13.06,15.76,2.0,41.0,20.0,26.0,
NVIDIA RTX A4000,force,138100744.0,2509172011.0,2222997051.62,2486144812.0,92.0,95.0,92.31,92.0,77.0,83.0,80.46,81.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,1538602221.0,2836427409.0,2220202511.31,2280297188.0,20.0,96.0,85.31,93.0,78.0,85.0,82.0,82.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,220793071.0,221341938.0,221052083.92,220992030.0,13.0,48.0,39.62,42.0,64.0,66.0,64.15,64.0,5589.41,6892.68,6382.86,5974.97,34.3,42.3,39.15,36.6,0,0,0,0,
Radeon RX Vega,dict3,27307927.0,27556547.0,27445375.0,27471651.0,0.0,6.0,2.33,1.0,70.0,70.0,70.0,70.0,5032.25,6359.21,5850.0,6317.94,30.8,39.0,35.86,38.7,0,0,0,0,
Radeon RX Vega,dict4,104239487.0,106400740.0,104961729.09,104807020.0,0.0,57.0,30.45,40.0,73.0,73.0,73.0,73.0,6456.01,7811.77,7360.46,7775.64,39.6,47.9,45.14,47.7,0,0,0,0,
Radeon RX Vega,force,148496434.0,586751801.0,549234192.27,574592844.0,3.0,96.0,65.95,67.0,60.0,67.0,65.23,66.0,7347.2,9017.35,8597.29,9010.17,45.0,55.3,52.71,55.2,0,0,0,0,
