GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,475578603.0,478565667.0,477428389.5,477801998.0,96.0,96.0,96.0,96.0,60.0,60.0,60.0,60.0,2005.32,5032.62,4554.7,5032.62,17.8,44.68,40.44,44.68,1.0,96.0,71.89,94.0,
NVIDIA GeForce GTX 1080 Ti,dict4,129455681.0,134030463.0,131314396.6,130994213.0,55.0,63.0,58.2,57.0,68.0,69.0,68.4,68.0,1148.1,2234.09,1908.56,2234.09,10.19,19.83,16.94,19.83,0.0,59.0,36.1,49.5,
NVIDIA GeForce GTX 1080 Ti,force,43800357.0,807497992.0,719602783.0,791944340.0,57.0,96.0,89.32,94.0,56.0,58.0,57.21,57.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,316643518.0,235032844.46,301156418.0,2.0,97.0,78.0,95.0,54.0,56.0,55.23,55.0,1133.66,4164.21,3113.28,4164.21,10.06,36.97,27.64,36.97,0.0,96.0,43.72,33.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1215014135.0,1242787136.0,1225993948.92,1223702001.0,94.0,95.0,94.08,94.0,83.0,85.0,84.62,85.0,327.78,3333.68,2144.05,3333.68,4.0,40.69,26.17,40.69,0.0,71.0,39.96,69.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,217329403.0,220482736.0,218906069.5,218906069.5,55.0,58.0,56.5,56.5,82.0,84.0,83.0,83.0,338.56,2070.46,1494.81,2070.46,4.13,25.27,18.25,25.27,0.0,42.0,29.89,39.0,
NVIDIA GeForce RTX 2080 SUPER,force,304494994.0,3480040459.0,2858559759.73,3423169115.0,60.0,91.0,80.09,90.0,71.0,86.0,80.09,83.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,2035922089.0,1812527154.08,1992516070.0,52.0,94.0,86.69,94.0,71.0,86.0,82.54,84.0,338.56,3344.46,1653.95,456.46,4.13,40.83,20.19,5.57,0.0,94.0,29.05,1.0,
NVIDIA GeForce RTX 3070,combinator,1858548543.0,1893626643.0,1869398935.23,1867693306.0,91.0,91.0,91.0,91.0,76.0,80.0,78.31,78.0,356.11,3378.07,2263.19,3378.07,4.35,41.24,27.63,41.24,0.0,92.0,51.19,89.0,
NVIDIA GeForce RTX 3070,dict4,200734763.0,204416663.0,202487930.0,202312364.0,29.0,33.0,30.67,30.0,75.0,75.0,75.0,75.0,356.11,2058.07,1594.08,2058.07,4.35,25.12,19.46,25.12,0.0,30.0,16.45,21.0,
NVIDIA GeForce RTX 3070,force,124500606.0,3857807636.0,3179880631.0,3845133740.0,63.0,95.0,87.0,94.0,71.0,75.0,73.44,74.0,356.11,3378.07,1399.6,510.07,4.35,41.24,17.08,6.23,0.0,95.0,17.26,0.0,
NVIDIA GeForce RTX 3070,hybrid,0.0,2448367423.0,2169117992.21,2425515439.0,40.0,92.0,86.29,92.0,66.0,76.0,72.79,74.0,495.0,3516.96,1738.75,648.96,6.04,42.93,21.22,7.92,0.0,94.0,21.39,0.0,
NVIDIA GeForce RTX 3090,combinator,1295651434.0,1493018545.0,1416255573.31,1400829703.0,35.0,66.0,62.08,65.0,81.0,82.0,81.85,82.0,499.66,3622.33,3102.03,3622.33,2.03,14.74,12.62,14.74,0.0,89.0,64.17,78.0,
NVIDIA GeForce RTX 3090,dict4,140524546.0,150971281.0,146579632.2,147746020.0,16.0,18.0,17.4,18.0,65.0,67.0,66.0,66.0,535.08,3551.92,2453.63,3546.42,2.18,14.45,9.98,14.43,0.0,34.0,11.64,14.0,
NVIDIA GeForce RTX 3090,force,789592466.0,6431188929.0,4947688064.67,6271435485.0,66.0,93.0,83.83,92.0,77.0,80.0,78.67,79.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,4356865226.0,4371788667.0,4364326946.5,4364326946.5,92.0,93.0,92.5,92.5,80.0,80.0,80.0,80.0,506.91,3634.08,2462.85,3634.08,2.06,14.79,10.02,14.79,3.0,89.0,25.0,4.0,
NVIDIA RTX A4000,combinator,1662077026.0,1703804182.0,1677789872.15,1678468635.0,92.0,94.0,92.23,92.0,82.0,86.0,84.54,85.0,743.42,3793.39,2781.31,3793.39,4.54,23.16,16.98,23.16,0.0,95.0,55.38,95.0,
NVIDIA RTX A4000,dict4,193561823.0,197378046.0,194915975.0,193808056.0,28.0,32.0,30.67,32.0,85.0,86.0,85.33,85.0,790.26,2570.98,2158.0,2566.23,4.83,15.7,13.18,15.67,3.0,35.0,18.62,21.0,
NVIDIA RTX A4000,force,145750045.0,3240663046.0,2669236129.55,3219252282.0,77.0,91.0,86.55,89.0,78.0,83.0,80.73,81.0,743.73,3793.7,2444.99,3793.7,4.54,23.17,14.93,23.17,0.0,95.0,42.86,2.5,
NVIDIA RTX A4000,hybrid,1743167079.0,2233268628.0,2128591337.0,2175979019.0,25.0,93.0,84.64,93.0,79.0,85.0,82.64,83.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,207887884.0,214055445.0,210565783.62,210834386.0,16.0,43.0,38.62,41.0,61.0,63.0,62.0,62.0,5642.06,6946.03,6440.54,6115.92,34.6,42.6,39.49,37.5,0,0,0,0,
Radeon RX Vega,dict3,28322782.0,28680576.0,28509163.0,28524131.0,0.0,32.0,10.67,0.0,71.0,71.0,71.0,71.0,5040.09,6366.69,5858.44,6326.81,30.9,39.0,35.91,38.8,0,0,0,0,
Radeon RX Vega,dict4,111213093.0,116423189.0,113184490.83,113081840.0,15.0,57.0,48.67,55.5,74.0,74.0,74.0,74.0,6899.51,8302.16,7771.57,8059.41,42.3,50.9,47.64,49.4,0,0,0,0,
Radeon RX Vega,force,254865460.0,831485817.0,788907509.47,824694453.0,5.0,94.0,52.53,55.0,60.0,66.0,64.63,65.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,255506247.0,272192116.0,259999267.4,259519322.0,27.0,58.0,52.7,55.5,55.0,56.0,55.6,56.0,8232.12,10034.04,9190.51,8903.54,50.5,61.5,56.33,54.55,0,0,0,0,
