GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,167868843.0,170404392.0,168837775.62,168380297.5,98.0,99.0,98.12,98.0,57.0,58.0,57.88,58.0,2233.98,5270.62,4929.72,5267.09,19.83,46.79,43.77,46.76,6.0,99.0,83.11,98.0,
NVIDIA GeForce GTX 1080 Ti,dict3,37724790.0,37896708.0,37810749.0,37810749.0,27.0,29.0,28.0,28.0,70.0,70.0,70.0,70.0,1154.6,2236.96,1876.28,2236.96,10.25,19.86,16.66,19.86,0.0,22.0,10.5,10.0,
NVIDIA GeForce GTX 1080 Ti,dict4,54015821.0,55629116.0,54487848.62,54258762.0,25.0,33.0,28.44,28.0,64.0,65.0,64.19,64.0,1145.81,2230.46,2075.76,2230.46,10.17,19.8,18.43,19.8,0.0,32.0,22.33,27.0,
NVIDIA GeForce GTX 1080 Ti,force,24822835.0,144748266.0,130973289.38,143982057.0,72.0,96.0,90.69,92.0,54.0,55.0,54.92,55.0,1149.44,4176.09,3066.3,4176.09,10.2,37.07,27.22,37.07,0.0,98.0,55.69,94.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,146651763.0,123805295.17,133613962.0,48.0,97.0,91.0,96.0,55.0,56.0,55.42,55.0,1144.04,4172.84,2963.38,4172.84,10.16,37.05,26.31,37.05,0.0,98.0,44.38,32.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,419439615.0,425099803.0,422001340.85,421763593.0,96.0,97.0,96.62,97.0,77.0,84.0,81.77,83.0,327.78,3333.68,2087.57,3333.68,4.0,40.69,25.48,40.69,0.0,97.0,49.57,52.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,40996669.0,40996669.0,40996669.0,40996669.0,24.0,24.0,24.0,24.0,60.0,60.0,60.0,60.0,338.56,2070.46,1219.65,1249.46,4.13,25.27,14.89,15.25,0.0,29.0,15.33,20.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,151927657.0,155950031.0,153783539.0,153628234.0,48.0,53.0,50.75,51.0,82.0,82.0,82.0,82.0,338.56,2070.46,1494.26,2070.46,4.13,25.27,18.24,25.27,0.0,55.0,33.0,49.0,
NVIDIA GeForce RTX 2080 SUPER,force,322904122.0,1269953919.0,1159327810.61,1254715276.5,50.0,93.0,85.28,92.0,73.0,89.0,85.11,86.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,9706735.0,840113332.0,743815139.56,808179868.5,5.0,95.0,80.39,91.0,56.0,85.0,78.89,83.0,338.56,3344.46,1696.82,456.46,4.13,40.83,20.71,5.57,0.0,87.0,20.43,1.0,
