GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,30301914.0,30351521.0,30323353.22,30324918.0,94.0,94.0,94.0,94.0,71.0,72.0,71.33,71.0,2256.52,5302.67,4785.62,5283.17,20.03,47.08,42.49,46.9,0.0,95.0,72.0,94.0,
NVIDIA GeForce GTX 1080 Ti,dict3,10564049.0,10660510.0,10609213.82,10605234.0,26.0,32.0,30.55,31.0,69.0,70.0,69.73,70.0,1146.1,2236.9,2019.56,2236.9,10.17,19.86,17.93,19.86,0.0,27.0,18.13,21.0,
NVIDIA GeForce GTX 1080 Ti,dict4,12918286.0,13210750.0,13023833.11,13022928.0,28.0,35.0,31.06,31.0,63.0,64.0,63.17,63.0,1140.31,2224.96,2077.52,2224.96,10.12,19.75,18.44,19.75,0.0,70.0,47.59,56.0,
NVIDIA GeForce GTX 1080 Ti,force,4468676.0,35446072.0,29449601.38,30073862.5,58.0,95.0,89.69,94.0,55.0,58.0,56.88,57.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,5060888.0,10133854.0,9190429.25,10008188.0,22.0,96.0,79.88,95.0,53.0,55.0,53.94,54.0,1143.6,4172.84,2863.78,4172.84,10.15,37.05,25.42,37.05,0.0,95.0,30.38,7.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,81225354.0,83639563.0,82118870.77,81960468.0,92.0,92.0,92.0,92.0,84.0,87.0,85.62,86.0,327.78,3333.68,2012.17,3333.68,4.0,40.69,24.56,40.69,0.0,92.0,47.24,65.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,10087668.0,12441329.0,10921588.75,10738123.5,24.0,36.0,32.67,34.5,57.0,58.0,57.08,57.0,338.56,2070.46,1724.21,2070.46,4.13,25.27,21.05,25.27,0.0,36.0,20.07,20.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,7033486.0,9424035.0,8051364.17,7825647.5,14.0,37.0,29.83,34.0,57.0,65.0,59.56,58.5,338.56,2070.46,1844.64,2070.46,4.13,25.27,22.52,25.27,0.0,56.0,44.78,53.0,
NVIDIA GeForce RTX 2080 SUPER,force,16541397.0,126946666.0,116403073.0,124116792.5,53.0,94.0,88.93,94.0,70.0,87.0,84.43,86.0,338.56,3344.46,2041.74,3344.46,4.13,40.83,24.92,40.83,0.0,89.0,42.21,41.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,78020759.0,83996557.0,79796664.5,79218783.0,66.0,93.0,88.08,92.0,80.0,86.0,84.08,84.5,338.56,3344.46,1833.95,456.46,4.13,40.83,22.39,5.57,0.0,73.0,27.19,1.0,
NVIDIA GeForce RTX 3070,combinator,137364354.0,138714002.0,137918852.23,137855181.0,93.0,94.0,93.31,93.0,76.0,81.0,78.69,79.0,356.11,3378.07,2070.97,3378.07,4.35,41.24,25.28,41.24,0.0,93.0,44.55,0.0,
NVIDIA GeForce RTX 3070,dict3,12409385.0,14433838.0,13466842.44,13460943.0,14.0,31.0,24.22,28.0,62.0,65.0,63.33,63.0,356.11,2058.07,1693.5,2058.07,4.35,25.12,20.67,25.12,0.0,35.0,16.07,14.0,
NVIDIA GeForce RTX 3070,dict4,63956727.0,67041734.0,64804490.23,64329004.0,40.0,70.0,55.62,55.0,72.0,74.0,72.92,73.0,356.11,2058.07,1836.16,2058.07,4.35,25.12,22.41,25.12,0.0,41.0,22.7,29.0,
NVIDIA GeForce RTX 3070,force,120708476.0,160129585.0,156563789.69,159579116.0,49.0,93.0,88.46,92.0,70.0,76.0,74.0,74.0,356.11,3378.07,1985.81,3378.07,4.35,41.24,24.24,41.24,0.0,99.0,38.0,0.0,
NVIDIA GeForce RTX 3070,hybrid,130236226.0,133778873.0,131285064.3,131188509.5,51.0,93.0,80.6,93.0,73.0,77.0,75.4,75.5,500.27,3522.23,2383.11,3522.23,6.11,43.0,29.09,43.0,0.0,94.0,42.82,48.0,
NVIDIA GeForce RTX 3090,combinator,193022828.0,194589603.0,193552360.0,193424210.0,92.0,94.0,93.08,93.0,83.0,85.0,84.23,84.0,499.16,3621.83,3101.53,3621.83,2.03,14.74,12.62,14.74,0.0,94.0,71.78,91.0,
NVIDIA GeForce RTX 3090,dict3,14087796.0,15944789.0,15075706.25,15084732.5,5.0,31.0,18.0,17.5,72.0,75.0,73.12,72.5,543.17,3555.84,2860.82,3555.84,2.21,14.47,11.64,14.47,0.0,29.0,11.62,10.0,
NVIDIA GeForce RTX 3090,dict4,31194909.0,35673268.0,32705069.39,32134566.0,12.0,43.0,29.83,30.5,71.0,76.0,72.61,72.0,540.67,3553.34,3160.5,3553.34,2.2,14.46,12.86,14.46,0.0,45.0,21.35,23.0,
NVIDIA GeForce RTX 3090,force,90148936.0,224735435.0,213575326.77,223840383.0,93.0,95.0,93.54,93.0,77.0,82.0,80.54,81.0,,,,,,,,,,,,,
