GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,3322704472.0,3428510605.0,3377792030.78,3376409293.0,93.0,94.0,93.33,93.0,69.0,88.0,76.89,73.0,1531.91,4558.56,3910.12,4558.56,13.6,40.47,34.71,40.47,0.0,93.0,71.79,92.0,
NVIDIA GeForce GTX 1080 Ti,dict4,294097598.0,294097598.0,294097598.0,294097598.0,39.0,39.0,39.0,39.0,67.0,67.0,67.0,67.0,1145.16,2223.52,1864.18,2223.52,10.17,19.74,16.55,19.74,0.0,47.0,23.17,23.0,
NVIDIA GeForce GTX 1080 Ti,force,668748583.0,3871305292.0,3318905129.8,3852497407.0,94.0,96.0,94.5,94.0,63.0,67.0,64.7,65.0,1140.73,4171.65,2451.96,1283.65,10.13,37.04,21.77,11.4,0.0,97.0,33.42,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,952836352.0,1613997293.0,1514816187.67,1613732728.0,31.0,94.0,83.4,94.0,58.0,61.0,60.47,61.0,1134.04,4979.75,3333.69,3488.89,10.07,44.21,29.6,30.97,0.0,95.0,26.88,6.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,5388584287.0,5388584287.0,5388584287.0,5388584287.0,96.0,96.0,96.0,96.0,84.0,84.0,84.0,84.0,327.78,3333.68,1463.88,445.68,4.0,40.69,17.87,5.44,0.0,90.0,24.55,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,335210772.0,335210772.0,335210772.0,335210772.0,31.0,31.0,31.0,31.0,67.0,67.0,67.0,67.0,338.56,2070.46,1205.83,1207.99,4.13,25.27,14.72,14.75,0.0,33.0,20.67,29.0,
NVIDIA GeForce RTX 2080 SUPER,force,594490525.0,5709238094.0,3895815615.0,4840500075.0,58.0,90.0,75.0,77.0,76.0,85.0,80.17,79.0,338.56,3344.46,1762.32,456.46,4.13,40.83,21.51,5.57,0.0,93.0,28.92,1.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1829484872.0,5290010282.0,3706267830.75,3852788084.5,52.0,81.0,66.5,66.5,67.0,83.0,75.25,75.5,338.56,3344.46,1669.05,456.46,4.13,40.83,20.37,5.57,0.0,83.0,13.86,2.5,
NVIDIA GeForce RTX 3070,combinator,4701121764.0,4793320159.0,4743963706.17,4741730630.5,56.0,87.0,80.0,86.0,79.0,80.0,79.33,79.0,356.11,3378.07,2152.67,3378.07,4.35,41.24,26.28,41.24,0.0,87.0,40.33,9.0,
NVIDIA GeForce RTX 3070,dict4,264141731.0,264222558.0,264182144.5,264182144.5,18.0,18.0,18.0,18.0,60.0,60.0,60.0,60.0,356.11,2058.07,1329.22,2058.07,4.35,25.12,16.23,25.12,0.0,20.0,10.14,15.0,
NVIDIA GeForce RTX 3070,force,660397242.0,5521109739.0,4189502189.5,5353026077.5,65.0,94.0,84.83,88.5,71.0,73.0,72.5,73.0,356.11,3378.07,1511.17,510.07,4.35,41.24,18.45,6.23,0.0,93.0,30.55,0.0,
NVIDIA GeForce RTX 3070,hybrid,2933585398.0,3924848644.0,3756812071.09,3810491486.0,27.0,75.0,67.27,71.0,68.0,75.0,73.45,74.0,458.44,3466.78,1774.79,612.4,5.6,42.32,21.66,7.48,0.0,93.0,18.83,0.0,
NVIDIA GeForce RTX 3090,combinator,5908742648.0,6004046338.0,5941414200.33,5911453615.0,62.0,66.0,63.33,62.0,81.0,82.0,81.33,81.0,499.16,3621.83,2583.16,3621.83,2.03,14.74,10.51,14.74,0.0,71.0,40.33,51.0,
NVIDIA GeForce RTX 3090,dict4,461616250.0,461616250.0,461616250.0,461616250.0,22.0,22.0,22.0,22.0,73.0,73.0,73.0,73.0,540.23,3555.84,2049.46,2050.18,2.2,14.47,8.34,8.34,0.0,23.0,6.67,0.0,
