GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2671756413.0,2676009638.0,2673209561.38,2672771553.5,94.0,95.0,94.62,95.0,66.0,67.0,66.25,66.0,2258.3,5291.26,4275.52,5278.57,20.05,46.97,37.96,46.86,0.0,98.0,53.0,94.0,
NVIDIA GeForce GTX 1080 Ti,dict4,274531669.0,274531669.0,274531669.0,274531669.0,45.0,45.0,45.0,45.0,67.0,67.0,67.0,67.0,1145.16,2223.52,1864.18,2223.52,10.17,19.74,16.55,19.74,0.0,47.0,24.83,28.0,
NVIDIA GeForce GTX 1080 Ti,force,100740823.0,1237550833.0,1026366482.6,1187632791.5,88.0,98.0,93.8,95.0,56.0,58.0,57.0,57.0,1140.73,4171.65,2594.91,1283.65,10.13,37.04,23.04,11.4,0.0,94.0,19.15,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,770045884.0,1436980701.0,1247871855.3,1406432266.0,35.0,95.0,73.3,92.0,55.0,59.0,57.3,57.5,1146.19,4172.84,2702.86,2728.84,10.18,37.05,24.0,24.23,0.0,97.0,28.31,1.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2113006206.0,2356335530.0,2214379190.38,2163307030.0,51.0,59.0,54.69,54.0,81.0,84.0,83.08,83.0,327.78,3333.68,2361.22,3333.68,4.0,40.69,28.82,40.69,0.0,68.0,41.25,62.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,316629955.0,316629955.0,316629955.0,316629955.0,35.0,35.0,35.0,35.0,76.0,76.0,76.0,76.0,338.56,2070.46,1422.35,2070.46,4.13,25.27,17.36,25.27,0.0,31.0,17.88,24.0,
NVIDIA GeForce RTX 2080 SUPER,force,29264668.0,4785229742.0,2520809565.83,2848929213.5,59.0,72.0,64.67,63.0,73.0,86.0,78.33,78.0,338.56,3344.46,1883.69,1900.46,4.13,40.83,22.99,23.2,0.0,88.0,32.0,19.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1694523733.0,2706694000.0,2443077519.85,2563021530.0,39.0,66.0,59.31,63.0,72.0,84.0,81.69,83.0,338.56,3344.46,1885.78,1900.46,4.13,40.83,23.02,23.2,0.0,67.0,22.69,0.5,
NVIDIA GeForce RTX 3070,combinator,4554478241.0,4554478241.0,4554478241.0,4554478241.0,89.0,89.0,89.0,89.0,77.0,77.0,77.0,77.0,356.11,3378.07,1357.08,510.07,4.35,41.24,16.57,6.23,0.0,89.0,17.31,0.0,
NVIDIA GeForce RTX 3070,dict4,243008188.0,244828990.0,243918589.0,243918589.0,18.0,25.0,21.5,21.5,64.0,64.0,64.0,64.0,356.11,2058.07,1346.51,2058.07,4.35,25.12,16.44,25.12,0.0,26.0,11.57,16.0,
NVIDIA GeForce RTX 3070,force,24458784.0,5197864510.0,3158595118.86,4509743933.0,54.0,95.0,82.71,90.0,74.0,77.0,75.29,75.0,356.11,3378.07,1810.15,510.07,4.35,41.24,22.1,6.23,0.0,94.0,28.0,0.0,
NVIDIA GeForce RTX 3070,hybrid,2703970950.0,4700566349.0,4033749519.67,4696711260.0,33.0,92.0,72.33,92.0,69.0,75.0,73.0,75.0,499.77,3521.73,1500.81,653.73,6.1,42.99,18.32,7.98,0.0,43.0,4.46,0.0,
NVIDIA GeForce RTX 3090,combinator,4193138200.0,4323939169.0,4257038901.38,4263752051.0,52.0,62.0,55.62,56.0,83.0,84.0,83.88,84.0,499.16,3621.83,3101.53,3621.83,2.03,14.74,12.62,14.74,0.0,71.0,50.67,63.0,
NVIDIA GeForce RTX 3090,dict4,156764533.0,159795853.0,158163110.5,158046028.0,6.0,10.0,9.0,10.0,73.0,75.0,74.0,74.0,541.67,3553.34,2629.23,3553.34,2.2,14.46,10.7,14.46,0.0,10.0,5.67,8.0,
NVIDIA GeForce RTX 3090,force,61206581.0,8570048162.0,4993616508.38,5684968832.5,59.0,95.0,86.12,94.0,80.0,83.0,81.25,81.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,681888212.0,5730299404.0,3780011999.06,5014980264.0,10.0,73.0,52.88,62.5,70.0,83.0,78.69,81.5,530.66,3653.34,1756.1,787.34,2.16,14.87,7.15,3.2,0.0,73.0,6.0,0.0,
NVIDIA RTX A4000,combinator,1749513740.0,2343645248.0,1958517051.38,1908820251.0,41.0,71.0,54.62,54.0,84.0,87.0,85.38,86.0,758.86,3808.82,2355.63,2932.82,4.63,23.26,14.38,17.91,0.0,95.0,37.47,2.0,
NVIDIA RTX A4000,dict4,232442718.0,236301014.0,234371866.0,234371866.0,20.0,20.0,20.0,20.0,72.0,72.0,72.0,72.0,830.97,2606.94,2197.4,2606.94,5.07,15.92,13.42,15.92,3.0,35.0,13.69,13.0,
NVIDIA RTX A4000,force,429128886.0,4466251671.0,3315399185.86,4166530335.0,51.0,96.0,88.0,93.0,84.0,85.0,84.43,84.0,743.73,3793.7,2307.84,2043.7,4.54,23.17,14.09,12.48,0.0,97.0,39.6,2.0,
NVIDIA RTX A4000,hybrid,573250064.0,2950097338.0,2128788154.38,2585506920.0,19.0,70.0,51.19,61.0,71.0,83.0,78.31,79.0,1192.7,4289.64,2540.05,1354.66,7.28,26.19,15.51,8.27,0.0,97.0,15.17,2.0,
Radeon RX Vega,combinator,259989200.0,260588220.0,260272115.54,260239635.0,13.0,43.0,36.54,41.0,64.0,66.0,65.31,65.0,5579.95,6879.18,6552.63,6874.66,34.2,42.2,40.18,42.1,0,0,0,0,
Radeon RX Vega,dict3,45453117.0,45453117.0,45453117.0,45453117.0,0.0,0.0,0.0,0.0,66.0,66.0,66.0,66.0,5013.04,6329.62,5770.91,5838.22,30.7,38.8,35.38,35.8,0,0,0,0,
Radeon RX Vega,dict4,91496626.0,95912714.0,92823695.31,92380173.0,0.0,50.0,10.54,0.0,70.0,71.0,70.15,70.0,6325.57,7678.77,7396.21,7662.99,38.8,47.1,45.34,47.0,0,0,0,0,
Radeon RX Vega,force,281169517.0,936175054.0,878485011.95,932406788.0,4.0,94.0,51.37,48.0,61.0,70.0,67.21,69.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,237596983.0,246579894.0,240812177.3,239810939.5,28.0,60.0,47.3,47.0,58.0,59.0,58.8,59.0,9018.34,10586.23,10027.0,10422.62,55.3,64.9,61.46,63.9,0,0,0,0,
