GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1330061388.0,1440259529.0,1400584303.25,1421138815.5,70.0,71.0,70.12,70.0,62.0,62.0,62.0,62.0,2269.34,5312.73,4971.04,5274.0,20.15,47.17,44.13,46.82,6.0,95.0,74.74,94.0,
NVIDIA GeForce GTX 1080 Ti,dict4,280549925.0,280549925.0,280549925.0,280549925.0,45.0,45.0,45.0,45.0,68.0,68.0,68.0,68.0,1133.38,2218.02,1857.03,2218.02,10.06,19.69,16.49,19.69,0.0,45.0,21.83,21.5,
NVIDIA GeForce GTX 1080 Ti,force,513531573.0,1447900644.0,1148907032.0,1299208017.0,49.0,98.0,86.2,95.0,52.0,62.0,55.5,55.0,1149.44,4176.09,2886.72,4176.09,10.2,37.07,25.63,37.07,0.0,95.0,38.44,1.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,917533552.0,1269782686.0,1214917230.93,1268912892.5,54.0,96.0,90.57,95.0,54.0,56.0,55.64,56.0,1146.19,4172.84,2604.98,1284.84,10.18,37.05,23.13,11.41,0.0,96.0,26.27,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1999581553.0,2447706686.0,2273108559.0,2330927995.5,53.0,67.0,61.71,63.0,82.0,86.0,84.36,84.5,327.78,3333.68,2356.35,3333.68,4.0,40.69,28.76,40.69,0.0,69.0,42.29,62.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,219227072.0,224017306.0,221622189.0,221622189.0,25.0,27.0,26.0,26.0,71.0,72.0,71.5,71.5,338.56,2070.46,1421.24,2070.46,4.13,25.27,17.35,25.27,0.0,26.0,17.62,24.0,
NVIDIA GeForce RTX 2080 SUPER,force,202414980.0,4474810705.0,3193423424.83,4192239784.5,56.0,90.0,74.33,78.0,74.0,83.0,79.5,80.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2785518944.0,4063625867.0,3546988028.8,4049066243.0,49.0,85.0,75.0,78.0,79.0,86.0,82.6,83.0,338.56,3344.46,1485.29,456.46,4.13,40.83,18.13,5.57,0.0,61.0,15.09,0.0,
NVIDIA GeForce RTX 3070,combinator,3798790879.0,3872314351.0,3838901835.57,3847111339.0,87.0,90.0,88.57,89.0,79.0,81.0,79.86,80.0,356.11,3378.07,2077.85,3378.07,4.35,41.24,25.36,41.24,0.0,90.0,45.94,59.0,
NVIDIA GeForce RTX 3070,dict4,259067957.0,259113273.0,259090615.0,259090615.0,18.0,20.0,19.0,19.0,72.0,72.0,72.0,72.0,356.11,2058.07,1420.08,2058.07,4.35,25.12,17.33,25.12,0.0,20.0,8.5,6.5,
