GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,3058233182.0,3136986427.0,3083851837.88,3067552978.0,94.0,95.0,94.38,94.0,82.0,85.0,83.88,84.5,1531.27,4558.56,3423.7,4558.56,13.59,40.47,30.4,40.47,0.0,86.0,35.88,15.0,
NVIDIA GeForce GTX 1080 Ti,dict4,276319286.0,276319286.0,276319286.0,276319286.0,46.0,46.0,46.0,46.0,68.0,68.0,68.0,68.0,1148.1,2230.46,1869.78,2230.46,10.19,19.8,16.6,19.8,0.0,45.0,27.33,37.0,
NVIDIA GeForce GTX 1080 Ti,force,390131901.0,2649984114.0,2102486807.89,2558053705.0,96.0,97.0,96.11,96.0,60.0,64.0,62.22,63.0,1149.44,4176.09,2962.56,4176.09,10.2,37.07,26.3,37.07,0.0,96.0,44.82,14.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,960547296.0,1330802962.0,1226965265.89,1313789383.0,0.0,96.0,83.11,95.0,57.0,61.0,59.44,60.0,1143.91,4172.71,2522.08,1284.71,10.16,37.04,22.39,11.41,0.0,95.0,21.94,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,3978848575.0,3978848575.0,3978848575.0,3978848575.0,97.0,97.0,97.0,97.0,84.0,84.0,84.0,84.0,327.78,3333.68,2062.73,3333.68,4.0,40.69,25.18,40.69,0.0,70.0,36.78,57.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,330259118.0,330259118.0,330259118.0,330259118.0,37.0,37.0,37.0,37.0,72.0,72.0,72.0,72.0,338.56,2070.46,1422.35,2070.46,4.13,25.27,17.36,25.27,0.0,35.0,17.62,24.5,
NVIDIA GeForce RTX 2080 SUPER,force,323232467.0,4309044624.0,2991464485.33,3832920919.5,64.0,95.0,76.5,76.5,76.0,83.0,79.5,80.0,338.56,3344.46,1540.17,456.46,4.13,40.83,18.8,5.57,0.0,94.0,32.15,1.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,3954792711.0,2541649852.0,2489337556.0,55.0,89.0,69.8,58.0,72.0,83.0,76.4,72.0,338.56,3344.46,1517.47,456.46,4.13,40.83,18.52,5.57,0.0,67.0,21.69,0.5,
NVIDIA GeForce RTX 3070,combinator,3817910356.0,3817910356.0,3817910356.0,3817910356.0,91.0,91.0,91.0,91.0,76.0,76.0,76.0,76.0,356.11,3378.07,1296.65,510.07,4.35,41.24,15.83,6.23,0.0,90.0,25.0,0.0,
NVIDIA GeForce RTX 3070,dict4,254795333.0,255006493.0,254900913.0,254900913.0,15.0,19.0,17.0,17.0,60.0,60.0,60.0,60.0,356.11,2058.07,1226.91,1266.07,4.35,25.12,14.98,15.45,0.0,27.0,12.67,12.0,
NVIDIA GeForce RTX 3070,force,450930178.0,4206918940.0,3556929040.22,4190460295.0,78.0,96.0,91.78,93.0,71.0,74.0,72.44,73.0,356.11,3378.07,1706.36,510.07,4.35,41.24,20.83,6.23,0.0,93.0,28.07,0.0,
