GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2790506231.0,2821074406.0,2801951812.25,2798113306.0,94.0,95.0,94.5,94.5,83.0,84.0,83.5,83.5,1531.27,4558.56,3045.13,3045.24,13.59,40.47,27.03,27.04,0.0,95.0,29.33,0.0,
NVIDIA GeForce GTX 1080 Ti,dict4,181985615.0,184409748.0,183163640.0,183095557.0,30.0,37.0,33.33,33.0,66.0,66.0,66.0,66.0,1145.16,2230.46,1837.5,2230.46,10.17,19.8,16.31,19.8,0.0,33.0,19.5,29.5,
NVIDIA GeForce GTX 1080 Ti,force,439849768.0,2211729865.0,1954909656.2,2190221276.0,88.0,98.0,93.73,93.0,60.0,64.0,62.47,63.0,1149.44,4176.09,2781.06,4176.09,10.2,37.07,24.69,37.07,0.0,97.0,36.48,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,800375018.0,1170190298.0,1070531643.8,1162242056.0,21.0,96.0,76.2,96.0,58.0,61.0,59.8,60.0,1146.06,4172.71,2392.53,1284.71,10.17,37.04,21.24,11.41,0.0,96.0,24.83,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2544523117.0,2689230454.0,2630982463.1,2649436925.0,72.0,80.0,78.8,79.5,84.0,86.0,84.9,85.0,327.78,3333.68,2009.07,3333.68,4.0,40.69,24.52,40.69,0.0,56.0,28.32,32.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,200407305.0,205570387.0,202794695.67,202406395.0,29.0,30.0,29.67,30.0,65.0,65.0,65.0,65.0,338.56,2070.46,1577.62,2070.46,4.13,25.27,19.26,25.27,0.0,29.0,19.57,26.0,
NVIDIA GeForce RTX 2080 SUPER,force,457954880.0,3662505738.0,3063476652.1,3604737688.5,63.0,91.0,80.1,89.0,72.0,87.0,82.0,83.5,338.56,3344.46,1517.47,456.46,4.13,40.83,18.52,5.57,0.0,92.0,27.25,4.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2036214349.0,3447127787.0,2867775447.6,3407224800.0,37.0,91.0,71.0,75.0,71.0,83.0,77.4,79.0,338.56,3344.46,1349.95,456.46,4.13,40.83,16.48,5.57,0.0,78.0,13.32,0.0,
NVIDIA GeForce RTX 3070,combinator,3192299533.0,3248922466.0,3221950080.22,3228760993.0,83.0,87.0,84.67,84.0,74.0,78.0,75.89,76.0,356.11,3378.07,1335.54,510.07,4.35,41.24,16.3,6.23,0.0,87.0,17.88,0.0,
NVIDIA GeForce RTX 3070,dict4,242174474.0,243810899.0,242992686.5,242992686.5,20.0,27.0,23.5,23.5,59.0,60.0,59.5,59.5,356.11,2058.07,1222.83,1269.07,4.35,25.12,14.93,15.49,0.0,21.0,8.88,7.5,
NVIDIA GeForce RTX 3070,force,445389625.0,3842675776.0,2879419808.71,3617231350.0,86.0,97.0,92.71,94.0,71.0,73.0,71.57,71.0,356.11,3378.07,1530.7,510.07,4.35,41.24,18.69,6.23,0.0,96.0,30.69,0.0,
NVIDIA GeForce RTX 3070,hybrid,2225203422.0,3461253158.0,3331095976.25,3425529125.5,43.0,91.0,85.67,89.0,66.0,75.0,72.92,73.5,451.47,3484.63,1269.08,634.32,5.51,42.54,15.49,7.74,0.0,99.0,15.47,1.0,
NVIDIA GeForce RTX 3090,combinator,5483528148.0,5483528148.0,5483528148.0,5483528148.0,87.0,87.0,87.0,87.0,80.0,80.0,80.0,80.0,499.16,3621.83,2102.94,2187.83,2.03,14.74,8.56,8.9,0.0,87.0,28.83,0.0,
NVIDIA GeForce RTX 3090,dict4,157824312.0,161638959.0,159245845.25,158760055.0,10.0,13.0,10.75,10.0,71.0,72.0,71.5,71.5,540.23,3555.84,2886.18,3555.84,2.2,14.47,11.74,14.47,0.0,10.0,6.33,9.0,
NVIDIA GeForce RTX 3090,force,776493705.0,6034253412.0,4606016352.33,5888198096.5,87.0,96.0,91.17,90.0,79.0,81.0,79.67,79.5,723.67,3846.34,2081.81,980.34,2.94,15.65,8.47,3.99,0.0,96.0,25.53,0.0,
NVIDIA GeForce RTX 3090,hybrid,5780025823.0,5865648621.0,5822837222.0,5822837222.0,40.0,91.0,65.5,65.5,77.0,78.0,77.5,77.5,515.95,3638.62,2300.71,3638.62,2.1,14.81,9.36,14.81,2.0,77.0,32.0,7.0,
