GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,925466450.0,976972464.0,953345991.56,953375552.0,92.0,93.0,92.89,93.0,62.0,65.0,63.44,63.0,1531.91,4558.56,4008.59,4558.56,13.6,40.47,35.59,40.47,0.0,96.0,75.0,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,102065532.0,107922792.0,104597594.29,104404623.0,28.0,32.0,31.14,32.0,59.0,61.0,59.71,59.0,1148.1,2230.46,1921.31,2230.46,10.19,19.8,17.06,19.8,0.0,67.0,31.0,46.0,
NVIDIA GeForce GTX 1080 Ti,force,109629045.0,1450984435.0,1179844214.67,1208108967.0,81.0,97.0,93.0,94.0,61.0,67.0,62.89,62.0,1142.79,4171.65,3852.94,4171.65,10.15,37.04,34.21,37.04,0.0,97.0,73.53,95.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,947464787.0,464670251.4,491948115.0,0.0,98.0,78.55,93.0,58.0,66.0,59.75,59.0,1950.45,4979.5,4574.68,4978.0,17.32,44.21,40.61,44.19,0.0,97.0,56.93,70.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2168309791.0,2325873312.0,2267960565.0,2288829578.5,71.0,95.0,89.0,95.0,75.0,87.0,82.5,84.0,327.78,3333.68,2116.35,3333.68,4.0,40.69,25.83,40.69,0.0,61.0,30.0,47.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,187066507.0,190785753.0,188697999.0,188241737.0,33.0,38.0,35.0,34.0,67.0,67.0,67.0,67.0,338.56,2070.46,1422.35,2070.46,4.13,25.27,17.36,25.27,0.0,36.0,22.25,26.5,
NVIDIA GeForce RTX 2080 SUPER,force,282473707.0,2413993362.0,2086488822.83,2378454970.5,62.0,94.0,84.33,93.0,74.0,88.0,82.67,85.0,338.56,3344.46,2006.14,3344.46,4.13,40.83,24.49,40.83,0.0,94.0,45.12,55.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,2442737652.0,2106436376.71,2355440731.0,41.0,93.0,85.93,93.0,71.0,88.0,83.43,86.0,338.56,3344.46,1888.64,1934.46,4.13,40.83,23.05,23.61,0.0,69.0,24.54,1.0,
NVIDIA GeForce RTX 3070,combinator,2595880375.0,2650141268.0,2620149950.58,2620982626.0,48.0,88.0,84.0,87.0,74.0,79.0,76.58,77.0,356.11,3378.07,1440.55,510.07,4.35,41.24,17.58,6.23,0.0,91.0,25.76,0.0,
NVIDIA GeForce RTX 3070,dict4,135221144.0,140681548.0,138405317.4,138766171.0,16.0,28.0,20.2,18.0,57.0,59.0,58.2,59.0,356.11,2058.07,1547.68,2058.07,4.35,25.12,18.89,25.12,0.0,32.0,12.5,13.5,
NVIDIA GeForce RTX 3070,force,299743225.0,2912152714.0,2466549031.64,2901775536.0,66.0,92.0,87.18,90.0,66.0,73.0,69.64,70.0,356.11,3378.07,1853.88,510.07,4.35,41.24,22.63,6.23,0.0,90.0,33.67,0.0,
NVIDIA GeForce RTX 3070,hybrid,1727439312.0,2839152970.0,2406768166.67,2582808905.0,18.0,91.0,57.17,62.0,64.0,69.0,66.67,67.5,455.88,3465.09,1700.0,609.84,5.56,42.3,20.75,7.44,0.0,91.0,16.56,0.0,
NVIDIA GeForce RTX 3090,combinator,4308173897.0,4308173897.0,4308173897.0,4308173897.0,87.0,87.0,87.0,87.0,81.0,81.0,81.0,81.0,499.16,3621.83,3101.53,3621.83,2.03,14.74,12.62,14.74,0.0,70.0,47.78,58.0,
NVIDIA GeForce RTX 3090,dict4,258862867.0,263105517.0,260984192.0,260984192.0,14.0,25.0,19.5,19.5,72.0,72.0,72.0,72.0,543.82,3555.16,2694.14,3553.34,2.21,14.47,10.96,14.46,0.0,25.0,12.14,14.0,
NVIDIA GeForce RTX 3090,force,0.0,4587794148.0,3068515197.43,4478737326.0,74.0,92.0,87.29,90.0,76.0,79.0,78.0,79.0,727.29,3848.84,2150.09,986.84,2.96,15.66,8.75,4.02,0.0,99.0,32.79,0.0,
NVIDIA GeForce RTX 3090,hybrid,10733782.0,4835816315.0,2849546223.67,2927527325.0,2.0,93.0,55.83,64.0,68.0,78.0,73.5,74.5,502.95,3625.62,2689.08,3625.62,2.05,14.75,10.94,14.75,2.0,86.0,19.4,4.0,
NVIDIA RTX A4000,combinator,2259581166.0,2307653666.0,2283064651.77,2280119826.0,79.0,90.0,88.38,89.0,79.0,84.0,82.0,82.0,974.71,4024.68,2901.52,4024.68,5.95,24.58,17.72,24.58,0.0,95.0,52.46,93.0,
NVIDIA RTX A4000,dict4,129194604.0,139022527.0,134919845.6,136199811.0,14.0,26.0,20.6,20.0,67.0,68.0,67.6,68.0,728.28,2504.25,2123.83,2504.25,4.45,15.29,12.97,15.29,2.0,32.0,16.5,16.0,
NVIDIA RTX A4000,force,138868475.0,2504328482.0,2224256994.23,2489344372.0,90.0,95.0,92.15,92.0,73.0,81.0,77.92,78.0,743.73,3793.7,2699.85,3793.7,4.54,23.17,16.49,23.17,0.0,95.0,55.52,94.0,
NVIDIA RTX A4000,hybrid,10470548.0,2473223525.0,2176361792.64,2394348677.0,4.0,93.0,77.71,92.0,69.0,82.0,78.36,79.5,968.14,4021.86,2553.2,2577.86,5.91,24.56,15.59,15.74,0.0,97.0,36.4,4.0,
