GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1163979371.0,1189787468.0,1176665503.75,1180640016.0,91.0,92.0,91.12,91.0,64.0,64.0,64.0,64.0,1580.73,4615.75,3912.18,4608.81,14.03,40.98,34.73,40.92,0.0,95.0,66.08,94.0,
NVIDIA GeForce GTX 1080 Ti,dict4,169471300.0,172234318.0,170629397.0,170405985.0,36.0,42.0,40.0,41.0,67.0,67.0,67.0,67.0,1145.81,2230.46,1869.49,2230.46,10.17,19.8,16.6,19.8,0.0,47.0,23.56,32.0,
NVIDIA GeForce GTX 1080 Ti,force,73403911.0,528000428.0,477800255.92,518824915.0,48.0,98.0,88.58,92.0,53.0,56.0,54.92,55.0,1145.0,4171.65,3214.31,4171.65,10.17,37.04,28.54,37.04,0.0,95.0,56.24,91.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,8106957.0,663146843.0,514888817.05,584472658.5,1.0,95.0,71.95,91.0,50.0,55.0,53.75,54.5,1144.04,4172.84,2841.1,4172.84,10.16,37.05,25.22,37.05,0.0,98.0,35.45,1.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2421939382.0,2455188481.0,2437314745.67,2434816374.0,90.0,90.0,90.0,90.0,86.0,87.0,86.33,86.0,327.78,3333.68,2213.87,3333.68,4.0,40.69,27.02,40.69,0.0,90.0,51.65,84.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,185508202.0,189319028.0,187067553.0,186375429.0,34.0,34.0,34.0,34.0,72.0,72.0,72.0,72.0,338.56,2070.46,1755.66,2070.46,4.13,25.27,21.43,25.27,0.0,32.0,20.82,24.0,
NVIDIA GeForce RTX 2080 SUPER,force,273231257.0,2501370370.0,1895256102.33,2458419796.0,62.0,81.0,74.67,81.0,76.0,87.0,82.0,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1368541776.0,1952149377.0,1563227483.0,1543223328.0,33.0,75.0,58.36,62.0,74.0,86.0,82.14,84.0,338.56,3344.46,2078.6,3344.46,4.13,40.83,25.37,40.83,0.0,67.0,21.74,1.0,
NVIDIA GeForce RTX 3070,combinator,2576945966.0,2581311809.0,2578825986.0,2578220183.0,88.0,88.0,88.0,88.0,75.0,75.0,75.0,75.0,356.11,3378.07,2218.59,3378.07,4.35,41.24,27.08,41.24,0.0,86.0,45.28,85.0,
NVIDIA GeForce RTX 3070,dict4,132476242.0,140991242.0,137157984.8,138317937.0,16.0,36.0,22.6,19.0,64.0,66.0,65.2,66.0,356.11,2058.07,1717.78,2058.07,4.35,25.12,20.97,25.12,0.0,23.0,13.5,15.5,
