GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,399977075.0,400083230.0,400028863.75,400026288.0,93.0,94.0,93.5,93.5,62.0,62.0,62.0,62.0,2248.91,5293.88,4781.86,5286.94,19.97,47.0,42.45,46.94,0.0,95.0,69.06,92.5,
NVIDIA GeForce GTX 1080 Ti,dict4,4.0,145691185.0,120410258.33,143983439.5,44.0,9.269771356270099e+57,1.5449618927116831e+57,46.5,3.0,68.0,57.17,68.0,1138.88,2223.52,1899.45,2223.52,10.11,19.74,16.86,19.74,0.0,50.0,31.7,44.0,
NVIDIA GeForce GTX 1080 Ti,force,69106081.0,324372743.0,293671842.69,323317358.0,95.0,96.0,95.08,95.0,58.0,60.0,58.85,59.0,1147.04,4176.09,3129.72,4176.09,10.18,37.07,27.79,37.07,0.0,97.0,52.75,93.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,230176528.0,255320718.0,234959942.82,232471254.0,33.0,93.0,85.0,93.0,58.0,59.0,58.45,58.0,1141.75,4168.4,2930.7,4168.4,10.14,37.01,26.02,37.01,0.0,98.0,38.46,13.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,945741485.0,988598632.0,961400924.46,958169037.0,92.0,92.0,92.0,92.0,86.0,88.0,87.23,87.0,327.78,3333.68,2120.56,3333.68,4.0,40.69,25.89,40.69,0.0,93.0,48.62,73.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,43925000.0,43925000.0,43925000.0,43925000.0,20.0,20.0,20.0,20.0,57.0,57.0,57.0,57.0,338.56,2070.46,1429.32,1878.46,4.13,25.27,17.45,22.93,0.0,25.0,13.33,17.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,4.0,187510791.0,139768101.0,185780804.5,44.0,9.269771356270099e+57,2.3174428390675248e+57,46.0,3.0,77.0,58.5,77.0,338.56,2070.46,1423.35,2070.46,4.13,25.27,17.37,25.27,0.0,46.0,31.88,41.5,
NVIDIA GeForce RTX 2080 SUPER,force,361660852.0,1253846953.0,1134776797.89,1214975543.0,57.0,93.0,87.22,93.0,72.0,89.0,84.56,86.0,338.56,3344.46,2373.1,3344.46,4.13,40.83,28.97,40.83,0.0,93.0,51.63,68.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,945470642.0,845675878.33,910358028.0,49.0,90.0,81.07,89.0,74.0,88.0,84.0,86.0,338.56,3344.46,2131.34,3344.46,4.13,40.83,26.02,40.83,0.0,90.0,38.29,29.0,
NVIDIA GeForce RTX 3070,combinator,4.0,1154549795.0,1034449835.3,1148160560.0,90.0,9.269771356270099e+57,9.2697713562701e+56,90.0,3.0,80.0,70.7,78.0,356.11,3378.07,2263.53,3378.07,4.35,41.24,27.63,41.24,0.0,100.0,52.23,89.5,
NVIDIA GeForce RTX 3070,dict4,4.0,230938960.0,152801022.67,227464104.0,30.0,9.269771356270099e+57,3.0899237854233663e+57,33.0,3.0,64.0,43.67,64.0,356.11,2058.07,1571.94,2058.07,4.35,25.12,19.19,25.12,0.0,26.0,16.43,22.0,
NVIDIA GeForce RTX 3070,force,20545654.0,1241344183.0,1109984507.89,1240179871.0,84.0,96.0,91.94,92.0,72.0,79.0,76.28,77.0,356.11,3378.07,2385.74,3378.07,4.35,41.24,29.12,41.24,0.0,95.0,52.81,91.0,
NVIDIA GeForce RTX 3070,hybrid,4.0,1185235652.0,995033049.09,1174436604.0,29.0,9.269771356270099e+57,8.427064869336453e+56,92.0,3.0,76.0,67.0,74.0,489.27,3511.23,2177.57,3511.23,5.97,42.86,26.58,42.86,0.0,96.0,34.42,3.5,
NVIDIA GeForce RTX 3090,combinator,4.0,1893250907.0,1511040116.8,1886545105.0,90.0,9.269771356270099e+57,1.85395427125402e+57,90.0,3.0,84.0,67.6,84.0,499.16,3621.83,2720.72,3621.83,2.03,14.74,11.07,14.74,0.0,92.0,58.11,89.0,
NVIDIA GeForce RTX 3090,dict4,261491000.0,265728749.0,263609874.5,263609874.5,12.0,24.0,18.0,18.0,74.0,74.0,74.0,74.0,541.8,3555.97,2696.0,3555.84,2.2,14.47,10.97,14.47,0.0,24.0,11.43,12.0,
NVIDIA GeForce RTX 3090,force,0.0,2074460969.0,1564721372.38,2066388829.5,67.0,9.269771356270099e+57,5.793607097668812e+56,92.0,3.0,84.0,76.94,82.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,10430896.0,1863680213.0,1262457392.05,1811452388.0,5.0,89.0,65.3,87.0,69.0,83.0,77.95,80.0,530.66,3653.34,1747.96,787.34,2.16,14.87,7.11,3.2,0.0,95.0,16.31,0.0,
NVIDIA RTX A4000,combinator,983342786.0,993346994.0,987408842.77,986931832.0,91.0,92.0,91.15,91.0,83.0,87.0,85.0,85.0,758.86,3808.82,2672.9,3808.82,4.63,23.26,16.32,23.26,0.0,95.0,54.04,92.0,
NVIDIA RTX A4000,dict4,4.0,216880426.0,143252041.67,212875695.0,24.0,9.269771356270099e+57,3.0899237854233663e+57,25.0,3.0,73.0,49.67,73.0,825.83,2597.44,2154.58,2597.44,5.04,15.86,13.16,15.86,3.0,29.0,15.62,19.5,
NVIDIA RTX A4000,force,109881824.0,1086952780.0,998210457.82,1083109205.0,63.0,97.0,91.71,93.0,80.0,87.0,84.41,85.0,743.73,3793.7,2781.22,3793.7,4.54,23.17,16.98,23.17,0.0,98.0,56.31,95.0,
NVIDIA RTX A4000,hybrid,508194119.0,1007624078.0,880532559.53,951270385.0,28.0,88.0,71.65,88.0,77.0,85.0,81.47,82.0,1267.34,4317.3,2704.81,1429.3,7.74,26.36,16.52,8.73,0.0,99.0,29.6,11.0,
Radeon RX Vega,combinator,222881986.0,224085086.0,223271544.46,223159818.0,15.0,43.0,38.08,39.0,66.0,68.0,67.23,67.0,5603.41,6892.54,6493.0,6885.86,34.3,42.3,39.8,42.2,0,0,0,0,
Radeon RX Vega,dict3,14215557.0,14509572.0,14362791.62,14351297.5,0.0,40.0,15.88,10.0,65.0,66.0,65.5,65.5,5012.09,6333.45,5769.62,5831.85,30.7,38.8,35.36,35.75,0,0,0,0,
Radeon RX Vega,dict4,42628212.0,44094606.0,43630660.22,43749159.0,0.0,54.0,18.44,8.0,70.0,71.0,70.22,70.0,6561.32,7848.87,7461.53,7621.78,40.2,48.1,45.74,46.7,0,0,0,0,
Radeon RX Vega,force,127173632.0,354665247.0,334782534.43,353583832.0,3.0,96.0,66.29,74.0,63.0,69.0,67.5,68.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,203329818.0,207489048.0,205527722.8,205756264.5,25.0,57.0,49.4,54.5,59.0,60.0,59.1,59.0,8817.14,10495.76,9918.27,9976.85,54.1,64.3,60.81,61.15,0,0,0,0,
