GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,643657248.0,682162468.0,663660349.75,665205045.5,94.0,96.0,95.12,95.0,60.0,62.0,60.88,60.5,1546.79,4573.44,4069.76,4573.44,13.73,40.6,36.13,40.6,0.0,95.0,69.78,93.0,
NVIDIA GeForce GTX 1080 Ti,dict4,206992383.0,211294015.0,209143199.0,209143199.0,67.0,70.0,68.5,68.5,68.0,68.0,68.0,68.0,1145.16,2223.52,1983.96,2223.52,10.17,19.74,17.61,19.74,0.0,54.0,37.89,49.0,
NVIDIA GeForce GTX 1080 Ti,force,3453534.0,1164044717.0,975769449.21,1151848342.0,88.0,98.0,95.05,96.0,56.0,59.0,57.79,58.0,1149.44,4176.09,3062.78,4176.09,10.2,37.07,27.19,37.07,0.0,97.0,44.29,14.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,483958722.0,733039830.0,647340383.44,732517734.5,69.0,93.0,88.78,91.0,55.0,58.0,56.78,57.0,1146.06,4172.71,2578.62,1284.71,10.17,37.04,22.89,11.41,0.0,91.0,25.36,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1724606367.0,1775934083.0,1743850461.4,1740062834.0,97.0,97.0,97.0,97.0,82.0,84.0,83.2,83.0,327.78,3333.68,2083.4,3333.68,4.0,40.69,25.43,40.69,0.0,68.0,33.36,45.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,167990170.0,169367292.0,168590836.75,168502942.5,43.0,47.0,45.0,45.0,70.0,71.0,70.75,71.0,338.56,2070.46,1493.37,2070.46,4.13,25.27,18.23,25.27,0.0,48.0,27.67,42.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,3567374087.0,2653270270.4,3490659801.5,67.0,91.0,82.4,84.0,76.0,86.0,82.0,83.5,338.56,3344.46,1705.28,456.46,4.13,40.83,20.82,5.57,0.0,86.0,28.12,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,2751653752.0,2432690885.0,2688253873.0,52.0,92.0,86.21,92.0,69.0,85.0,81.64,84.0,338.56,3344.46,1753.2,456.46,4.13,40.83,21.4,5.57,0.0,74.0,23.55,5.5,
NVIDIA GeForce RTX 3070,combinator,1725063406.0,1805955298.0,1752248387.62,1753770992.0,91.0,92.0,91.38,91.0,74.0,77.0,75.62,76.0,356.11,3378.07,2132.47,3378.07,4.35,41.24,26.03,41.24,0.0,92.0,48.43,86.0,
NVIDIA GeForce RTX 3070,dict4,230016509.0,234527020.0,232271764.5,232271764.5,21.0,29.0,25.0,25.0,60.0,60.0,60.0,60.0,356.11,2058.07,1328.94,2058.07,4.35,25.12,16.22,25.12,0.0,27.0,13.57,20.0,
NVIDIA GeForce RTX 3070,force,25176876.0,3487451033.0,2676434215.3,3448390446.5,78.0,90.0,86.5,88.0,70.0,75.0,72.4,72.5,356.11,3378.07,1927.02,1944.07,4.35,41.24,23.52,23.73,0.0,88.0,31.83,0.0,
NVIDIA GeForce RTX 3070,hybrid,1684995977.0,2829322967.0,2673777296.23,2792285774.0,25.0,92.0,86.0,91.0,65.0,74.0,72.08,73.0,433.73,3455.69,1695.85,587.69,5.29,42.18,20.7,7.17,0.0,97.0,18.26,0.0,
NVIDIA GeForce RTX 3090,combinator,3450541795.0,3450541795.0,3450541795.0,3450541795.0,89.0,89.0,89.0,89.0,82.0,82.0,82.0,82.0,500.56,3623.23,2732.56,3623.23,2.04,14.74,11.12,14.74,0.0,92.0,51.86,90.0,
NVIDIA GeForce RTX 3090,dict4,263659953.0,268384180.0,266022066.5,266022066.5,11.0,24.0,17.5,17.5,72.0,72.0,72.0,72.0,544.98,3557.78,2428.23,3557.66,2.22,14.48,9.88,14.48,0.0,24.0,9.0,5.5,
NVIDIA GeForce RTX 3090,force,982598593.0,5821305650.0,4547252428.83,5745129351.0,37.0,90.0,74.17,88.0,78.0,81.0,79.5,79.5,723.67,3846.34,2182.61,980.34,2.94,15.65,8.88,3.99,0.0,90.0,27.0,0.0,
NVIDIA GeForce RTX 3090,hybrid,1936922419.0,5136707458.0,3514560657.25,3492306376.0,40.0,93.0,59.0,51.5,75.0,80.0,76.75,76.0,500.57,3621.91,2686.75,3621.91,2.04,14.74,10.93,14.74,3.0,94.0,24.3,8.5,
NVIDIA RTX A4000,combinator,1685186356.0,1774652906.0,1716417370.31,1712624984.0,84.0,89.0,85.69,86.0,81.0,86.0,83.62,84.0,977.58,4027.55,2862.77,4027.55,5.97,24.59,17.48,24.59,0.0,96.0,48.89,68.0,
NVIDIA RTX A4000,dict4,223190762.0,227430074.0,225310418.0,225310418.0,23.0,27.0,25.0,25.0,70.0,70.0,70.0,70.0,741.95,2515.93,2074.44,2515.93,4.53,15.36,12.67,15.36,0.0,27.0,14.75,19.0,
NVIDIA RTX A4000,force,433216318.0,3101922623.0,2706091287.2,3091096702.0,90.0,96.0,91.2,90.0,79.0,85.0,82.1,82.5,702.66,3793.85,2796.3,3763.42,4.29,23.17,17.08,22.98,0.0,95.0,52.0,86.0,
NVIDIA RTX A4000,hybrid,0.0,2713954493.0,2380421991.15,2678888606.0,24.0,96.0,85.31,91.0,76.0,84.0,80.69,81.0,923.14,3976.86,2613.02,3666.86,5.64,24.28,15.96,22.39,0.0,100.0,35.82,6.0,
Radeon RX Vega,combinator,282277197.0,290358222.0,284852795.54,283496424.0,16.0,44.0,39.08,42.0,59.0,60.0,59.15,59.0,9010.56,10302.66,9770.6,9407.3,55.2,63.2,59.89,57.65,0,0,0,0,
