GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1153113230.0,1155382930.0,1153899935.0,1153668491.5,95.0,96.0,95.5,95.5,66.0,67.0,66.75,67.0,2251.98,5290.38,4780.73,5286.69,19.99,46.97,42.44,46.93,0.0,98.0,77.11,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,169127489.0,171494765.0,170131315.25,169951503.5,33.0,44.0,37.25,36.0,67.0,67.0,67.0,67.0,1145.16,2230.46,1868.84,2230.46,10.17,19.8,16.59,19.8,0.0,42.0,23.33,32.0,
NVIDIA GeForce GTX 1080 Ti,force,94165871.0,615574402.0,570825218.2,607563108.0,88.0,97.0,95.35,96.0,57.0,60.0,59.7,60.0,1145.0,4171.65,3231.0,4171.65,10.17,37.04,28.68,37.04,0.0,97.0,55.24,94.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,502464628.0,617152662.0,589988337.65,615151125.0,81.0,96.0,94.0,95.0,58.0,60.0,59.47,60.0,1144.04,4172.84,2852.33,4172.84,10.16,37.05,25.32,37.05,0.0,96.0,31.75,1.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1344816519.0,1441305566.0,1400145217.14,1401511371.0,73.0,74.0,73.29,73.0,84.0,86.0,85.5,86.0,327.78,3333.68,1709.63,445.68,4.0,40.69,20.87,5.44,0.0,93.0,35.22,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,192306422.0,195614647.0,193581930.0,192824721.0,33.0,34.0,33.33,33.0,68.0,68.0,68.0,68.0,338.56,2070.46,1423.24,2070.46,4.13,25.27,17.37,25.27,1.0,35.0,21.88,23.0,
NVIDIA GeForce RTX 2080 SUPER,force,543000450.0,1961983215.0,1654534164.88,1936979103.5,64.0,95.0,82.38,83.5,77.0,88.0,84.0,85.0,338.56,3344.46,2066.28,3344.46,4.13,40.83,25.22,40.83,0.0,96.0,41.5,45.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1531560678.0,1949375073.0,1838244439.31,1869824754.0,56.0,95.0,88.31,94.0,75.0,89.0,85.38,86.0,338.56,3344.46,1720.47,456.46,4.13,40.83,21.0,5.57,0.0,94.0,33.72,11.5,
NVIDIA GeForce RTX 3070,combinator,1686679360.0,1715505863.0,1696886819.54,1687765249.0,83.0,84.0,83.62,84.0,75.0,79.0,77.31,77.0,356.11,3378.07,1759.19,510.07,4.35,41.24,21.47,6.23,0.0,88.0,33.0,0.0,
NVIDIA GeForce RTX 3070,dict4,395158684.0,395158684.0,395158684.0,395158684.0,33.0,33.0,33.0,33.0,64.0,64.0,64.0,64.0,356.11,2058.07,1328.94,2058.07,4.35,25.12,16.22,25.12,0.0,33.0,12.43,0.0,
NVIDIA GeForce RTX 3070,force,545818065.0,1969047565.0,1829023937.4,1967137419.0,92.0,97.0,94.07,94.0,71.0,78.0,75.2,75.0,356.11,3378.07,2314.26,3378.07,4.35,41.24,28.25,41.24,0.0,97.0,58.32,93.0,
NVIDIA GeForce RTX 3070,hybrid,1372577314.0,1915033799.0,1814280282.57,1899359178.0,38.0,95.0,84.43,94.0,69.0,77.0,73.86,74.5,489.27,3511.23,2297.07,3511.23,5.97,42.86,28.04,42.86,0.0,100.0,26.5,1.0,
NVIDIA GeForce RTX 3090,combinator,2932635646.0,2936321339.0,2934478492.5,2934478492.5,85.0,89.0,87.0,87.0,84.0,84.0,84.0,84.0,499.16,3621.83,3101.53,3621.83,2.03,14.74,12.62,14.74,0.0,93.0,68.67,85.5,
NVIDIA GeForce RTX 3090,dict4,437776023.0,437776023.0,437776023.0,437776023.0,23.0,23.0,23.0,23.0,75.0,75.0,75.0,75.0,540.23,3555.84,2049.46,2050.18,2.2,14.47,8.34,8.34,0.0,22.0,9.33,8.0,
NVIDIA GeForce RTX 3090,force,810249572.0,3275100221.0,2763978608.0,3207541345.0,92.0,97.0,93.71,93.0,80.0,83.0,81.57,82.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,3180450809.0,3189593766.0,3185022287.5,3185022287.5,94.0,95.0,94.5,94.5,81.0,81.0,81.0,81.0,530.66,3653.34,1814.13,787.34,2.16,14.87,7.38,3.2,0.0,77.0,8.06,0.0,
NVIDIA RTX A4000,combinator,1518176127.0,1545002223.0,1528526113.15,1530669095.0,85.0,89.0,86.08,86.0,83.0,87.0,85.0,85.0,758.86,3808.82,2682.21,3808.82,4.63,23.26,16.38,23.26,0.0,93.0,52.65,90.0,
NVIDIA RTX A4000,dict4,235586673.0,237923673.0,236755173.0,236755173.0,20.0,23.0,21.5,21.5,72.0,73.0,72.5,72.5,821.47,2602.19,2157.85,2602.19,5.02,15.89,13.18,15.89,3.0,26.0,15.12,20.0,
NVIDIA RTX A4000,force,138790519.0,1666675326.0,1543712144.65,1655505588.0,89.0,97.0,90.24,89.0,79.0,86.0,82.76,83.0,743.73,3793.7,2886.55,3793.7,4.54,23.17,17.63,23.17,0.0,96.0,53.73,92.5,
NVIDIA RTX A4000,hybrid,10343099.0,1635637169.0,1439114854.53,1591508929.0,4.0,91.0,78.13,90.0,73.0,85.0,81.4,82.0,1267.34,4317.3,3304.82,4317.3,7.74,26.36,20.18,26.36,0.0,98.0,39.52,14.0,
Radeon RX Vega,combinator,597479825.0,600858629.0,598403232.85,598063372.0,15.0,43.0,37.15,40.0,66.0,68.0,67.15,67.0,5593.62,6902.91,6459.59,6874.59,34.3,42.3,39.61,42.1,0,0,0,0,
Radeon RX Vega,dict3,49728359.0,49728359.0,49728359.0,49728359.0,0.0,0.0,0.0,0.0,65.0,65.0,65.0,65.0,5011.68,6330.45,5850.16,6295.07,30.7,38.8,35.86,38.6,0,0,0,0,
Radeon RX Vega,dict4,97101205.0,100224621.0,98289978.83,97840817.5,0.0,56.0,25.0,23.5,69.0,70.0,69.83,70.0,6371.41,7895.12,7485.14,7682.54,39.1,48.4,45.89,47.1,0,0,0,0,
Radeon RX Vega,force,211653764.0,1303515577.0,1131328926.5,1293694800.5,3.0,95.0,45.3,34.5,63.0,69.0,66.4,66.5,,,,,,,,,,,,,
Radeon RX Vega,hybrid,425610689.0,589553050.0,467409442.24,431021174.0,0.0,55.0,31.0,30.0,59.0,60.0,59.24,59.0,8798.02,10421.17,9651.41,9423.36,53.9,63.9,59.16,57.8,0,0,0,0,
