GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,633.0,1176917257.0,1014426942.11,1131283361.0,79.0,82.0,80.56,81.0,62.0,353300.0,39311.33,62.0,1553.16,4584.19,4106.01,4584.19,13.79,40.7,36.45,40.7,0.0,96.0,70.89,93.0,
NVIDIA GeForce GTX 1080 Ti,dict4,633.0,161187248.0,127111231.6,157679879.0,39.0,82.0,50.8,44.0,65.0,353300.0,70712.4,66.0,1145.81,2230.46,1869.49,2230.46,10.17,19.8,16.6,19.8,0.0,52.0,26.67,37.0,
NVIDIA GeForce GTX 1080 Ti,force,111008979.0,1164394158.0,935294115.09,1042545708.0,51.0,98.0,87.18,95.0,56.0,63.0,58.09,58.0,1145.0,4171.65,3245.25,4171.65,10.17,37.04,28.81,37.04,0.0,97.0,54.26,96.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,642930228.0,798763059.0,766062901.69,798418967.0,45.0,95.0,89.75,95.0,56.0,58.0,57.56,58.0,1144.73,4173.9,2571.51,1285.9,10.16,37.06,22.83,11.42,0.0,97.0,34.3,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,633.0,2781223233.0,2079680431.25,2768748929.5,82.0,95.0,91.75,95.0,84.0,353300.0,88388.5,85.0,327.78,3333.68,2083.4,3333.68,4.0,40.69,25.43,40.69,0.0,65.0,32.79,44.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,633.0,274277197.0,137138915.0,137138915.0,49.0,82.0,65.5,65.5,70.0,353300.0,176685.0,176685.0,338.56,2070.46,1345.2,2070.46,4.13,25.27,16.42,25.27,0.0,49.0,21.14,5.0,
NVIDIA GeForce RTX 2080 SUPER,force,633.0,3644746310.0,2693085482.6,3572961075.0,65.0,90.0,81.6,85.0,80.0,353300.0,35406.2,86.0,338.56,3344.46,2201.81,3344.46,4.13,40.83,26.88,40.83,0.0,90.0,44.5,68.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,3255018298.0,2872353974.5,3185879880.0,51.0,91.0,83.93,90.5,70.0,86.0,82.64,85.0,338.56,3344.46,1432.26,456.46,4.13,40.83,17.48,5.57,0.0,91.0,20.53,0.0,
NVIDIA GeForce RTX 3070,combinator,2435966193.0,2511566091.0,2466374910.38,2454959318.0,84.0,90.0,88.15,88.0,74.0,78.0,75.85,76.0,356.11,3378.07,2130.93,3378.07,4.35,41.24,26.01,41.24,0.0,89.0,45.11,67.0,
NVIDIA GeForce RTX 3070,dict4,633.0,245071488.0,162567467.0,242630280.0,17.0,82.0,39.0,18.0,60.0,353300.0,117806.67,60.0,356.11,2058.07,1328.94,2058.07,4.35,25.12,16.22,25.12,0.0,26.0,13.57,20.0,
NVIDIA GeForce RTX 3070,force,633.0,3596445997.0,2616607774.33,3513715738.5,82.0,96.0,89.92,89.0,74.0,353300.0,29510.58,75.5,356.11,3378.07,2170.07,3378.07,4.35,41.24,26.49,41.24,0.0,87.0,30.59,11.0,
NVIDIA GeForce RTX 3070,hybrid,1769419960.0,3131201945.0,2999059040.17,3107372672.5,46.0,93.0,83.92,90.0,68.0,75.0,72.58,73.0,433.73,3455.69,1526.64,587.69,5.29,42.18,18.64,7.17,0.0,96.0,22.94,0.0,
NVIDIA GeForce RTX 3090,combinator,633.0,4409191691.0,2204596162.0,2204596162.0,82.0,86.0,84.0,84.0,82.0,353300.0,176691.0,176691.0,500.56,3623.23,2584.12,3623.23,2.04,14.74,10.51,14.74,0.0,89.0,44.17,44.0,
NVIDIA GeForce RTX 3090,dict4,274059254.0,274059254.0,274059254.0,274059254.0,19.0,19.0,19.0,19.0,72.0,72.0,72.0,72.0,540.23,3555.84,2694.85,3555.84,2.2,14.47,10.97,14.47,0.0,19.0,7.29,9.0,
NVIDIA GeForce RTX 3090,force,633.0,5900126114.0,3443051700.5,4549011893.5,30.0,96.0,82.0,89.0,80.0,353300.0,44232.88,80.5,722.23,3846.34,2236.39,980.34,2.94,15.65,9.1,3.99,0.0,97.0,27.27,1.0,
NVIDIA GeForce RTX 3090,hybrid,1939723628.0,3421814591.0,2879031959.38,2976440808.0,36.0,74.0,66.15,71.0,76.0,80.0,78.77,79.0,505.74,3628.41,2691.88,3628.41,2.06,14.76,10.95,14.76,3.0,70.0,33.7,33.0,
NVIDIA RTX A4000,combinator,2000808085.0,2080180779.0,2031013551.46,2025224390.0,81.0,84.0,81.46,81.0,80.0,85.0,83.08,83.0,977.58,4027.55,2726.15,4027.55,5.97,24.59,16.65,24.59,0.0,92.0,48.15,70.0,
NVIDIA RTX A4000,dict4,633.0,239036429.0,158288982.67,235829886.0,20.0,82.0,43.67,29.0,68.0,353300.0,117812.0,68.0,751.45,2536.12,2089.85,2534.02,4.59,15.49,12.76,15.47,0.0,21.0,12.62,18.0,
NVIDIA RTX A4000,force,633.0,3213917556.0,2539892633.45,3205185455.0,37.0,94.0,84.09,90.0,81.0,353300.0,32194.09,84.0,743.73,3793.7,3015.18,3793.7,4.54,23.17,18.41,23.17,0.0,97.0,57.87,94.0,
NVIDIA RTX A4000,hybrid,2089259519.0,2848890364.0,2732971247.54,2815465140.0,37.0,96.0,87.0,91.0,78.0,85.0,81.85,82.0,930.64,3980.61,2500.04,2250.61,5.68,24.31,15.27,13.74,0.0,91.0,31.57,4.0,
Radeon RX Vega,combinator,288626960.0,295890863.0,291180011.23,290545094.0,16.0,45.0,39.77,42.0,61.0,63.0,62.15,62.0,9004.38,10540.77,9906.7,9660.84,55.2,64.6,60.73,59.2,0,0,0,0,
Radeon RX Vega,dict3,28975075.0,29250702.0,29134198.0,29176817.0,0.0,6.0,2.0,0.0,71.0,71.0,71.0,71.0,4588.13,5903.15,5430.23,5900.54,28.1,36.2,33.29,36.2,0,0,0,0,
Radeon RX Vega,dict4,127755299.0,135835346.0,130438636.44,130397710.0,0.0,57.0,25.78,28.0,73.0,74.0,73.11,73.0,6863.27,8218.45,7919.54,8190.08,42.1,50.4,48.56,50.2,0,0,0,0,
Radeon RX Vega,force,139046415.0,466378358.0,446049757.55,461677813.5,10.0,93.0,57.27,60.0,71.0,73.0,72.05,72.0,7818.68,9383.46,8638.75,8406.16,47.9,57.5,52.96,51.55,0,0,0,0,
Radeon RX Vega,hybrid,0.0,340381230.0,292691241.6,326235760.0,0.0,56.0,36.3,40.5,62.0,67.0,64.5,64.5,8299.09,9974.52,9071.82,8930.87,50.9,61.1,55.61,54.75,0,0,0,0,
