GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,53768.0,55382.0,54899.22,55008.0,97.0,98.0,97.22,97.0,75.0,76.0,75.89,76.0,2224.29,9450.88,8627.79,9421.5,19.75,83.9,76.6,83.64,0.0,98.0,80.17,97.0,
NVIDIA GeForce GTX 1080 Ti,dict2,97.0,111.0,104.22,103.0,51.0,95.0,89.22,95.0,57.0,59.0,57.78,57.0,1664.04,8844.21,7527.76,8830.96,14.77,78.52,66.83,78.4,0.0,100.0,69.64,95.0,
NVIDIA GeForce GTX 1080 Ti,dict3,52350.0,60942.0,54771.56,54246.5,69.0,98.0,95.83,97.0,79.0,83.0,81.67,82.0,1689.05,8883.38,8231.91,8848.88,15.0,78.87,73.08,78.56,0.0,99.0,77.48,98.0,
NVIDIA GeForce GTX 1080 Ti,dict4,60647.0,66838.0,62992.44,62898.0,97.0,98.0,97.28,97.0,76.0,78.0,77.11,77.0,1145.16,8306.46,7664.42,8306.46,10.17,73.74,68.04,73.74,0.0,100.0,83.09,98.0,
NVIDIA GeForce GTX 1080 Ti,force,19.0,71809.0,39671.96,44051.0,65.0,98.0,85.0,92.0,54.0,60.0,57.54,58.5,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,37080.0,49562.0,44682.0,43265.0,98.0,99.0,98.67,99.0,54.0,63.0,57.22,55.0,1141.75,8368.4,4658.26,1280.4,10.14,74.29,41.36,11.37,0.0,100.0,41.22,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,82427.0,89880.0,87914.31,88876.0,96.0,97.0,96.08,96.0,81.0,85.0,83.92,84.0,327.78,7285.68,4207.34,7285.68,4.0,88.94,51.36,88.94,0.0,97.0,50.14,68.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,189.0,195.0,192.33,193.0,81.0,82.0,81.67,82.0,61.0,61.0,61.0,61.0,338.56,7230.46,5699.03,7230.46,4.13,88.26,69.57,88.26,0.0,76.0,54.56,73.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,92755.0,100921.0,95506.89,94887.0,86.0,96.0,91.5,95.0,81.0,85.0,83.67,84.0,338.56,7230.46,6290.74,7230.46,4.13,88.26,76.79,88.26,0.0,96.0,80.0,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,102929.0,115228.0,106979.78,105677.5,95.0,96.0,95.28,95.0,86.0,89.0,87.11,87.0,338.56,7230.46,6331.91,7230.46,4.13,88.26,77.29,88.26,0.0,96.0,78.48,95.0,
