GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,468393793.0,486317711.0,477387678.5,476746934.0,92.0,93.0,92.5,92.5,65.0,69.0,66.5,66.0,2227.41,5264.25,4754.81,5261.19,19.77,46.74,42.21,46.71,1.0,97.0,74.78,96.0,
NVIDIA GeForce GTX 1080 Ti,dict3,37183757.0,37385714.0,37284735.5,37284735.5,30.0,31.0,30.5,30.5,70.0,70.0,70.0,70.0,1840.76,2925.41,2615.62,2925.41,16.34,25.97,23.22,25.97,3.0,28.0,16.57,25.0,
NVIDIA GeForce GTX 1080 Ti,dict4,53236047.0,58170150.0,55251454.5,54946141.5,27.0,36.0,31.38,31.5,57.0,65.0,59.31,58.0,1148.1,2230.46,2127.41,2230.46,10.19,19.8,18.89,19.8,0.0,35.0,25.38,31.0,
NVIDIA GeForce GTX 1080 Ti,force,93449936.0,267353656.0,253442236.53,267095199.0,90.0,97.0,93.47,93.0,57.0,59.0,58.4,59.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,202206966.0,180314750.58,195565522.0,56.0,95.0,90.92,94.0,52.0,54.0,53.67,54.0,1143.79,4172.84,3022.46,4172.84,10.15,37.05,26.83,37.05,0.0,96.0,32.58,1.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,885597570.0,920809645.0,900631546.92,898549369.0,93.0,93.0,93.0,93.0,85.0,88.0,86.5,86.0,327.78,3333.68,1990.1,3333.68,4.0,40.69,24.29,40.69,0.0,94.0,47.41,65.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,39590441.0,40667885.0,40129163.0,40129163.0,26.0,26.0,26.0,26.0,57.0,57.0,57.0,57.0,338.56,2070.46,1204.83,1204.99,4.13,25.27,14.71,14.71,1.0,33.0,14.67,14.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,30420347.0,38603316.0,34022301.33,33312009.0,11.0,33.0,25.89,30.0,61.0,68.0,62.61,61.5,338.56,2070.46,1823.14,2070.46,4.13,25.27,22.26,25.27,0.0,38.0,26.67,32.0,
NVIDIA GeForce RTX 2080 SUPER,force,221837479.0,519317844.0,494026439.59,513582008.5,62.0,95.0,88.36,94.0,73.0,86.0,83.18,85.0,338.56,3344.46,2403.2,3344.46,4.13,40.83,29.34,40.83,0.0,90.0,51.68,80.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,772702226.0,958463755.0,906742844.27,917177149.0,51.0,95.0,87.4,94.0,73.0,89.0,84.8,86.0,338.56,3344.46,2163.87,3344.46,4.13,40.83,26.41,40.83,0.0,90.0,31.34,10.5,
NVIDIA GeForce RTX 3070,combinator,1099642632.0,1111066640.0,1104142258.77,1103341514.0,89.0,90.0,89.77,90.0,75.0,80.0,77.46,77.0,356.11,3378.07,1977.66,3378.07,4.35,41.24,24.14,41.24,0.0,94.0,43.69,0.0,
NVIDIA GeForce RTX 3070,dict3,47303305.0,47303305.0,47303305.0,47303305.0,15.0,15.0,15.0,15.0,68.0,68.0,68.0,68.0,356.11,2058.07,1207.42,1207.58,4.35,25.12,14.74,14.74,0.0,19.0,8.17,7.5,
NVIDIA GeForce RTX 3070,dict4,105088699.0,112973250.0,109599554.43,110233623.0,23.0,35.0,29.29,30.0,66.0,68.0,67.14,67.0,356.11,2058.07,1916.24,2058.07,4.35,25.12,23.39,25.12,0.0,36.0,24.5,30.0,
NVIDIA GeForce RTX 3070,force,227261242.0,658389337.0,631570708.05,656245999.0,78.0,96.0,90.57,91.0,65.0,77.0,72.95,73.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,439316158.0,1154129769.0,978615010.84,1132331222.0,28.0,93.0,76.32,92.0,64.0,76.0,71.42,73.0,511.75,3532.73,2236.7,3532.73,6.25,43.12,27.3,43.12,0.0,96.0,28.86,1.0,
NVIDIA GeForce RTX 3090,combinator,1774030592.0,1780155285.0,1776425548.75,1775758159.0,91.0,92.0,91.25,91.0,81.0,82.0,81.75,82.0,499.16,3621.83,2997.43,3621.83,2.03,14.74,12.2,14.74,0.0,93.0,64.2,91.0,
NVIDIA GeForce RTX 3090,dict3,50291164.0,50291164.0,50291164.0,50291164.0,8.0,8.0,8.0,8.0,77.0,77.0,77.0,77.0,543.17,3557.66,2553.35,3557.66,2.21,14.48,10.39,14.48,0.0,14.0,4.67,3.5,
NVIDIA GeForce RTX 3090,dict4,34350842.0,43164665.0,37705860.28,36522187.0,6.0,39.0,21.89,20.5,72.0,76.0,73.33,73.0,542.01,3553.34,3160.73,3553.34,2.21,14.46,12.86,14.46,0.0,43.0,19.65,20.0,
NVIDIA GeForce RTX 3090,force,407923905.0,1113072233.0,1059737739.88,1108576144.0,63.0,92.0,88.82,91.0,77.0,82.0,79.71,80.0,720.73,3847.46,2634.91,3847.46,2.93,15.66,10.72,15.66,0.0,93.0,43.1,27.0,
NVIDIA GeForce RTX 3090,hybrid,0.0,1741245720.0,746740616.92,524698637.0,4.0,89.0,54.67,52.0,69.0,79.0,73.5,72.5,515.13,3639.24,2443.66,3639.24,2.1,14.81,9.94,14.81,3.0,99.0,27.47,15.5,
NVIDIA RTX A4000,combinator,921441502.0,931382536.0,925133273.08,924554156.0,91.0,92.0,91.62,92.0,81.0,85.0,83.23,83.0,941.93,3995.08,2629.44,3992.33,5.75,24.4,16.06,24.38,0.0,99.0,48.0,50.0,
NVIDIA RTX A4000,dict3,45701756.0,45701756.0,45701756.0,45701756.0,16.0,16.0,16.0,16.0,80.0,80.0,80.0,80.0,681.2,2457.17,1860.5,2457.17,4.16,15.0,11.36,15.0,0.0,69.0,12.97,6.0,
NVIDIA RTX A4000,dict4,102347130.0,106704802.0,104743643.71,105456863.0,24.0,36.0,30.0,30.0,79.0,82.0,80.71,81.0,821.27,2597.24,2365.92,2597.24,5.02,15.86,14.45,15.86,3.0,38.0,24.0,24.0,
NVIDIA RTX A4000,force,212228319.0,603420228.0,577772690.24,602354653.0,58.0,96.0,89.62,92.0,75.0,85.0,81.62,82.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,507249510.0,962092960.0,873211966.12,940371287.5,26.0,95.0,82.38,94.0,75.0,84.0,80.56,81.0,1025.84,4079.56,3104.04,4075.81,6.26,24.91,18.95,24.89,3.0,98.0,42.1,21.0,
Radeon RX Vega,combinator,29876027.0,30037878.0,29928488.08,29913704.0,17.0,43.0,37.54,40.0,70.0,70.0,70.0,70.0,9030.36,10355.74,9926.49,10334.77,55.4,63.5,60.87,63.4,0,0,0,0,
Radeon RX Vega,dict3,3774535.0,3812493.0,3781461.61,3777782.5,0.0,37.0,9.0,0.0,69.0,70.0,69.22,69.0,4594.37,5914.48,5686.1,5910.02,28.2,36.3,34.84,36.2,0,0,0,0,
Radeon RX Vega,dict4,14936620.0,15333258.0,15029719.67,15019352.5,0.0,55.0,33.11,44.5,71.0,72.0,71.17,71.0,8182.45,9571.78,9374.36,9553.32,50.2,58.7,57.48,58.6,0,0,0,0,
Radeon RX Vega,force,15412238.0,37171390.0,34992692.5,37101138.0,12.0,96.0,66.5,69.0,61.0,68.0,67.12,68.0,7667.23,9315.09,8740.21,8823.92,47.0,57.1,53.58,54.1,0,0,0,0,
Radeon RX Vega,hybrid,28532657.0,29956742.0,29727346.55,29884265.0,27.0,56.0,42.18,41.0,65.0,69.0,68.55,69.0,8602.97,10269.41,9857.66,10242.3,52.7,63.0,60.44,62.8,0,0,0,0,
