GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,713418423.0,739377038.0,727099501.62,727163645.0,89.0,94.0,93.38,94.0,66.0,69.0,67.12,66.0,2235.64,5276.81,4764.61,5269.69,19.85,46.85,42.3,46.78,1.0,98.0,71.61,94.0,
NVIDIA GeForce GTX 1080 Ti,dict4,210885227.0,213277401.0,212081314.0,212081314.0,45.0,50.0,47.5,47.5,70.0,70.0,70.0,70.0,1145.81,2230.46,2059.48,2230.46,10.17,19.8,18.28,19.8,0.0,24.0,15.0,18.0,
NVIDIA GeForce GTX 1080 Ti,force,263674912.0,660628148.0,629909404.73,658078444.0,81.0,97.0,95.32,96.0,57.0,61.0,59.73,60.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,284951347.0,349838816.0,333357990.09,349008468.0,29.0,96.0,85.22,95.0,53.0,55.0,54.52,55.0,1146.19,4172.84,2873.89,4172.84,10.18,37.05,25.51,37.05,0.0,95.0,36.07,3.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1265205085.0,1313119073.0,1282023849.92,1277587142.0,88.0,89.0,88.85,89.0,85.0,87.0,86.38,87.0,327.78,3333.68,1816.68,445.68,4.0,40.69,22.18,5.44,0.0,91.0,37.35,1.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,42605517.0,42605517.0,42605517.0,42605517.0,22.0,22.0,22.0,22.0,55.0,55.0,55.0,55.0,338.56,2070.46,1377.89,2070.46,4.13,25.27,16.82,25.27,0.0,35.0,16.0,21.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,176775451.0,179994441.0,178765132.67,179525506.0,33.0,38.0,35.67,36.0,67.0,67.0,67.0,67.0,338.56,2070.46,1421.24,2070.46,4.13,25.27,17.35,25.27,0.0,39.0,26.5,33.0,
NVIDIA GeForce RTX 2080 SUPER,force,267733402.0,1406440684.0,1267149071.62,1362435995.5,58.0,92.0,86.19,92.0,73.0,89.0,84.38,86.0,338.56,3344.46,2037.71,3344.46,4.13,40.83,24.87,40.83,0.0,93.0,45.93,59.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1044866505.0,1370325411.0,1291396063.07,1311798037.0,57.0,93.0,85.57,92.0,73.0,88.0,84.57,86.0,338.56,3344.46,1827.47,456.46,4.13,40.83,22.31,5.57,0.0,85.0,13.22,0.0,
NVIDIA GeForce RTX 3070,combinator,1265151195.0,1286781484.0,1275327080.92,1276281025.0,87.0,88.0,87.69,88.0,75.0,80.0,78.15,78.0,356.11,3378.07,2137.97,3378.07,4.35,41.24,26.1,41.24,0.0,89.0,46.64,79.5,
