GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,251305049.0,258950820.0,255155657.89,255328960.0,91.0,93.0,92.22,92.0,63.0,65.0,63.78,63.0,1534.91,4581.56,4073.88,4581.56,13.63,40.67,36.17,40.67,0.0,92.0,68.56,90.5,
NVIDIA GeForce GTX 1080 Ti,dict3,38666334.0,38666334.0,38666334.0,38666334.0,28.0,28.0,28.0,28.0,68.0,68.0,68.0,68.0,1733.17,2810.13,2494.73,2789.45,15.39,24.95,22.15,24.76,3.0,27.0,15.86,21.0,
NVIDIA GeForce GTX 1080 Ti,dict4,84513295.0,88826050.0,86112452.22,85936767.0,36.0,48.0,42.78,44.0,67.0,67.0,67.0,67.0,1145.16,2233.21,2077.04,2233.21,10.17,19.83,18.44,19.83,0.0,51.0,30.21,33.0,
NVIDIA GeForce GTX 1080 Ti,force,36873750.0,88535547.0,83404672.21,88267013.0,92.0,95.0,94.64,95.0,51.0,52.0,51.93,52.0,1150.0,4176.65,2773.84,4176.65,10.21,37.08,24.63,37.08,0.0,98.0,48.84,78.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,13758160.0,59210693.0,53242033.36,56749933.0,2.0,95.0,81.73,94.0,50.0,51.0,50.91,51.0,1146.06,4192.71,2812.07,4192.71,10.17,37.22,24.97,37.22,0.0,93.0,33.53,1.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,301882186.0,302293322.0,302126991.57,302165009.0,97.0,97.0,97.0,97.0,81.0,85.0,83.79,84.0,327.78,3349.68,1936.94,3349.68,4.0,40.89,23.64,40.89,0.0,93.0,43.58,32.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,24918935.0,26143774.0,25345982.0,25160609.5,18.0,24.0,21.75,22.5,53.0,54.0,53.25,53.0,338.56,2070.46,1432.6,2070.46,4.13,25.27,17.49,25.27,0.0,25.0,10.62,11.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,95325141.0,99788973.0,97181256.38,97146267.5,31.0,35.0,32.75,33.0,63.0,67.0,64.75,64.5,338.56,2070.46,1672.24,2070.46,4.13,25.27,20.41,25.27,0.0,37.0,27.62,32.0,
NVIDIA GeForce RTX 2080 SUPER,force,248588223.0,542219402.0,518726898.68,535383460.0,66.0,95.0,89.23,93.0,76.0,87.0,84.73,86.0,338.56,3344.46,2369.47,3344.46,4.13,40.83,28.92,40.83,0.0,95.0,54.58,75.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,9860918.0,285378668.0,237232613.46,252562020.0,6.0,82.0,67.69,79.0,57.0,80.0,74.15,75.0,338.56,3360.46,1947.72,3360.46,4.13,41.02,23.78,41.02,0.0,93.0,36.16,7.0,
NVIDIA GeForce RTX 3070,combinator,428210462.0,429550271.0,428677595.31,428491037.0,92.0,94.0,92.92,93.0,75.0,79.0,77.23,77.0,356.11,3404.07,1993.85,3404.07,4.35,41.55,24.34,41.55,0.0,99.0,45.1,0.0,
NVIDIA GeForce RTX 3070,dict3,47106454.0,47106454.0,47106454.0,47106454.0,18.0,18.0,18.0,18.0,60.0,60.0,60.0,60.0,356.11,2058.07,1207.42,1207.58,4.35,25.12,14.74,14.74,0.0,15.0,6.5,6.0,
NVIDIA GeForce RTX 3070,dict4,186731506.0,188828851.0,187921317.0,188203594.0,42.0,42.0,42.0,42.0,63.0,65.0,64.0,64.0,356.11,2058.07,1802.87,2058.07,4.35,25.12,22.01,25.12,0.0,36.0,21.8,24.5,
NVIDIA GeForce RTX 3070,force,233524824.0,696145179.0,666099631.68,695122635.0,44.0,94.0,88.58,91.0,71.0,79.0,76.05,77.0,356.11,3378.07,2285.01,3378.07,4.35,41.24,27.89,41.24,0.0,94.0,49.23,72.0,
NVIDIA GeForce RTX 3070,hybrid,11756765.0,461002316.0,386889138.35,458158812.0,3.0,95.0,80.48,94.0,60.0,76.0,70.83,72.0,433.73,3474.19,2215.67,3474.19,5.29,42.41,27.05,42.41,0.0,95.0,32.97,1.5,
NVIDIA GeForce RTX 3090,combinator,511539223.0,561187602.0,542999829.92,543156518.0,59.0,60.0,59.85,60.0,78.0,82.0,80.08,80.0,500.56,3665.23,3137.93,3665.23,2.04,14.91,12.77,14.91,0.0,95.0,71.83,92.0,
